line_no,work_shift,worker_years,work_min,temp_c,humid_percent,gauge_a,gauge_b,gauge_c,is_defect
3호기,밤,0,34.1,20.7,43.1,99.70,184.09,58.09,0
2호기,밤,6,28.3,26.3,66.8,106.79,213.12,44.79,0
1호기,낮,0,29.3,30.3,66.4,86.73,163.15,54.36,0
1호기,밤,6,33.3,30.2,31.9,90.39,194.27,51.96,0
2호기,밤,8,23.6,28.8,48.4,100.53,204.79,38.76,0
2호기,밤,11,30.7,20.2,58.0,100.62,227.03,50.06,0
1호기,밤,14,32.0,19.8,50.1,97.98,208.64,49.66,0
3호기,밤,6,13.9,26.0,55.3,106.27,201.22,54.24,0
3호기,밤,3,34.5,19.1,50.0,108.78,199.36,49.39,0
2호기,밤,15,32.9,24.1,51.2,91.60,189.78,56.35,0
1호기,낮,15,29.6,21.9,42.5,103.36,178.08,55.07,0
2호기,밤,4,27.1,27.0,38.9,101.14,213.11,57.23,0
1호기,낮,14,25.9,24.0,39.2,94.69,178.13,53.73,0
2호기,밤,16,31.2,25.9,45.6,102.08,227.55,48.07,0
1호기,밤,14,28.8,23.0,44.8,112.00,191.02,52.81,0
2호기,낮,10,30.3,26.8,53.6,106.38,210.49,54.75,0
3호기,밤,16,32.6,21.7,49.3,102.41,190.48,50.07,0
2호기,낮,1,30.2,28.0,54.0,80.73,231.22,46.42,0
2호기,밤,1,32.2,25.0,56.6,99.31,215.71,64.67,0
2호기,낮,7,30.7,21.3,49.8,106.20,191.73,47.26,0
1호기,밤,5,27.4,24.7,61.1,81.44,191.29,52.68,0
2호기,밤,2,27.9,30.6,48.3,98.09,219.03,49.51,0
1호기,밤,10,28.1,24.9,56.1,84.76,180.37,54.55,0
3호기,밤,0,37.1,22.1,39.1,77.30,187.31,55.49,0
1호기,낮,15,31.3,22.6,40.5,92.34,224.21,47.45,0
3호기,밤,8,22.0,28.2,59.5,92.51,178.63,46.99,0
1호기,밤,11,29.8,27.3,55.4,93.97,213.51,50.53,0
3호기,낮,2,28.8,26.3,39.7,97.34,224.19,50.35,0
1호기,낮,3,26.0,23.8,62.7,102.84,188.18,50.62,0
2호기,밤,3,26.1,24.8,58.2,70.95,204.71,43.18,0
2호기,밤,2,,24.6,47.1,107.51,187.48,43.50,0
3호기,밤,0,35.2,17.7,56.8,104.76,202.33,43.67,0
2호기,낮,15,41.0,28.9,44.7,78.55,203.67,54.13,0
1호기,밤,8,24.6,28.6,59.0,89.56,227.71,46.25,0
2호기,낮,13,33.1,23.6,63.6,96.78,191.90,46.49,0
1호기,낮,2,27.5,22.6,45.4,99.90,214.40,47.50,0
1호기,밤,9,35.1,29.6,53.4,112.07,175.40,43.45,0
3호기,밤,10,23.3,29.2,63.5,113.15,200.91,57.11,0
2호기,낮,0,31.0,31.6,35.6,90.18,210.02,55.15,0
1호기,밤,13,31.1,24.4,43.4,106.47,179.34,49.65,0
2호기,낮,16,26.1,32.6,48.4,85.98,221.69,46.58,0
3호기,낮,7,31.1,26.8,53.9,106.39,186.64,44.61,0
3호기,낮,8,24.3,25.6,49.6,104.31,224.77,47.23,0
1호기,밤,0,24.7,26.5,54.1,103.79,193.34,61.05,0
2호기,낮,4,36.4,21.1,52.7,105.29,196.37,51.45,0
3호기,낮,12,25.7,24.7,22.8,98.69,247.55,55.24,0
1호기,밤,13,36.4,25.9,53.1,82.39,156.17,44.10,0
3호기,낮,13,30.2,20.4,47.0,91.63,216.87,50.29,0
1호기,밤,4,38.6,21.8,30.4,90.30,216.65,50.70,0
2호기,낮,10,22.0,29.3,53.7,92.29,203.49,41.81,0
3호기,낮,16,27.3,27.6,50.7,87.31,184.50,46.82,0
2호기,낮,13,29.3,29.4,47.9,106.12,206.93,53.94,0
2호기,밤,10,29.5,30.6,44.0,110.52,220.60,46.04,0
2호기,낮,3,25.8,21.4,48.2,108.89,168.76,45.28,0
3호기,낮,8,29.6,24.2,46.8,92.77,192.85,50.07,0
3호기,낮,7,34.3,24.2,49.9,115.73,178.20,55.30,0
1호기,낮,9,25.8,22.9,42.3,105.98,206.83,52.43,0
1호기,낮,14,33.8,25.6,49.4,116.44,208.28,42.36,0
1호기,낮,0,33.0,22.5,38.8,112.90,207.02,49.87,0
2호기,낮,0,21.8,19.6,63.7,88.18,177.91,45.21,0
2호기,밤,9,35.3,25.4,52.9,93.85,201.05,55.89,0
1호기,낮,3,29.7,28.2,53.9,99.32,200.23,59.93,0
1호기,낮,6,29.0,27.0,67.6,99.86,222.75,48.75,0
2호기,밤,1,42.0,33.0,53.8,117.72,185.58,46.14,1
3호기,낮,15,32.4,21.2,44.1,107.40,197.93,36.62,0
3호기,밤,1,27.2,23.7,52.6,107.17,203.93,55.35,0
1호기,밤,7,26.9,25.8,52.6,98.85,210.49,59.60,0
2호기,밤,2,26.1,25.9,37.8,98.97,203.49,48.25,0
2호기,낮,12,34.4,24.4,54.5,108.16,209.99,54.95,0
1호기,낮,4,27.9,23.3,45.5,94.12,185.54,43.71,0
2호기,낮,9,25.5,29.3,33.6,101.73,171.50,50.43,0
1호기,낮,0,28.3,28.8,47.9,111.86,199.91,52.14,0
2호기,낮,16,29.2,21.5,43.4,97.96,184.81,45.72,0
1호기,낮,6,30.4,25.7,48.7,126.60,175.53,49.66,0
1호기,밤,0,,21.8,53.5,96.90,210.49,44.50,0
1호기,밤,11,30.0,25.4,43.1,77.42,225.33,56.70,0
3호기,밤,8,37.8,20.9,40.6,107.36,165.51,50.53,0
1호기,밤,1,32.6,22.2,59.7,100.26,217.07,47.02,0
2호기,낮,9,30.0,29.1,36.1,102.00,190.07,46.99,0
1호기,밤,1,26.4,24.1,44.9,104.24,171.13,46.35,0
1호기,낮,13,25.7,25.1,57.8,93.44,187.65,51.24,0
1호기,낮,1,29.8,27.3,62.9,118.23,203.40,45.47,0
3호기,낮,11,16.5,20.2,64.4,103.12,190.74,45.91,0
2호기,밤,4,32.9,25.1,51.2,100.56,219.82,49.79,0
3호기,낮,10,27.4,25.0,59.0,91.12,190.19,51.16,0
3호기,밤,2,22.1,22.1,48.7,79.51,173.79,52.96,1
2호기,낮,9,40.4,26.0,34.6,90.40,210.87,54.46,0
2호기,밤,5,34.8,25.3,61.9,107.16,201.82,47.87,0
3호기,밤,1,30.2,31.8,15.0,99.56,203.68,43.86,0
2호기,낮,,25.6,23.3,42.5,86.31,181.62,47.45,0
2호기,낮,9,26.8,30.2,29.1,110.68,226.29,51.03,0
2호기,밤,6,24.0,26.9,44.4,88.30,185.37,43.04,0
3호기,밤,16,25.9,26.6,30.9,112.86,201.07,55.44,0
2호기,밤,3,32.2,20.6,44.1,91.76,227.68,57.74,0
2호기,낮,3,24.7,23.3,43.3,108.40,170.95,48.98,0
1호기,밤,2,32.9,22.9,56.4,94.33,179.54,52.41,0
3호기,낮,11,41.5,24.7,39.9,96.50,174.03,54.71,0
3호기,낮,9,28.3,27.5,30.4,106.94,183.50,55.15,0
2호기,낮,1,25.5,23.6,61.1,104.19,248.33,46.37,0
1호기,낮,8,28.6,24.4,52.4,100.04,154.94,51.82,0
1호기,낮,9,30.4,25.0,44.3,98.63,224.07,47.15,0
3호기,낮,5,34.6,22.7,49.9,103.43,183.69,51.94,0
1호기,낮,15,,22.9,52.9,109.35,191.29,49.04,0
2호기,밤,6,30.3,23.6,47.5,90.97,206.89,46.84,0
2호기,밤,10,26.6,29.8,65.3,88.51,202.90,37.90,0
2호기,밤,16,34.8,28.9,51.6,100.66,187.85,42.81,0
2호기,밤,12,33.0,25.9,50.3,98.72,209.19,53.38,0
1호기,밤,2,40.9,24.7,48.5,87.28,187.25,51.85,0
3호기,밤,1,20.5,24.2,26.9,105.05,208.45,53.81,0
2호기,낮,12,26.8,20.8,47.8,118.87,201.98,61.47,0
1호기,낮,12,25.1,23.7,59.0,107.36,214.90,48.36,0
2호기,밤,13,29.5,28.3,65.2,80.86,189.25,54.72,0
2호기,밤,11,28.1,25.0,62.0,101.73,175.38,47.23,0
1호기,밤,0,38.9,26.9,44.6,87.56,192.56,50.89,0
3호기,밤,5,29.0,20.9,60.1,87.72,214.46,49.81,0
2호기,밤,10,35.2,28.9,58.0,95.98,195.21,52.46,0
2호기,낮,6,23.8,25.9,43.8,83.86,197.70,45.21,0
3호기,낮,5,30.6,31.5,51.0,102.77,187.10,59.23,0
1호기,밤,12,30.2,24.8,38.1,100.28,233.09,46.53,0
1호기,밤,1,26.8,34.3,53.7,102.05,202.19,48.71,0
2호기,낮,7,30.2,29.1,57.3,86.48,184.87,44.45,0
3호기,밤,7,35.5,26.3,40.6,86.94,245.73,60.45,0
1호기,밤,1,33.1,25.6,51.5,91.04,172.08,47.97,0
1호기,밤,0,17.7,29.0,67.1,92.02,193.13,55.71,0
1호기,낮,8,25.5,25.4,74.3,83.72,181.16,55.12,0
3호기,낮,0,37.0,24.9,57.7,87.59,227.12,42.67,0
3호기,밤,9,33.1,22.7,45.0,97.46,196.95,50.18,0
1호기,밤,14,28.9,24.4,63.8,116.61,167.78,53.78,0
1호기,밤,6,,19.8,39.8,99.54,216.53,49.32,0
1호기,밤,15,37.9,26.2,26.4,97.03,185.23,50.42,0
3호기,밤,8,,22.5,52.7,93.93,240.09,43.56,0
3호기,낮,4,22.8,29.8,58.1,111.98,174.04,58.76,0
2호기,낮,4,28.7,22.0,53.4,84.43,207.89,46.43,0
1호기,낮,11,21.3,26.0,57.0,85.19,207.87,48.92,0
2호기,밤,9,31.2,31.8,50.4,122.48,192.83,54.06,1
3호기,낮,3,32.1,22.8,43.0,98.99,217.29,52.61,0
1호기,밤,13,31.1,27.9,53.9,88.83,179.35,46.04,0
1호기,밤,9,28.3,27.4,62.2,97.30,239.80,54.95,0
2호기,밤,11,25.3,25.5,62.9,105.23,204.62,45.35,0
3호기,밤,1,36.7,30.6,54.0,107.89,199.47,57.59,1
3호기,낮,3,27.0,27.4,50.8,90.39,173.69,60.01,0
3호기,낮,6,28.9,28.1,37.7,96.75,209.58,53.26,0
2호기,밤,9,42.0,22.3,37.7,114.13,228.06,50.73,0
2호기,밤,8,34.5,28.6,48.9,80.31,170.97,57.41,0
1호기,밤,4,25.1,23.1,47.9,114.86,185.40,49.59,0
2호기,낮,16,31.1,25.1,43.6,87.41,156.09,54.96,0
1호기,낮,,24.8,25.0,47.0,89.10,185.84,53.02,0
3호기,밤,10,27.8,23.9,48.7,100.39,142.05,52.86,0
2호기,낮,7,24.9,24.8,48.5,91.37,213.61,44.36,0
1호기,밤,14,28.9,25.5,59.7,94.73,194.09,57.20,0
1호기,밤,16,24.9,24.2,54.2,103.09,207.30,45.89,0
1호기,밤,8,30.7,20.4,45.0,105.05,212.92,44.68,0
2호기,낮,1,23.5,26.2,53.8,115.35,215.59,49.84,0
3호기,낮,11,23.1,25.6,55.4,104.74,208.14,54.11,0
2호기,밤,9,21.4,26.4,62.9,98.26,188.63,45.94,0
2호기,낮,14,31.9,26.4,52.8,113.85,207.84,53.60,0
1호기,밤,,26.2,28.6,33.9,116.63,185.87,41.72,0
3호기,밤,3,27.2,25.6,53.9,106.67,196.39,46.42,0
3호기,밤,16,24.8,27.3,46.3,116.55,173.35,48.90,0
3호기,낮,11,38.4,23.7,55.3,113.69,217.69,47.43,0
2호기,밤,4,36.9,24.9,53.0,88.31,196.06,48.19,0
2호기,밤,,35.0,25.2,46.1,90.04,182.44,52.61,0
2호기,낮,14,24.5,27.7,54.3,106.94,208.02,52.17,0
1호기,낮,4,36.5,26.0,37.7,100.53,234.53,54.81,0
2호기,밤,14,21.9,23.0,55.9,100.22,202.96,46.83,0
3호기,낮,5,28.4,25.8,45.9,111.03,187.11,52.65,0
2호기,밤,16,33.0,18.6,44.5,90.70,193.74,57.51,0
1호기,낮,3,24.3,25.4,51.4,107.30,219.89,35.63,0
2호기,밤,8,35.3,28.7,40.0,109.43,193.87,61.66,0
3호기,낮,9,22.1,27.7,54.6,101.45,193.24,57.81,0
2호기,밤,,32.2,26.5,58.5,116.71,210.46,50.07,0
2호기,낮,13,30.4,22.4,48.7,104.43,178.87,50.85,0
3호기,밤,13,18.0,26.5,54.7,110.92,189.85,47.08,0
1호기,낮,13,37.1,27.3,44.1,88.67,194.62,48.59,0
2호기,밤,12,40.0,27.4,45.1,107.49,226.41,51.79,0
1호기,낮,6,36.1,23.6,32.8,102.76,229.56,57.12,0
3호기,낮,8,27.5,31.3,59.7,104.75,181.09,43.02,0
1호기,밤,14,33.9,25.1,29.8,107.67,168.19,43.81,0
1호기,밤,14,29.5,22.3,59.4,75.14,225.52,39.95,0
1호기,낮,6,28.9,24.0,43.2,108.67,179.51,51.10,0
3호기,밤,12,38.3,25.3,45.2,88.47,200.86,53.21,0
3호기,낮,5,31.7,29.0,54.4,104.22,201.81,51.88,0
3호기,낮,16,19.1,21.4,58.5,93.87,201.10,52.30,0
3호기,밤,13,32.4,27.4,35.4,109.67,214.08,48.12,0
1호기,낮,13,36.2,27.2,54.8,87.93,180.23,54.69,0
1호기,낮,16,31.9,27.7,32.2,102.77,211.14,44.90,0
3호기,낮,,34.4,24.8,44.2,120.99,196.22,49.86,0
3호기,낮,14,35.2,25.6,36.8,117.07,190.48,49.28,0
1호기,낮,3,29.1,24.6,57.2,93.13,169.60,58.62,0
1호기,밤,13,31.2,34.4,57.6,88.74,223.35,42.87,0
2호기,낮,15,24.2,28.7,54.4,98.26,215.07,55.19,0
1호기,낮,13,20.2,27.0,38.4,95.77,251.88,55.40,0
2호기,밤,6,30.9,24.0,49.1,85.99,199.09,50.29,0
1호기,낮,9,26.8,19.5,51.0,104.22,211.19,48.23,0
3호기,밤,0,32.6,25.7,48.3,109.26,208.36,49.89,0
2호기,밤,16,33.8,24.0,43.2,93.31,214.69,51.84,0
2호기,밤,11,25.4,19.9,59.3,87.82,222.55,58.54,0
2호기,낮,15,36.1,27.8,59.5,100.93,206.08,54.80,0
2호기,낮,7,29.8,24.6,25.3,90.52,149.76,43.11,0
1호기,낮,5,28.2,23.2,45.4,112.68,208.58,52.06,0
1호기,밤,4,29.0,21.2,50.1,98.17,184.52,54.19,0
2호기,밤,8,29.6,21.6,52.3,108.03,189.76,47.68,0
2호기,밤,15,25.0,21.8,53.2,101.72,218.85,49.33,0
1호기,밤,0,29.8,21.7,34.8,105.86,197.51,44.41,0
3호기,밤,13,30.9,36.4,45.5,86.15,203.82,50.37,1
1호기,낮,6,27.0,25.6,41.9,88.92,192.45,53.22,0
1호기,낮,11,32.3,27.0,36.2,106.81,190.49,47.01,0
3호기,밤,2,26.3,24.0,56.6,99.24,170.65,45.96,0
3호기,밤,2,28.3,23.4,44.5,88.38,173.66,41.21,0
1호기,낮,,33.8,24.0,55.8,92.67,216.07,46.94,0
1호기,낮,6,27.2,24.2,30.5,83.33,154.95,52.78,0
1호기,낮,12,32.8,23.0,45.7,116.84,185.98,45.99,0
2호기,낮,7,29.5,26.4,46.6,103.31,176.35,44.89,0
1호기,밤,3,24.9,23.5,39.2,109.93,214.24,56.75,0
1호기,밤,0,25.4,19.0,47.8,114.13,211.60,40.74,0
2호기,밤,9,30.9,21.6,74.7,102.79,193.97,46.07,0
1호기,낮,2,20.9,27.0,46.6,94.54,176.06,52.55,0
2호기,밤,14,28.6,27.1,38.5,91.59,209.44,46.36,0
2호기,밤,10,32.5,25.4,60.7,91.11,215.93,52.80,0
1호기,낮,7,18.4,23.4,60.6,97.83,182.47,46.17,0
2호기,낮,12,34.4,28.9,66.4,112.23,211.82,48.88,0
1호기,밤,1,33.0,28.6,53.1,90.69,201.14,42.72,0
2호기,밤,2,23.3,26.5,60.8,101.69,196.46,53.24,0
1호기,밤,13,26.6,25.4,43.0,110.18,161.55,50.53,0
3호기,밤,9,24.8,25.9,42.6,103.12,203.81,39.50,0
2호기,밤,4,35.2,28.8,48.6,109.74,190.56,51.60,0
1호기,낮,8,40.2,21.8,51.8,97.06,177.81,45.98,0
1호기,밤,16,35.7,23.9,56.6,112.59,174.54,55.29,0
3호기,낮,12,28.5,23.8,35.3,97.39,201.93,46.37,0
2호기,밤,7,33.4,25.1,50.2,96.34,176.30,46.57,0
1호기,낮,,26.7,24.3,50.6,113.97,202.67,56.21,0
2호기,낮,16,31.3,24.9,58.0,89.32,187.95,52.47,0
1호기,밤,7,,22.3,52.0,97.56,147.29,56.06,0
2호기,밤,4,32.2,26.3,42.7,104.50,228.69,47.11,0
2호기,밤,14,19.8,21.3,46.6,100.13,160.87,62.16,0
2호기,밤,1,21.7,24.3,27.6,117.27,219.68,56.65,0
3호기,밤,,32.4,24.9,57.1,94.32,189.71,50.54,0
3호기,밤,10,26.3,24.7,40.0,102.68,231.28,51.35,0
1호기,낮,15,41.2,26.2,34.6,92.06,215.37,46.29,0
3호기,밤,9,20.9,23.1,58.9,118.20,197.67,42.74,0
2호기,밤,7,31.7,26.6,51.2,97.41,164.46,44.97,0
1호기,밤,3,33.7,23.5,54.5,91.37,159.29,48.67,0
1호기,밤,10,32.6,30.1,62.9,107.74,184.55,46.59,0
1호기,밤,9,16.3,16.4,30.3,94.89,219.91,47.10,0
2호기,밤,9,30.6,22.4,29.1,116.96,240.21,60.11,0
1호기,밤,3,30.7,27.1,63.8,86.80,202.68,53.41,0
2호기,낮,16,24.7,20.5,44.7,108.45,168.48,57.24,0
1호기,밤,8,36.5,24.5,38.9,110.73,238.68,54.18,0
1호기,낮,13,24.9,29.1,45.3,107.91,180.64,52.66,0
3호기,밤,1,25.5,21.5,44.8,92.27,204.69,41.17,0
3호기,낮,14,25.0,23.9,44.4,98.34,205.76,49.68,0
1호기,밤,6,23.7,28.6,41.1,91.46,191.24,51.42,0
3호기,낮,13,32.9,25.3,53.2,103.81,182.97,46.29,0
1호기,밤,,23.9,22.2,47.6,110.44,218.94,43.48,0
3호기,낮,15,30.3,20.6,61.1,103.35,195.40,45.75,0
3호기,낮,4,27.2,21.1,46.1,95.37,179.68,40.63,0
1호기,밤,14,36.6,32.6,44.8,119.02,200.08,42.46,0
3호기,밤,16,38.5,20.3,36.5,107.91,218.47,53.31,0
2호기,밤,2,29.8,29.1,43.2,104.53,198.17,43.67,0
3호기,낮,14,23.5,23.4,57.8,107.15,192.22,48.33,0
3호기,낮,11,15.5,25.2,58.7,88.32,209.53,37.77,0
2호기,낮,12,26.3,24.5,38.2,100.37,198.04,46.51,0
3호기,낮,15,39.3,24.9,56.8,108.60,192.51,47.29,0
1호기,밤,2,33.3,27.4,62.5,107.45,191.02,48.54,0
2호기,낮,8,32.7,21.1,53.1,85.62,196.48,50.24,0
1호기,낮,15,24.9,25.4,45.2,99.57,173.51,49.00,0
2호기,밤,12,28.4,30.2,67.0,96.13,181.21,47.47,0
1호기,낮,4,30.5,27.3,58.8,90.06,218.19,62.52,0
2호기,밤,0,33.3,22.3,48.2,102.89,212.53,51.96,0
3호기,밤,1,23.0,27.4,42.0,82.98,198.88,50.14,0
1호기,밤,8,29.5,25.9,47.9,89.71,202.43,49.81,0
3호기,밤,3,28.4,22.9,45.6,102.41,213.05,45.95,0
3호기,밤,2,26.9,27.3,50.0,104.31,172.12,46.16,0
2호기,밤,8,26.1,25.5,47.7,86.23,189.80,53.99,0
2호기,낮,7,24.8,24.8,36.3,106.77,130.19,48.79,0
2호기,낮,3,28.2,21.2,57.3,115.36,186.87,42.87,0
2호기,밤,15,32.1,22.2,38.7,99.10,229.54,52.18,0
1호기,낮,11,,29.5,62.2,103.44,193.19,51.43,0
3호기,낮,8,33.6,21.5,42.0,107.80,156.51,55.76,0
1호기,밤,3,30.7,24.0,60.0,92.80,199.09,42.24,0
1호기,밤,12,29.7,28.9,32.9,106.09,156.52,52.04,0
3호기,밤,15,28.6,28.7,53.3,108.85,232.85,48.97,0
1호기,낮,5,34.8,22.7,53.8,111.33,202.26,50.13,0
1호기,낮,11,32.8,20.7,42.9,93.01,202.80,46.62,0
2호기,밤,0,28.5,30.7,42.1,107.82,167.60,49.59,0
3호기,낮,3,37.3,20.6,54.5,89.84,202.62,50.35,0
3호기,낮,5,35.6,29.1,45.1,108.80,206.92,42.32,0
3호기,낮,12,35.5,25.7,67.8,108.78,206.40,51.66,0
1호기,낮,9,29.8,24.1,42.0,90.53,192.85,39.84,0
2호기,밤,15,27.4,26.7,45.5,102.12,200.64,41.19,0
3호기,밤,12,32.0,27.4,43.3,84.20,193.51,56.06,0
1호기,낮,2,35.7,24.2,44.8,94.43,190.56,56.97,0
1호기,낮,10,27.1,22.2,48.7,106.35,197.18,50.13,0
1호기,밤,2,30.2,21.1,52.1,92.97,188.80,46.12,0
2호기,밤,6,21.3,27.2,47.4,101.36,160.58,45.09,0
1호기,낮,5,17.7,23.1,33.8,98.77,198.64,39.66,0
1호기,밤,,30.2,23.3,50.3,89.97,173.09,36.32,0
3호기,낮,4,27.5,23.3,32.6,88.28,188.15,44.44,0
2호기,낮,10,34.5,23.9,46.6,107.71,191.67,52.33,0
3호기,밤,16,26.7,24.7,38.9,102.73,176.28,54.99,0
1호기,낮,2,25.7,21.2,47.9,102.75,186.66,53.89,0
2호기,낮,1,32.2,29.0,29.4,115.31,196.18,51.42,0
1호기,밤,0,28.6,26.2,45.9,112.28,211.59,53.69,0
3호기,낮,5,24.9,28.3,50.7,94.68,230.65,41.70,0
3호기,낮,13,33.6,26.4,52.4,97.14,232.45,52.24,0
2호기,밤,6,26.3,25.3,52.8,114.34,219.22,57.31,0
1호기,낮,9,32.7,27.0,63.1,112.53,210.08,43.02,0
3호기,밤,3,28.9,29.1,46.1,103.00,195.05,50.28,0
2호기,낮,9,29.1,27.0,34.2,113.19,225.42,51.40,0
1호기,낮,15,22.8,25.0,36.1,90.02,163.84,46.54,0
1호기,밤,16,28.5,22.1,48.3,82.71,170.80,57.40,0
2호기,낮,8,22.4,22.2,44.5,103.73,216.30,50.40,0
2호기,밤,4,32.3,19.2,56.4,108.28,187.40,45.76,0
1호기,밤,13,26.3,26.5,54.4,99.83,224.99,46.07,0
2호기,밤,13,26.5,24.7,54.0,99.31,195.62,55.97,0
3호기,밤,14,28.4,19.0,60.4,105.61,183.02,51.46,0
2호기,낮,0,36.2,24.2,55.5,82.51,221.58,48.80,0
1호기,밤,6,31.7,23.9,43.8,106.58,195.82,51.62,0
2호기,밤,1,30.4,26.5,44.9,108.91,216.69,43.67,0
1호기,낮,5,31.9,20.5,57.4,92.89,201.03,52.36,0
1호기,밤,2,30.6,28.2,26.9,110.62,175.79,56.43,0
3호기,낮,2,35.0,24.6,26.0,85.38,196.86,42.24,0
1호기,밤,13,23.7,20.5,43.6,113.23,180.12,48.80,0
1호기,낮,12,38.0,27.3,60.3,103.16,253.50,45.46,0
3호기,낮,10,31.5,27.0,44.6,101.82,200.36,52.57,0
1호기,밤,9,25.1,25.6,58.1,102.21,193.20,51.42,0
3호기,밤,2,27.1,27.5,44.9,102.76,188.98,43.45,0
1호기,낮,3,27.8,25.5,50.8,101.51,218.91,58.15,0
1호기,낮,,30.2,26.3,53.0,80.01,181.60,44.50,0
3호기,밤,16,23.6,28.1,39.9,100.54,191.31,49.90,0
2호기,낮,4,33.7,20.7,52.1,112.15,236.07,46.81,0
1호기,밤,2,33.3,30.0,43.6,81.51,234.70,50.92,0
1호기,낮,15,30.3,26.5,48.5,94.94,181.18,65.45,0
1호기,밤,15,36.3,23.3,46.1,102.37,191.27,55.88,0
1호기,밤,2,33.0,28.1,46.1,115.87,224.92,53.04,0
2호기,밤,0,24.0,24.4,54.6,105.08,231.21,43.50,0
2호기,밤,11,23.9,28.4,49.0,74.09,213.00,47.82,0
3호기,낮,10,26.4,25.8,42.1,91.52,193.83,51.51,0
1호기,밤,,,30.0,55.0,88.07,214.79,45.13,0
2호기,낮,5,33.8,21.0,46.7,109.23,239.23,54.70,0
2호기,낮,11,25.1,25.6,44.2,104.02,177.29,55.76,0
2호기,밤,0,33.7,23.0,48.9,86.77,192.10,48.68,0
1호기,밤,12,28.2,20.3,64.1,100.25,216.18,49.58,0
1호기,낮,5,33.4,28.6,70.3,101.83,208.81,43.07,0
3호기,낮,9,40.9,23.7,46.9,106.11,156.98,43.97,0
3호기,낮,12,33.2,23.5,44.8,108.13,170.64,42.17,0
1호기,밤,6,31.6,22.5,41.9,84.90,199.05,43.53,0
3호기,밤,14,40.1,26.2,40.2,101.07,206.72,51.69,0
3호기,밤,10,36.8,28.3,58.0,82.78,221.27,53.83,0
2호기,낮,14,27.5,26.2,43.4,98.93,201.74,47.46,0
1호기,밤,8,30.0,24.0,40.3,99.91,189.49,40.39,0
1호기,밤,16,29.7,26.1,51.3,103.18,196.13,56.77,0
1호기,밤,16,30.9,28.6,55.4,100.09,178.52,51.67,0
1호기,밤,9,27.1,29.4,49.5,85.82,189.06,53.78,0
1호기,낮,12,,22.5,38.0,107.65,217.49,40.59,0
3호기,낮,15,32.5,25.9,45.1,107.42,179.85,47.73,0
