home_id,district,floor_area_sqm,room_count,bath_count,built_years
69,솔빛구,118,3,2,34
70,한들구,45,2,1,16
71,솔빛구,183,5,2,21
72,별빛구,69,2,1,25
73,솔빛구,140,4,2,10
74,,138,3,2,24
75,미르구,161,5,3,6
76,별빛구,131,3,2,25
77,솔빛구,136,4,3,32
78,그외,169,5,3,39
79,별빛구,173,5,2,39
80,그외,50,2,2,32
81,솔빛구,126,3,2,36
82,한들구,134,4,3,26
83,솔빛구,79,2,1,37
84,미르구,190,6,3,25
85,미르구,107,3,2,26
86,별빛구,130,4,3,22
87,별빛구,196,6,3,2
88,미르구,124,4,1,1
89,솔빛구,80,2,1,4
90,그외,184,5,3,23
91,한들구,92,3,2,6
92,별빛구,91,3,1,
93,솔빛구,132,4,2,35
94,미르구,157,5,3,5
95,별빛구,181,6,3,37
96,미르구,98,3,2,19
97,솔빛구,103,3,1,30
98,별빛구,77,3,2,23
99,솔빛구,94,3,2,6
100,한들구,130,4,2,19
101,별빛구,107,3,2,5
102,솔빛구,183,5,2,7
103,미르구,124,4,2,40
104,그외,150,,2,23
105,솔빛구,88,3,1,9
106,미르구,165,5,3,30
107,한들구,180,5,3,35
108,별빛구,45,2,1,39
109,별빛구,104,3,2,17
110,별빛구,140,4,2,8
111,별빛구,137,4,2,34
112,미르구,78,2,1,14
113,솔빛구,128,4,3,21
114,그외,145,5,2,1
115,한들구,96,3,2,22
116,별빛구,145,4,2,29
117,한들구,66,3,2,27
118,별빛구,174,6,3,22
119,솔빛구,165,5,3,35
120,솔빛구,58,3,3,22
121,별빛구,140,4,2,2
122,솔빛구,126,4,2,16
123,한들구,109,3,2,34
124,미르구,107,4,2,22
125,미르구,45,1,1,7
126,미르구,158,5,2,7
127,솔빛구,108,4,2,8
128,별빛구,112,3,1,31
129,미르구,148,4,2,31
130,미르구,201,6,3,13
131,별빛구,77,2,2,21
132,솔빛구,137,4,2,21
133,그외,97,2,1,18
134,솔빛구,46,1,1,26
135,한들구,147,4,2,24
136,한들구,71,3,2,11
137,별빛구,122,4,2,21
138,솔빛구,102,3,1,25
139,솔빛구,94,2,1,0
140,별빛구,143,5,2,21
141,별빛구,48,,1,26
142,한들구,124,3,2,23
143,솔빛구,112,3,2,6
144,,99,3,1,14
145,,156,,2,2
146,한들구,93,2,1,39
147,솔빛구,117,3,1,17
148,별빛구,167,4,2,7
149,,45,2,1,21
150,별빛구,102,3,1,12
151,미르구,73,2,1,21
152,별빛구,114,3,1,24
153,한들구,138,4,2,27
154,그외,45,1,1,13
155,솔빛구,196,6,3,29
156,별빛구,175,5,2,31
157,솔빛구,95,3,2,20
158,별빛구,102,3,3,10
159,미르구,170,5,3,33
160,미르구,110,4,2,0
161,솔빛구,149,5,2,15
162,별빛구,143,4,2,37
163,별빛구,97,3,2,12
164,솔빛구,205,5,2,14
165,별빛구,112,3,1,8
166,별빛구,183,5,3,29
167,별빛구,151,4,1,8
168,미르구,67,2,1,25
169,별빛구,67,2,,5
170,그외,162,5,3,14
171,별빛구,116,3,2,29
172,,142,3,2,9
173,별빛구,184,5,3,32
174,한들구,48,1,1,26
175,미르구,183,5,3,29
176,한들구,115,3,2,29
177,솔빛구,111,4,2,7
178,한들구,131,4,2,23
179,미르구,135,4,1,23
180,솔빛구,172,5,3,8
181,별빛구,122,4,2,5
182,별빛구,83,2,1,13
183,미르구,147,5,3,4
184,미르구,89,3,2,10
185,솔빛구,180,5,2,16
186,미르구,145,5,2,23
187,미르구,149,5,2,20
188,별빛구,130,3,2,5
189,별빛구,119,4,2,13
190,별빛구,173,5,3,13
191,별빛구,82,2,1,21
192,별빛구,123,3,1,23
193,한들구,124,3,2,17
194,,183,6,3,17
195,솔빛구,104,3,2,0
196,한들구,96,3,1,38
197,별빛구,147,5,3,16
198,별빛구,128,4,3,3
199,솔빛구,148,4,2,23
200,미르구,128,3,1,38
201,그외,130,4,2,33
202,솔빛구,122,4,3,35
203,미르구,137,4,,32
204,별빛구,173,5,3,35
205,솔빛구,145,4,2,13
206,한들구,137,4,2,27
207,그외,144,4,1,27
208,미르구,205,6,3,39
209,그외,51,1,1,9
210,미르구,144,4,2,4
211,미르구,157,5,2,35
212,별빛구,134,4,2,14
213,솔빛구,109,3,2,2
214,미르구,142,4,3,14
215,미르구,95,3,1,2
216,솔빛구,97,3,1,4
217,미르구,164,5,,16
218,솔빛구,65,2,1,17
219,솔빛구,151,5,2,39
220,그외,79,2,1,25
221,한들구,154,5,3,38
222,솔빛구,114,4,2,8
223,한들구,155,5,2,22
224,한들구,125,4,2,35
225,한들구,205,6,3,30
226,그외,89,2,2,1
227,한들구,163,5,2,9
228,그외,123,3,2,24
229,별빛구,158,4,1,6
230,솔빛구,87,3,1,36
231,한들구,161,4,2,14
232,그외,140,5,3,40
233,별빛구,126,5,3,9
234,미르구,167,5,3,14
235,미르구,184,5,2,5
236,별빛구,182,5,2,
237,솔빛구,103,3,1,11
238,한들구,140,4,1,21
239,한들구,205,6,3,18
240,별빛구,92,3,2,17
241,별빛구,127,3,2,14
242,미르구,118,4,,
243,그외,94,2,1,8
244,그외,205,6,3,36
245,,47,2,1,14
246,별빛구,145,4,1,9
247,한들구,130,3,2,38
248,솔빛구,79,2,1,7
249,한들구,95,3,1,5
250,솔빛구,105,3,2,0
251,별빛구,120,4,1,12
252,별빛구,139,4,3,11
253,별빛구,109,3,2,35
254,솔빛구,179,5,2,10
255,별빛구,139,4,2,6
256,솔빛구,167,6,3,11
257,솔빛구,166,4,3,23
258,솔빛구,179,5,3,23
259,미르구,178,5,2,38
260,솔빛구,45,1,1,25
261,한들구,111,3,2,13
262,미르구,122,3,3,14
263,별빛구,115,3,2,40
264,미르구,146,4,2,14
265,솔빛구,128,4,1,21
266,별빛구,116,4,2,7
267,솔빛구,196,6,3,4
268,한들구,128,4,2,7
269,미르구,126,4,2,17
270,미르구,159,5,3,4
271,별빛구,99,3,3,20
272,별빛구,101,3,2,40
273,그외,134,3,1,32
274,그외,127,4,3,6
275,그외,171,5,2,12
276,미르구,159,5,2,6
277,별빛구,205,,3,
278,한들구,161,5,3,20
279,한들구,110,3,1,7
280,미르구,118,3,1,29
281,한들구,70,2,1,30
282,솔빛구,45,1,2,28
283,한들구,121,4,2,19
284,한들구,58,1,1,40
285,그외,156,4,2,28
286,미르구,188,5,2,22
287,한들구,45,1,1,9
288,별빛구,205,6,3,20
289,솔빛구,94,3,1,2
290,별빛구,64,2,1,32
291,별빛구,205,6,3,29
292,미르구,165,5,2,10
293,별빛구,133,4,1,33
294,그외,140,4,2,19
295,별빛구,192,6,3,40
296,한들구,129,4,2,35
297,한들구,93,3,2,35
298,미르구,92,3,1,17
299,별빛구,121,3,1,7
300,별빛구,134,4,2,23
301,그외,114,3,1,30
302,한들구,56,2,1,35
303,한들구,167,4,2,33
304,별빛구,129,4,1,18
305,,66,2,1,2
306,한들구,131,4,2,
307,솔빛구,145,4,2,30
308,솔빛구,91,3,2,31
309,별빛구,99,3,1,29
310,그외,124,4,2,6
311,솔빛구,88,3,1,22
312,솔빛구,179,6,3,16
313,한들구,113,3,1,12
314,별빛구,140,4,2,20
315,,45,1,1,7
316,미르구,131,4,2,10
317,그외,148,4,2,12
318,별빛구,103,3,1,0
319,미르구,127,4,2,17
320,미르구,181,5,3,4
321,그외,148,4,2,24
322,미르구,111,,2,21
323,솔빛구,123,3,1,13
324,솔빛구,125,4,1,1
325,한들구,205,6,3,13
326,한들구,89,3,1,36
327,솔빛구,45,1,1,37
328,별빛구,156,5,3,11
329,미르구,90,3,1,21
330,미르구,200,6,3,19
331,한들구,145,4,1,29
332,한들구,72,2,1,38
333,솔빛구,187,5,3,35
334,한들구,154,4,2,38
335,한들구,154,4,2,28
336,솔빛구,188,,2,20
337,별빛구,137,4,3,
338,솔빛구,117,4,2,26
339,솔빛구,87,3,2,27
340,별빛구,123,3,1,20
341,한들구,73,2,1,7
342,솔빛구,150,5,2,8
343,한들구,113,4,1,22
344,별빛구,106,4,2,18
345,미르구,92,3,2,16
346,솔빛구,180,5,3,12
347,솔빛구,154,5,3,33
348,솔빛구,145,4,2,
349,한들구,81,3,1,
350,솔빛구,186,5,3,23
351,미르구,52,1,1,13
352,그외,171,5,2,1
353,별빛구,64,2,1,4
354,별빛구,191,6,2,11
355,미르구,112,3,2,23
356,한들구,117,3,1,22
357,한들구,166,5,2,11
358,별빛구,122,4,2,38
359,미르구,126,4,2,33
360,별빛구,144,4,3,34
361,솔빛구,109,3,1,24
362,별빛구,113,3,1,11
363,한들구,133,4,2,9
364,별빛구,150,4,2,30
365,한들구,84,3,2,24
366,별빛구,91,3,2,29
367,한들구,96,3,1,18
368,,114,4,2,15
369,별빛구,105,4,3,25
370,별빛구,109,3,2,28
371,별빛구,108,4,2,7
372,솔빛구,137,4,3,4
373,미르구,148,4,3,23
374,별빛구,156,5,3,0
375,솔빛구,148,4,2,39
376,한들구,134,4,2,30
377,솔빛구,117,4,3,1
378,미르구,151,5,3,7
379,솔빛구,121,4,3,14
380,그외,105,3,1,23
381,미르구,126,4,2,25
382,미르구,121,3,1,21
383,솔빛구,173,5,3,31
384,별빛구,119,4,1,12
385,별빛구,201,6,3,15
386,솔빛구,56,2,1,17
387,솔빛구,157,4,1,22
388,솔빛구,135,4,2,31
389,별빛구,108,3,1,18
390,솔빛구,45,1,1,11
391,솔빛구,147,4,3,12
392,솔빛구,187,6,2,7
393,그외,117,4,2,21
394,미르구,152,5,2,16
395,솔빛구,150,4,2,0
396,별빛구,122,3,2,39
397,미르구,107,3,2,19
398,미르구,45,1,1,8
399,솔빛구,108,3,2,22
400,한들구,114,3,2,29
401,한들구,132,4,2,13
402,별빛구,205,6,2,24
403,솔빛구,95,3,2,33
404,미르구,112,3,3,16
405,솔빛구,178,5,2,20
406,미르구,190,6,3,16
407,별빛구,153,4,3,39
408,미르구,123,4,2,40
409,별빛구,45,2,,15
410,그외,128,4,2,5
411,미르구,67,2,1,38
412,미르구,175,5,2,4
413,솔빛구,135,4,2,21
414,솔빛구,190,6,3,14
415,솔빛구,178,5,2,5
416,한들구,131,4,1,7
417,별빛구,167,5,3,10
418,한들구,134,4,3,1
419,한들구,110,3,1,27
420,한들구,83,2,2,34
421,솔빛구,108,3,2,30
422,솔빛구,96,3,2,11
423,솔빛구,137,4,2,23
424,미르구,123,3,2,12
425,,83,2,1,13
426,미르구,158,5,2,33
427,한들구,122,4,3,
428,한들구,172,5,3,2
429,미르구,54,2,1,33
430,한들구,127,4,2,
431,솔빛구,124,4,2,4
432,별빛구,146,5,2,24
433,별빛구,45,2,2,7
434,솔빛구,72,,1,33
435,한들구,165,5,3,3
436,별빛구,205,6,3,14
437,미르구,45,1,1,18
438,별빛구,114,3,1,25
439,솔빛구,148,4,2,15
440,미르구,177,5,2,20
441,별빛구,139,4,2,33
442,미르구,81,3,2,17
443,그외,89,3,2,19
444,별빛구,100,4,2,15
445,그외,91,2,2,15
446,별빛구,161,4,1,28
447,미르구,55,2,1,26
448,솔빛구,135,5,,
449,솔빛구,137,4,3,19
450,,146,4,2,22
451,솔빛구,96,4,2,7
452,미르구,141,4,2,16
453,한들구,149,4,3,10
454,한들구,121,4,2,23
455,별빛구,174,5,3,6
456,별빛구,146,5,3,23
457,솔빛구,99,2,1,13
458,한들구,151,4,2,30
459,솔빛구,151,,2,18
460,한들구,205,6,3,0
461,한들구,144,,3,37
462,미르구,122,4,1,26
463,미르구,136,4,2,30
464,미르구,124,3,1,30
465,솔빛구,128,4,2,16
466,그외,167,,2,24
467,별빛구,190,5,3,10
468,미르구,184,5,2,1
469,솔빛구,118,3,1,30
470,별빛구,156,,3,23
471,솔빛구,205,6,3,22
472,솔빛구,141,4,2,28
473,한들구,78,2,1,19
474,한들구,139,4,2,9
475,솔빛구,150,4,2,15
476,한들구,58,2,1,25
477,솔빛구,190,5,2,10
478,별빛구,49,1,1,7
479,솔빛구,115,3,1,21
480,한들구,146,5,2,25
481,미르구,117,4,1,19
482,별빛구,98,3,2,17
483,그외,167,4,2,38
484,별빛구,151,4,2,9
485,솔빛구,148,4,2,26
486,한들구,125,4,3,
487,솔빛구,103,,1,29
488,솔빛구,140,3,2,27
489,별빛구,128,4,3,4
490,미르구,145,5,2,24
491,그외,124,3,1,5
492,별빛구,98,3,2,32
493,솔빛구,137,4,2,14
494,별빛구,164,5,2,20
495,한들구,114,3,1,20
496,한들구,81,2,1,4
497,한들구,137,5,2,4
498,별빛구,112,3,1,21
499,그외,161,5,3,7
500,별빛구,163,5,2,34
501,한들구,153,5,2,
502,솔빛구,153,5,3,30
503,별빛구,102,3,2,38
504,별빛구,196,5,3,23
505,별빛구,131,4,2,38
506,,137,4,3,25
507,한들구,194,5,3,18
508,그외,147,4,2,4
509,한들구,172,5,3,8
510,,161,5,2,20
511,별빛구,86,3,2,30
512,별빛구,154,4,2,0
513,그외,154,4,1,30
514,솔빛구,123,4,1,8
515,솔빛구,118,3,2,17
516,미르구,116,3,1,34
517,솔빛구,91,3,1,19
518,한들구,128,4,2,24
519,한들구,189,6,2,2
520,솔빛구,86,2,1,23
521,별빛구,116,4,2,34
522,솔빛구,101,3,1,25
523,솔빛구,127,4,2,17
524,미르구,114,3,1,5
525,별빛구,45,1,1,27
526,한들구,87,3,2,33
527,별빛구,150,4,2,3
528,솔빛구,65,2,1,39
529,한들구,59,2,2,22
530,미르구,73,,1,5
531,별빛구,156,4,2,34
532,솔빛구,201,6,2,2
533,별빛구,89,2,1,3
534,한들구,134,4,2,7
535,솔빛구,115,3,1,9
536,미르구,108,3,2,9
537,솔빛구,187,5,3,23
538,한들구,115,4,1,24
539,별빛구,121,4,2,30
540,미르구,111,3,1,18
541,한들구,193,6,3,39
542,미르구,141,4,1,2
543,별빛구,130,3,2,38
544,별빛구,60,2,1,37
545,별빛구,108,3,2,11
546,별빛구,100,3,2,37
547,한들구,188,5,2,8
548,미르구,119,3,2,0
549,솔빛구,82,3,1,39
550,별빛구,163,5,2,38
551,한들구,115,3,1,18
552,미르구,145,4,2,9
553,별빛구,143,4,2,38
554,그외,130,4,2,0
555,별빛구,70,2,2,
556,미르구,132,4,3,31
557,별빛구,105,3,2,38
558,별빛구,136,4,2,37
559,그외,130,4,,29
560,한들구,147,4,2,8
561,별빛구,160,5,3,10
562,그외,175,5,2,31
563,한들구,138,3,3,
564,별빛구,115,4,2,25
565,한들구,172,5,3,8
566,미르구,104,4,2,
567,별빛구,52,2,1,32
568,별빛구,169,4,2,36
569,미르구,53,1,1,20
570,미르구,105,3,2,21
571,별빛구,153,,3,17
572,미르구,75,2,,
573,미르구,115,3,2,12
574,한들구,163,5,2,19
575,별빛구,138,4,2,17
576,솔빛구,45,2,1,27
577,별빛구,106,3,1,35
578,미르구,159,4,2,14
579,한들구,147,4,2,4
580,별빛구,169,5,3,11
581,미르구,127,4,2,11
582,한들구,92,3,1,35
583,그외,130,4,2,31
584,별빛구,202,6,3,17
585,별빛구,183,5,2,16
586,별빛구,122,4,2,36
587,,205,6,3,6
588,그외,135,3,1,5
589,그외,136,4,2,29
590,미르구,143,4,2,29
591,솔빛구,63,2,1,15
592,미르구,97,3,2,40
593,미르구,96,3,1,25
594,미르구,99,3,2,12
595,별빛구,99,3,,32
596,미르구,109,3,1,13
597,솔빛구,109,3,2,7
598,미르구,73,3,1,3
599,한들구,116,3,2,23
600,별빛구,185,5,3,8
601,한들구,153,4,2,8
602,솔빛구,45,2,1,2
603,한들구,105,3,1,25
604,솔빛구,184,6,3,16
605,한들구,142,4,2,27
606,한들구,97,3,1,31
607,별빛구,156,5,3,39
608,미르구,161,5,2,13
609,솔빛구,122,3,1,25
610,별빛구,191,6,2,11
611,별빛구,111,3,,39
612,별빛구,127,4,2,4
613,한들구,164,5,3,37
614,별빛구,81,3,1,23
615,미르구,133,4,3,11
616,한들구,176,5,3,26
617,그외,160,5,2,34
618,솔빛구,79,2,1,8
619,한들구,148,4,2,11
620,솔빛구,136,,1,8
621,별빛구,99,3,1,12
622,한들구,144,4,2,27
623,솔빛구,118,3,,10
624,솔빛구,160,5,3,19
625,솔빛구,178,5,3,35
626,미르구,122,3,2,11
627,미르구,88,2,1,16
628,미르구,129,4,2,17
629,한들구,86,3,1,17
630,그외,131,4,2,2
631,별빛구,77,2,1,1
632,미르구,101,3,2,38
633,미르구,145,5,3,21
634,미르구,97,3,1,32
635,그외,119,4,3,22
636,한들구,105,3,1,9
637,미르구,149,4,1,18
638,미르구,91,3,1,3
639,한들구,83,2,1,9
640,미르구,142,4,2,30
641,별빛구,146,4,2,9
642,한들구,94,3,2,17
643,미르구,125,4,2,33
644,별빛구,157,5,2,33
645,별빛구,143,,2,2
646,별빛구,93,3,2,12
647,한들구,125,4,2,14
648,한들구,189,6,3,5
649,,136,,2,6
650,한들구,171,6,3,25
651,솔빛구,87,2,1,40
652,별빛구,54,1,1,11
653,한들구,99,3,1,18
654,솔빛구,45,2,1,33
655,미르구,163,5,2,7
656,별빛구,188,6,3,37
657,한들구,118,4,1,14
658,한들구,109,3,1,4
659,한들구,94,3,2,34
660,미르구,120,4,2,11
661,한들구,177,5,2,
662,한들구,166,5,2,14
663,미르구,123,3,2,4
664,한들구,205,6,3,35
665,미르구,168,5,2,15
666,솔빛구,162,5,2,13
667,미르구,145,5,2,2
668,별빛구,120,3,2,3
669,한들구,140,4,2,5
670,한들구,167,5,3,4
671,별빛구,45,1,1,7
672,별빛구,66,2,1,22
673,솔빛구,148,5,2,16
674,미르구,45,2,1,7
675,솔빛구,122,4,2,35
676,그외,178,5,3,20
677,한들구,64,1,1,20
678,솔빛구,205,6,3,37
679,한들구,65,1,1,22
680,별빛구,112,3,1,9
681,별빛구,90,3,1,0
682,솔빛구,72,1,1,31
683,한들구,45,1,1,21
684,그외,118,3,2,11
685,별빛구,142,,2,40
686,한들구,141,5,3,21
687,솔빛구,132,4,2,10
688,한들구,164,5,2,7
689,한들구,135,4,3,37
690,한들구,97,3,2,26
691,미르구,126,3,2,15
692,별빛구,170,5,3,6
693,미르구,191,5,2,28
694,솔빛구,107,3,1,8
695,솔빛구,76,2,1,35
696,한들구,143,4,2,10
697,솔빛구,148,5,2,22
698,미르구,132,4,2,11
699,미르구,82,3,2,18
700,그외,91,3,1,27
701,한들구,126,3,1,28
702,미르구,68,2,2,20
703,미르구,132,4,2,37
704,별빛구,115,3,1,10
705,한들구,126,4,1,38
706,미르구,89,2,1,35
707,한들구,104,3,1,25
708,한들구,64,2,1,5
709,한들구,86,3,1,40
710,별빛구,147,,1,12
711,한들구,134,4,2,21
712,그외,82,3,,40
713,미르구,128,,2,30
714,솔빛구,103,4,1,11
715,별빛구,87,2,1,5
716,별빛구,137,4,2,7
717,한들구,140,4,2,26
718,한들구,85,3,3,23
719,별빛구,168,4,2,39
720,별빛구,120,4,2,22
721,그외,168,5,3,28
722,미르구,117,3,1,17
723,미르구,120,4,3,11
724,별빛구,95,3,1,9
725,솔빛구,110,3,2,22
726,미르구,205,6,3,0
727,솔빛구,151,4,3,13
728,별빛구,99,3,1,14
729,별빛구,166,4,2,32
730,솔빛구,115,3,2,5
731,미르구,120,3,2,21
732,별빛구,150,5,3,5
733,그외,194,,3,12
734,별빛구,205,6,3,
735,솔빛구,94,3,2,1
736,솔빛구,107,3,2,12
737,한들구,101,2,2,22
738,솔빛구,97,,1,40
739,한들구,45,1,1,7
740,솔빛구,106,,1,10
741,솔빛구,104,3,1,14
742,별빛구,102,3,1,6
743,솔빛구,117,4,2,35
744,한들구,120,4,2,17
745,그외,102,3,2,22
746,별빛구,162,5,3,8
747,별빛구,200,6,3,17
748,한들구,122,4,2,28
749,별빛구,98,3,1,37
750,솔빛구,97,3,2,33
751,한들구,153,4,2,28
752,한들구,143,4,3,19
753,솔빛구,114,3,1,27
754,미르구,71,2,1,22
755,별빛구,164,5,2,9
756,솔빛구,133,4,2,30
757,그외,126,4,2,3
758,미르구,153,4,2,6
759,한들구,136,3,2,36
760,별빛구,105,4,2,40
761,별빛구,111,3,2,34
762,,95,2,1,11
763,한들구,120,4,1,11
764,별빛구,156,5,3,26
765,그외,90,2,2,34
766,솔빛구,96,3,1,0
767,별빛구,134,4,2,25
768,솔빛구,190,5,2,6
769,솔빛구,62,2,1,7
770,별빛구,122,3,1,21
771,미르구,113,3,2,24
772,별빛구,109,3,2,12
773,별빛구,191,6,3,2
774,한들구,172,5,2,36
775,한들구,92,3,2,34
776,별빛구,176,5,2,40
777,솔빛구,117,3,2,8
778,별빛구,112,3,1,5
779,,89,3,1,40
780,별빛구,150,4,2,4
781,별빛구,181,5,3,26
782,미르구,166,4,3,12
783,별빛구,164,5,3,
784,솔빛구,63,2,1,10
785,솔빛구,123,3,2,12
786,별빛구,77,2,1,28
787,한들구,125,4,2,38
788,미르구,153,,2,24
789,별빛구,105,3,2,9
790,솔빛구,157,5,2,11
791,한들구,165,4,2,16
792,그외,123,4,1,26
793,그외,173,,1,13
794,그외,114,4,2,
795,그외,122,3,2,33
796,한들구,73,2,2,2
797,그외,134,3,1,23
798,한들구,127,4,1,26
799,미르구,45,1,1,14
800,한들구,193,6,3,
801,솔빛구,50,2,1,31
802,한들구,110,3,1,12
803,솔빛구,85,3,2,14
804,한들구,133,4,2,25
805,솔빛구,115,3,1,28
806,그외,124,3,1,27
807,별빛구,61,1,1,10
808,미르구,180,5,2,1
809,미르구,178,6,3,1
810,솔빛구,45,2,1,2
811,한들구,84,2,1,22
812,솔빛구,156,4,2,3
813,미르구,98,3,1,35
814,미르구,116,3,1,34
815,별빛구,123,3,1,5
816,한들구,184,5,2,39
817,별빛구,90,3,1,26
818,미르구,110,3,2,37
819,한들구,56,2,1,33
820,별빛구,117,3,1,12
821,미르구,166,5,2,13
822,한들구,93,3,2,15
823,별빛구,145,4,2,15
824,한들구,151,5,3,10
825,솔빛구,149,4,2,25
826,솔빛구,45,2,1,3
827,별빛구,201,6,3,36
828,솔빛구,94,2,1,39
829,한들구,116,3,2,5
830,별빛구,133,4,3,35
831,한들구,100,2,1,9
832,솔빛구,53,1,1,25
833,별빛구,125,4,3,32
834,별빛구,122,4,2,21
835,별빛구,157,4,2,11
836,한들구,45,1,1,0
837,솔빛구,81,3,2,16
838,솔빛구,115,3,1,29
839,그외,65,2,1,0
840,솔빛구,116,3,2,21
841,별빛구,205,6,3,28
842,별빛구,162,5,2,5
843,미르구,131,3,1,25
844,별빛구,133,4,2,26
845,솔빛구,112,3,1,37
846,미르구,78,2,1,39
847,솔빛구,48,1,2,2
848,솔빛구,139,4,2,9
849,한들구,75,2,2,17
850,그외,131,4,3,14
851,한들구,124,4,3,30
852,별빛구,84,,2,33
853,솔빛구,140,4,3,16
854,별빛구,45,1,1,38
855,솔빛구,71,1,1,36
856,별빛구,159,5,2,38
857,별빛구,149,4,2,7
858,,205,6,3,34
859,솔빛구,154,4,3,4
860,솔빛구,91,3,2,21
861,별빛구,129,4,2,30
862,별빛구,74,2,1,36
863,별빛구,180,5,3,1
864,별빛구,128,4,2,5
865,미르구,45,2,1,11
866,별빛구,178,5,3,26
867,별빛구,77,2,1,14
868,한들구,121,3,1,22
869,별빛구,149,5,2,11
870,미르구,120,4,2,10
871,그외,175,5,3,20
872,한들구,129,4,2,4
873,솔빛구,89,3,1,34
874,그외,174,5,3,39
875,솔빛구,68,2,1,26
876,한들구,90,,2,17
877,한들구,195,5,3,18
878,한들구,138,4,3,0
879,솔빛구,79,2,1,13
880,별빛구,132,4,3,14
881,,98,3,1,9
882,솔빛구,98,3,1,30
883,별빛구,141,5,3,30
884,솔빛구,114,4,2,12
885,미르구,67,2,2,0
886,그외,204,6,3,12
887,한들구,148,4,2,36
888,한들구,109,3,2,34
889,미르구,147,4,1,38
890,한들구,114,3,2,35
891,한들구,182,5,3,16
892,별빛구,85,2,1,30
893,그외,148,5,2,10
894,솔빛구,161,5,3,25
895,솔빛구,86,2,1,0
896,솔빛구,45,2,1,8
897,솔빛구,106,3,1,16
898,별빛구,152,5,3,33
899,별빛구,148,4,2,10
900,별빛구,148,4,2,36
901,그외,122,4,2,4
902,한들구,160,5,2,14
903,미르구,129,3,2,33
904,한들구,132,4,2,17
905,별빛구,168,5,3,10
906,별빛구,151,4,2,8
907,미르구,45,1,1,9
908,별빛구,57,2,1,24
909,한들구,128,,1,24
910,그외,154,,3,30
911,솔빛구,88,3,2,12
912,그외,141,4,3,2
913,미르구,198,6,3,24
914,솔빛구,129,4,2,34
915,그외,112,3,1,22
916,별빛구,54,2,2,8
917,미르구,156,5,2,35
918,미르구,156,5,2,24
919,한들구,129,3,2,6
920,그외,56,2,1,30
921,솔빛구,125,4,2,30
922,솔빛구,128,4,3,33
923,그외,165,5,3,21
924,,65,2,1,31
925,미르구,130,4,2,19
926,그외,205,6,3,16
927,그외,92,2,1,39
928,한들구,72,2,2,39
929,별빛구,187,5,3,29
930,솔빛구,61,2,1,7
931,별빛구,119,3,1,11
932,별빛구,205,6,3,0
933,한들구,165,5,2,30
934,별빛구,90,3,1,34
935,미르구,200,6,3,31
936,별빛구,175,5,2,5
937,한들구,162,5,3,6
938,한들구,155,4,2,20
939,솔빛구,119,3,1,20
940,미르구,59,1,1,1
941,한들구,146,4,2,9
942,별빛구,80,2,1,40
943,별빛구,94,3,2,28
944,별빛구,97,3,1,7
945,별빛구,152,5,2,32
946,솔빛구,45,2,1,33
947,솔빛구,126,3,1,14
948,별빛구,72,2,1,4
949,한들구,151,4,3,27
950,한들구,147,4,,17
951,별빛구,103,3,1,2
952,별빛구,106,3,2,34
953,솔빛구,194,6,,20
954,별빛구,127,4,1,39
955,별빛구,70,2,1,4
956,미르구,127,3,2,18
957,미르구,175,5,3,2
958,별빛구,117,3,1,21
959,별빛구,147,4,1,1
960,별빛구,75,2,1,31
961,한들구,55,2,1,3
962,별빛구,45,1,1,1
