maker,used_years,total_distance_km,power_source,displacement_cc,max_power_ps,fuel_economy_kmpl,repair_count,body_color,trim_level,resale_price_manwon
라온,5,143032,하이브리드,4200,430,9.0,1,블랙,프리미엄,3785.6
가온,11,130340,전기,2529,242,15.7,0,그외,플러스,1409.5
,12,184256,휘발유,1380,135,18.2,0,화이트,프리미엄,1137.1
가온,4,93526,경유,2815,252,13.2,0,그외,프리미엄,7465.8
라온,6,103092,전기,1611,167,22.1,4,실버,플러스,1592.9
다온,5,109325,전기,1873,212,13.8,0,실버,플러스,3197.8
라온,10,233002,경유,3191,251,9.4,0,그외,스탠다드,1305.0
한빛,9,173286,휘발유,980,132,22.1,2,실버,플러스,1374.4
라온,8,88587,휘발유,2414,290,9.7,2,화이트,스탠다드,914.8
가온,6,108418,하이브리드,2801,224,12.4,4,화이트,스탠다드,1983.7
다온,0,18032,전기,2809,281,11.0,3,블랙,스탠다드,4699.3
한빛,10,87168,,3865,338,4.1,0,실버,,2139.8
한빛,2,26360,휘발유,1857,231,21.6,0,그외,스탠다드,3300.0
한빛,10,216285,전기,2174,220,14.2,1,화이트,프리미엄,2115.0
한빛,12,228334,휘발유,2134,212,10.8,0,블랙,프리미엄,1072.7
가온,9,118118,휘발유,2823,203,11.5,1,그외,,1685.7
가온,6,125349,경유,2420,235,16.9,0,화이트,프리미엄,5299.4
한빛,7,131441,하이브리드,1340,73,21.6,1,,프리미엄,2720.0
한빛,13,236774,하이브리드,1895,197,13.6,3,실버,,736.0
다온,0,900,전기,2456,210,11.4,0,블랙,스탠다드,5459.0
다온,3,98318,경유,2626,202,18.6,2,실버,스탠다드,3917.1
가온,12,149189,경유,2635,267,16.0,0,그외,프리미엄,2089.7
한빛,15,262173,경유,1311,107,23.1,1,실버,프리미엄,893.7
다온,4,101617,전기,4200,430,5.4,0,실버,플러스,3693.6
다온,2,95754,하이브리드,1953,182,13.2,0,블랙,플러스,4173.5
한빛,11,213751,휘발유,1657,221,21.3,0,실버,프리미엄,1083.6
,2,72617,휘발유,1922,220,16.2,1,그외,플러스,3753.5
가온,13,116867,하이브리드,2859,277,7.7,0,화이트,플러스,1069.9
한빛,2,12360,휘발유,1646,160,17.3,0,블랙,스탠다드,3469.9
한빛,11,182686,경유,1400,84,16.9,0,화이트,플러스,1805.4
다온,15,256384,전기,1619,104,16.8,0,화이트,플러스,593.1
라온,0,11950,전기,4200,400,5.7,3,화이트,스탠다드,5267.4
다온,3,95689,경유,2588,231,16.8,0,블랙,프리미엄,6675.9
라온,12,209811,하이브리드,2611,261,15.0,4,실버,프리미엄,977.8
한빛,6,89739,휘발유,2661,260,17.2,0,실버,스탠다드,1738.1
한빛,10,177970,하이브리드,2163,200,18.1,0,블랙,프리미엄,2002.9
한빛,11,99094,하이브리드,2971,279,13.5,1,실버,프리미엄,1455.8
가온,0,2714,휘발유,1627,197,19.6,0,실버,스탠다드,5148.3
한빛,12,236994,전기,1273,103,15.1,0,화이트,프리미엄,1240.2
라온,8,145867,휘발유,2745,357,8.8,3,블랙,프리미엄,1679.6
가온,3,79382,휘발유,1686,200,17.5,1,그외,스탠다드,3351.6
한빛,0,12343,경유,3218,281,13.0,0,블랙,프리미엄,12270.4
한빛,10,160098,휘발유,1703,236,13.6,0,화이트,스탠다드,1131.6
한빛,0,9280,휘발유,2772,264,9.5,0,그외,스탠다드,4641.6
가온,15,218592,전기,2424,270,17.9,0,그외,프리미엄,1188.1
가온,3,83891,경유,3649,349,15.5,0,블랙,스탠다드,5460.1
한빛,0,26826,전기,2227,238,13.5,1,,프리미엄,8916.7
한빛,8,138561,휘발유,3285,253,12.9,0,화이트,스탠다드,1688.8
라온,5,140773,경유,2307,256,14.6,0,그외,프리미엄,5197.9
한빛,10,240848,휘발유,1722,137,14.2,0,화이트,플러스,1195.4
다온,7,105075,하이브리드,2815,275,8.1,0,화이트,프리미엄,2374.2
라온,2,57412,전기,2895,240,6.9,0,그외,플러스,5165.9
가온,15,212008,휘발유,1270,137,21.6,0,블랙,스탠다드,464.3
가온,8,112917,전기,2154,306,12.2,0,화이트,플러스,2097.3
가온,5,124982,휘발유,2326,276,16.0,0,블랙,스탠다드,2414.3
가온,5,84223,,1468,217,21.5,0,화이트,프리미엄,5824.7
한빛,11,233924,하이브리드,2608,249,15.2,0,블랙,플러스,1217.2
한빛,7,234338,전기,3031,288,12.5,0,화이트,플러스,2489.8
한빛,2,900,전기,2465,238,12.9,0,실버,플러스,5675.6
가온,9,134302,경유,1460,103,13.7,0,,플러스,2512.8
,1,47768,하이브리드,2479,294,12.6,3,블랙,플러스,5111.3
다온,6,169368,전기,2456,253,15.8,3,블랙,스탠다드,1922.4
한빛,1,66437,하이브리드,1999,197,13.3,2,실버,,5213.1
가온,0,82983,전기,1657,129,23.2,0,블랙,프리미엄,9930.7
다온,14,197410,하이브리드,2667,328,18.0,2,블랙,플러스,647.2
한빛,2,20816,하이브리드,2860,252,11.1,0,블랙,플러스,5010.6
다온,5,39702,휘발유,980,128,19.7,0,블랙,플러스,2405.6
라온,3,127513,전기,3016,291,8.0,0,그외,스탠다드,3512.2
가온,10,166980,전기,2305,181,13.9,0,블랙,플러스,1682.2
가온,3,37036,휘발유,4200,373,4.4,0,실버,스탠다드,3658.9
라온,6,64237,휘발유,980,139,15.0,0,그외,프리미엄,2479.0
한빛,11,186415,휘발유,2529,285,16.0,1,실버,스탠다드,777.1
가온,12,179574,하이브리드,3178,374,6.4,0,화이트,플러스,1386.3
다온,4,71666,경유,980,114,14.4,0,블랙,스탠다드,3311.5
다온,7,174353,경유,3900,430,9.3,0,그외,프리미엄,3937.2
가온,8,108234,전기,2769,271,8.1,0,화이트,프리미엄,3268.0
다온,11,165931,하이브리드,3799,430,6.3,2,화이트,플러스,820.6
다온,10,199452,휘발유,1981,164,18.3,0,화이트,스탠다드,904.4
가온,11,154820,하이브리드,2325,263,13.6,3,화이트,프리미엄,1326.6
한빛,13,244883,휘발유,2636,238,10.5,2,블랙,스탠다드,481.7
라온,8,98115,휘발유,1776,167,10.6,0,그외,프리미엄,2363.4
한빛,13,216361,휘발유,1554,175,17.9,0,블랙,스탠다드,100.0
한빛,3,54092,휘발유,2007,245,21.5,1,실버,플러스,3441.1
다온,11,108062,전기,2867,288,14.2,0,실버,스탠다드,816.2
라온,14,242872,전기,3438,329,11.1,2,블랙,프리미엄,958.7
다온,1,17578,휘발유,2994,282,12.1,0,그외,스탠다드,3860.2
라온,3,53450,전기,3492,345,7.9,4,블랙,프리미엄,5016.4
한빛,9,141162,전기,3856,378,3.8,1,실버,스탠다드,1364.6
한빛,7,119745,전기,3259,299,6.9,0,화이트,프리미엄,3634.9
라온,7,101982,휘발유,1716,220,19.3,1,화이트,스탠다드,1525.1
한빛,11,157156,휘발유,4127,430,8.7,0,실버,플러스,1204.2
한빛,12,215601,휘발유,4200,409,6.0,3,실버,프리미엄,1183.3
한빛,11,83450,전기,2694,302,7.7,0,블랙,프리미엄,1268.9
가온,10,82734,전기,2593,210,8.3,0,,스탠다드,1007.5
다온,10,217546,경유,2727,288,15.7,0,블랙,플러스,1791.3
가온,12,271402,하이브리드,1555,226,16.0,2,화이트,플러스,1190.2
다온,13,168721,전기,3369,377,9.5,0,실버,프리미엄,1173.3
한빛,6,62170,휘발유,2133,235,14.5,0,그외,스탠다드,1880.2
가온,4,16635,하이브리드,3769,386,9.9,0,그외,플러스,4023.7
가온,9,90728,휘발유,3064,327,4.9,0,실버,스탠다드,1636.1
라온,3,13124,전기,1282,132,13.0,0,실버,프리미엄,5107.2
가온,5,129239,경유,1889,176,21.2,2,실버,스탠다드,3699.9
다온,2,900,하이브리드,3238,342,11.1,0,그외,스탠다드,3706.6
한빛,8,86266,경유,980,96,16.9,0,실버,스탠다드,2310.8
가온,14,178619,하이브리드,1092,164,24.0,0,화이트,플러스,1133.2
한빛,6,66057,하이브리드,2396,229,11.3,0,블랙,프리미엄,3697.2
한빛,14,280569,경유,3770,313,12.5,1,블랙,프리미엄,1726.1
라온,7,135440,하이브리드,1459,179,19.6,2,,스탠다드,1335.0
가온,12,180886,휘발유,3347,329,10.1,0,실버,프리미엄,1438.4
한빛,4,83985,하이브리드,3242,382,7.2,0,블랙,스탠다드,3226.5
,15,200996,,2278,198,15.4,0,실버,프리미엄,954.8
한빛,0,21962,휘발유,2409,253,8.5,3,블랙,프리미엄,6735.9
라온,13,194949,휘발유,1453,150,18.8,2,블랙,플러스,495.0
가온,14,213190,휘발유,1502,177,20.6,3,,프리미엄,533.3
한빛,3,900,전기,2176,262,19.1,0,화이트,스탠다드,4029.9
가온,8,163035,경유,3221,331,10.7,0,그외,스탠다드,2174.8
한빛,1,12400,휘발유,2906,282,15.0,2,그외,스탠다드,4145.7
가온,15,244728,전기,4200,420,8.7,0,화이트,플러스,651.1
가온,2,111995,,2807,345,11.0,0,블랙,플러스,5247.1
다온,1,33541,하이브리드,4200,381,13.2,0,블랙,플러스,5485.2
라온,13,141324,하이브리드,2676,290,8.2,1,실버,프리미엄,1054.1
라온,14,203705,전기,3321,272,14.5,0,실버,스탠다드,1053.3
가온,0,900,전기,3883,403,6.8,0,그외,스탠다드,6486.7
가온,11,249397,하이브리드,1484,164,21.2,0,화이트,프리미엄,1842.6
한빛,11,126137,하이브리드,1192,84,23.7,0,화이트,스탠다드,1109.2
가온,11,142167,휘발유,4200,404,7.6,1,그외,프리미엄,1718.1
한빛,15,143590,휘발유,1893,216,18.6,1,그외,플러스,481.1
다온,14,200386,하이브리드,2044,228,17.9,0,화이트,프리미엄,647.6
라온,3,126938,전기,1668,189,14.6,0,화이트,플러스,4005.4
다온,3,24463,하이브리드,3116,281,8.5,0,그외,스탠다드,3004.2
한빛,13,227284,휘발유,3448,314,14.4,0,실버,프리미엄,1435.8
라온,11,199901,휘발유,1235,136,18.6,3,화이트,플러스,883.5
라온,0,24922,휘발유,2816,309,5.4,1,실버,플러스,5221.6
한빛,9,212127,하이브리드,2018,203,11.2,2,,스탠다드,1028.7
한빛,3,30668,전기,2214,247,24.0,0,블랙,프리미엄,6460.9
다온,7,89573,경유,980,156,24.0,2,실버,프리미엄,3122.1
한빛,14,217797,,2237,208,17.2,0,실버,플러스,728.5
한빛,13,198710,하이브리드,1727,189,16.5,4,실버,스탠다드,737.4
한빛,7,142638,하이브리드,3064,296,13.2,0,실버,프리미엄,2877.8
다온,14,205127,전기,2799,356,11.7,0,블랙,프리미엄,926.7
한빛,14,228345,휘발유,2785,214,7.3,0,실버,플러스,864.0
가온,10,135700,전기,1755,181,14.4,0,블랙,플러스,1902.7
라온,14,201776,전기,1533,116,13.5,0,그외,스탠다드,887.3
라온,12,192468,경유,3521,310,7.8,0,실버,플러스,1549.3
한빛,1,900,경유,2987,318,12.4,0,블랙,프리미엄,10591.1
가온,7,150648,휘발유,980,130,20.2,3,그외,프리미엄,2336.8
라온,6,104877,,980,70,19.1,0,화이트,프리미엄,4247.9
한빛,14,289707,전기,980,112,19.0,0,실버,플러스,797.4
다온,0,900,하이브리드,3280,382,10.1,2,실버,프리미엄,7637.1
가온,9,106926,하이브리드,4200,429,9.3,2,그외,스탠다드,1543.2
가온,0,900,하이브리드,2729,263,10.8,0,그외,스탠다드,6146.9
라온,0,3041,하이브리드,2820,296,14.9,0,화이트,스탠다드,5497.3
라온,7,121381,전기,2318,200,15.6,1,블랙,프리미엄,3119.7
다온,10,169507,전기,1703,188,17.3,0,실버,프리미엄,1539.1
다온,3,47387,경유,2543,320,7.2,0,블랙,스탠다드,3763.3
다온,12,215525,하이브리드,3343,374,18.5,1,화이트,프리미엄,1213.5
한빛,6,154751,휘발유,2470,262,9.3,0,실버,스탠다드,1927.1
한빛,9,88647,,2371,295,19.5,0,,스탠다드,1854.4
한빛,15,165317,휘발유,2882,284,5.5,0,그외,프리미엄,945.1
가온,6,141107,하이브리드,1670,175,20.3,0,실버,프리미엄,3737.2
한빛,4,11298,전기,1317,137,15.2,2,화이트,프리미엄,4521.2
라온,10,150322,경유,1515,141,21.3,0,블랙,,1962.9
다온,5,77007,경유,980,111,23.0,0,화이트,프리미엄,4152.1
라온,9,187580,하이브리드,1494,130,22.8,1,그외,플러스,1359.8
가온,7,140042,전기,1317,81,16.2,0,실버,플러스,2705.3
다온,11,120434,하이브리드,2040,193,12.8,0,그외,플러스,1400.1
가온,15,199093,전기,3964,344,7.3,0,화이트,스탠다드,1160.9
라온,10,148209,휘발유,3091,329,10.7,4,화이트,스탠다드,626.3
가온,6,91139,전기,2845,273,11.4,0,그외,플러스,3234.8
가온,2,54781,전기,2443,198,14.7,1,화이트,플러스,5370.7
다온,5,89194,휘발유,2191,257,11.9,4,그외,스탠다드,1159.1
가온,5,53119,경유,2131,221,10.3,2,그외,플러스,4230.8
라온,10,153525,하이브리드,2718,233,10.9,0,블랙,스탠다드,1245.8
라온,5,106653,전기,2835,203,14.7,2,블랙,프리미엄,3988.8
라온,5,38581,경유,2858,296,18.8,0,화이트,플러스,4628.3
라온,9,94441,경유,2977,189,16.4,0,실버,프리미엄,2757.0
한빛,15,262670,전기,2238,153,19.4,0,화이트,플러스,259.0
가온,12,158927,휘발유,1447,211,12.7,1,화이트,프리미엄,1110.0
라온,12,226988,경유,3180,282,10.4,0,화이트,플러스,1370.9
라온,11,134572,경유,2131,189,16.3,1,그외,스탠다드,1099.4
,5,28033,전기,2850,254,15.6,0,실버,스탠다드,2988.7
가온,15,278908,전기,1060,101,16.3,3,블랙,스탠다드,502.5
라온,4,87139,휘발유,2593,228,9.9,0,실버,스탠다드,2405.5
한빛,8,132796,휘발유,2337,247,15.6,0,실버,프리미엄,2194.8
가온,1,79239,휘발유,2184,281,20.4,1,그외,플러스,4648.7
라온,6,87017,경유,3224,314,7.3,0,블랙,스탠다드,2759.6
한빛,7,179863,하이브리드,1435,126,24.0,0,블랙,플러스,2316.4
,10,270644,경유,3433,315,13.3,0,실버,프리미엄,2495.4
라온,2,60705,경유,2928,269,17.0,1,화이트,플러스,6596.2
다온,0,900,전기,2681,242,14.9,0,그외,스탠다드,5056.6
한빛,11,244507,휘발유,2113,210,18.6,1,블랙,플러스,1079.7
한빛,9,120542,휘발유,2433,275,13.4,1,화이트,스탠다드,1066.1
,1,900,전기,3403,361,7.1,0,화이트,스탠다드,5882.5
한빛,5,63002,전기,3349,370,8.7,0,실버,프리미엄,4901.8
한빛,1,900,전기,980,148,21.0,2,블랙,프리미엄,6979.8
한빛,10,133521,휘발유,3039,341,12.4,1,화이트,프리미엄,1658.3
가온,9,150449,전기,3282,317,13.1,0,블랙,플러스,2670.8
라온,4,150381,하이브리드,3207,324,14.3,0,그외,플러스,3678.8
가온,1,900,휘발유,1987,237,19.7,0,블랙,스탠다드,4626.5
한빛,9,124574,휘발유,2280,244,6.2,1,화이트,플러스,1495.6
한빛,14,215918,휘발유,3370,358,7.0,0,화이트,프리미엄,1025.3
한빛,2,69699,휘발유,2334,248,12.2,0,그외,스탠다드,3444.0
가온,15,230052,하이브리드,2091,204,20.8,0,블랙,스탠다드,408.5
한빛,11,88233,경유,2116,265,17.7,2,그외,프리미엄,1912.7
한빛,2,84673,휘발유,1653,206,18.5,2,블랙,,5141.2
,4,99780,하이브리드,2601,287,6.7,0,그외,스탠다드,2839.6
라온,14,248927,전기,2372,203,13.7,0,화이트,플러스,961.3
가온,3,14816,휘발유,2946,301,12.2,0,그외,프리미엄,5003.5
가온,4,148371,휘발유,2750,316,5.6,0,그외,프리미엄,4723.9
가온,14,217354,하이브리드,1929,193,12.4,2,실버,프리미엄,1268.8
가온,6,118541,전기,2982,314,13.7,3,화이트,플러스,2676.5
가온,5,900,하이브리드,2873,246,11.3,2,블랙,프리미엄,4031.4
라온,7,127054,휘발유,2954,267,11.3,1,화이트,프리미엄,2329.9
가온,7,91861,하이브리드,1807,165,17.9,0,블랙,스탠다드,1631.6
한빛,0,11874,휘발유,2278,215,8.2,0,블랙,프리미엄,7673.1
다온,10,145188,경유,2082,228,15.1,0,실버,스탠다드,1703.3
다온,2,6242,경유,1166,70,22.8,0,블랙,스탠다드,4622.5
라온,13,203816,하이브리드,2548,263,12.4,0,블랙,프리미엄,1354.3
가온,8,116283,휘발유,1037,150,14.4,3,블랙,프리미엄,2051.3
한빛,10,122836,전기,2585,237,20.6,0,실버,스탠다드,1334.9
가온,9,172316,휘발유,3761,379,3.0,2,화이트,스탠다드,892.0
가온,12,229824,하이브리드,1069,115,14.7,0,실버,,1075.1
다온,13,175062,경유,2153,221,12.3,0,그외,플러스,1475.1
가온,13,178941,경유,2445,274,13.8,1,실버,프리미엄,1639.7
가온,15,224379,휘발유,3108,307,15.9,1,실버,플러스,523.5
한빛,3,42613,전기,3046,296,8.4,0,블랙,프리미엄,6285.7
가온,14,277547,전기,2647,277,7.2,0,블랙,스탠다드,902.1
가온,8,167307,경유,3529,379,10.2,3,실버,플러스,2922.8
