media,budget_manwon,run_days,age_group,views,click_count,signup_count,return_rate_percent
방송,7458,42,20·30대,640641,6812,408,-52.65
검색,4103,49,전연령,225970,6137,397,-10.31
검색,833,34,전연령,88076,2982,169,95.46
SNS,13343,85,20·30대,1435535,28600,2744,84.59
라디오,4132,82,40·50대,286639,6773,495,-1.18
방송,11695,85,40·50대,815326,15941,1172,-13.63
라디오,8740,43,20·30대,695743,13581,1157,27.22
방송,9290,9,10대,727341,15866,1172,29.92
SNS,8876,64,20·30대,888330,23309,1272,49.27
라디오,497,,20·30대,46273,549,33,-39.08
SNS,,62,10대,1618189,33413,2285,35.46
라디오,2266,64,40·50대,78367,1451,105,-56.36
검색,11684,16,전연령,1015650,26528,2415,58.41
검색,8495,38,20·30대,1046439,22187,2406,138.95
SNS,15655,7,20·30대,1545656,28494,2765,41.15
검색,5233,25,10대,614170,11097,903,61.64
라디오,6408,83,10대,474865,4724,178,-74.17
검색,6626,41,10대,587506,12840,637,-21.10
방송,2665,75,40·50대,207425,3814,421,51.73
라디오,2267,10,20·30대,158405,1945,189,-23.85
라디오,6250,80,전연령,529298,7033,488,-27.20
방송,5888,83,20·30대,443553,10964,756,24.44
SNS,4022,57,전연령,349095,7642,466,12.62
라디오,,82,20·30대,250961,3104,221,-38.92
SNS,18771,70,전연령,1996522,56779,4502,134.27
라디오,17723,12,전연령,813851,11555,867,-52.46
검색,17213,46,10대,1182118,40218,3407,99.39
검색,19628,28,40·50대,2023027,54090,3678,78.57
검색,5623,84,20·30대,406850,12203,943,41.71
라디오,1381,48,전연령,70930,1329,115,-35.71
방송,16633,7,10대,1542320,25351,553,-58.36
검색,18503,53,20·30대,2165948,67060,8393,290.84
방송,1039,12,전연령,52978,921,46,-71.23
검색,14720,85,20·30대,1546497,42454,4618,111.17
검색,19882,82,10대,2093947,73534,4247,48.12
SNS,10220,84,40·50대,1253429,30930,2006,71.40
라디오,,55,20·30대,990037,15791,1024,-15.51
라디오,8837,27,40·50대,555442,8233,517,-31.42
검색,6789,43,20·30대,529201,10613,886,42.59
방송,17359,76,10대,1634978,28966,885,-48.16
검색,6320,51,전연령,570424,12233,822,9.32
검색,17638,23,40·50대,1973584,43932,3881,130.33
검색,12461,51,전연령,1088286,27616,1816,46.12
SNS,18517,,10대,1592886,32402,1387,-13.42
SNS,11927,82,전연령,1054216,26344,1791,26.70
라디오,14177,63,40·50대,1073458,18725,1217,-43.42
SNS,12349,27,40·50대,822471,18499,1273,-22.79
방송,14209,,10대,840054,14537,470,-58.04
검색,8811,18,10대,860877,18834,1022,-5.75
SNS,20011,30,20·30대,1044868,23015,2549,41.40
라디오,,48,10대,900244,10906,576,-63.89
라디오,8855,24,40·50대,429125,7987,650,-39.31
방송,18060,70,20·30대,881934,19922,1457,-28.46
라디오,2503,8,전연령,182393,1910,118,-59.42
SNS,4859,78,40·50대,470476,11824,1080,70.62
방송,19976,10,20·30대,1350410,17626,2335,-0.98
검색,16504,61,20·30대,1605382,39059,3159,76.36
방송,18763,67,전연령,995722,27810,1779,-3.40
검색,1717,22,20·30대,83181,1863,156,-27.09
검색,14007,29,10대,1104313,31820,1588,-0.37
검색,6993,76,10대,739522,17300,1107,26.46
라디오,4871,12,40·50대,303954,4424,277,-48.22
방송,16655,12,10대,1530774,37687,2773,33.41
검색,19246,78,전연령,2142711,66689,5255,196.64
SNS,6703,48,20·30대,751428,19724,1842,191.39
방송,3751,68,40·50대,299006,4374,354,-2.92
검색,13175,40,20·30대,1496031,38556,3956,201.50
방송,7267,67,40·50대,474393,9721,1237,21.37
방송,18107,70,20·30대,1493895,26591,2274,-18.27
방송,12576,83,10대,805083,13129,870,-47.87
SNS,1541,42,40·50대,136156,2584,204,40.76
SNS,9991,80,10대,1055870,24592,807,-32.70
SNS,9159,,전연령,680116,16089,1384,66.64
검색,7231,83,10대,573694,10180,532,-33.47
라디오,4891,65,20·30대,336433,4206,406,-41.98
라디오,19194,90,전연령,1492155,27273,1959,-14.93
방송,15624,64,40·50대,1248655,21759,1691,-6.24
검색,17287,46,20·30대,1294001,33574,2337,36.57
SNS,7760,46,10대,467214,10595,454,-30.98
방송,8707,54,전연령,568099,11383,619,-34.89
라디오,7856,46,20·30대,506078,10275,1058,19.07
라디오,13455,63,전연령,782167,13610,864,-32.31
SNS,18676,12,40·50대,1103652,25087,1374,-31.56
검색,10672,,전연령,930680,23304,1453,20.28
라디오,15054,68,20·30대,819716,13354,1457,-14.09
라디오,11566,66,20·30대,691823,12871,1521,-4.22
검색,,18,20·30대,1500414,39777,3238,127.92
검색,12944,9,전연령,1582634,52408,2342,81.10
SNS,17763,43,전연령,1651757,33184,2256,18.72
라디오,18038,16,전연령,1080498,18674,1620,-3.43
SNS,,79,20·30대,1209203,21134,1786,1.57
라디오,10298,75,20·30대,703236,15397,850,-41.76
라디오,11420,85,전연령,615073,9156,722,-32.01
방송,4414,70,20·30대,410601,12286,884,80.46
방송,13242,29,전연령,826130,14857,956,-36.83
검색,8495,51,전연령,521799,14100,713,-62.85
라디오,15274,63,40·50대,1133002,20602,1499,4.84
검색,13971,,10대,990885,26125,1582,-5.77
라디오,19396,15,20·30대,1475690,23314,1825,-16.15
SNS,4282,80,20·30대,424867,9984,905,157.98
라디오,10508,24,전연령,764687,11539,666,-30.60
SNS,7010,61,전연령,529017,10089,623,-3.28
검색,7677,11,40·50대,821788,24284,2081,176.69
방송,13234,57,10대,1097020,19437,1370,-9.13
방송,9946,48,전연령,874117,22876,1839,59.27
라디오,2143,13,10대,92017,2178,144,-53.78
방송,5062,45,10대,508858,14014,784,66.38
방송,4574,68,20·30대,186684,2921,202,-58.64
검색,10088,51,20·30대,1262046,34736,2907,95.26
방송,5698,11,전연령,296850,6769,276,-66.55
검색,19741,23,10대,1557753,33258,1921,-8.01
검색,20041,,전연령,1393473,43730,1705,-7.90
검색,16138,38,20·30대,944309,32847,3493,136.16
SNS,1926,,10대,196106,4647,267,23.20
SNS,17652,18,전연령,1294026,31069,795,-66.13
SNS,12323,26,10대,680774,14950,659,-44.94
방송,14255,7,10대,905400,15072,721,-43.24
라디오,4464,37,10대,398219,6917,500,0.75
검색,707,80,전연령,76668,1972,150,111.60
SNS,19048,41,10대,2050168,42650,2868,81.91
검색,19415,64,40·50대,1180160,35283,1218,-35.26
라디오,17630,10,20·30대,1563033,28352,2777,26.11
검색,10115,10,전연령,825841,21360,1766,63.59
검색,11609,47,10대,728463,23446,1779,29.23
라디오,18531,11,10대,1161484,20502,1035,-37.12
검색,9226,28,40·50대,684890,18094,1068,-5.11
라디오,5108,70,전연령,394480,5577,157,-79.44
SNS,15447,25,20·30대,1360993,35172,3057,76.59
방송,7387,27,10대,413553,6698,397,-48.78
방송,2597,67,20·30대,202350,4334,302,8.42
라디오,10913,77,40·50대,814102,15957,1575,49.27
검색,4656,68,10대,477865,10434,552,-11.13
검색,2506,90,40·50대,311231,9497,754,156.80
검색,16798,40,40·50대,1733273,59741,4471,119.24
라디오,8438,45,40·50대,325802,5686,585,-46.85
방송,10197,40,40·50대,720464,15957,1363,41.23
SNS,5531,,20·30대,536152,9123,632,-1.60
라디오,16377,90,20·30대,799585,8601,770,-52.92
방송,16493,64,10대,862170,15774,982,-33.29
SNS,9340,86,20·30대,777456,21287,1953,142.72
검색,16709,30,40·50대,1470695,35755,2175,17.16
라디오,3125,15,20·30대,222076,2343,120,-51.67
SNS,2707,11,10대,262511,7055,524,99.73
라디오,15091,50,40·50대,1297270,29492,2344,38.59
SNS,10656,50,20·30대,1059240,28035,2024,40.74
라디오,9344,34,10대,456049,5978,395,-49.29
검색,3873,71,40·50대,331515,10370,754,80.93
라디오,15079,73,전연령,1047984,13808,733,-55.68
검색,14764,62,40·50대,1760425,56147,3172,96.21
검색,15305,18,20·30대,1495247,42011,4892,219.39
검색,13560,16,10대,1059966,19291,1577,8.38
검색,16728,89,전연령,1176149,29719,853,-58.90
SNS,13920,76,20·30대,1203764,25648,1878,40.78
SNS,2899,,10대,325874,5959,282,-16.60
라디오,3358,7,10대,110385,1937,126,-64.50
검색,3381,37,전연령,157357,5196,342,-11.05
SNS,8017,79,40·50대,626438,9417,393,-67.53
방송,17935,7,10대,1704390,36097,1818,11.73
방송,14730,63,20·30대,953581,23850,1102,-37.06
SNS,,33,40·50대,373476,6833,552,23.19
검색,18910,78,40·50대,2362186,56220,6024,143.71
라디오,6643,23,10대,374269,5729,375,-42.49
방송,1713,,40·50대,130848,1531,85,-48.30
검색,9187,78,20·30대,730079,19092,1824,38.53
검색,17517,42,40·50대,1150936,21233,1714,20.86
방송,16951,36,10대,1504811,29532,1641,-22.49
방송,6752,16,20·30대,337870,7215,814,3.21
SNS,17833,41,40·50대,1380078,34032,1873,16.60
SNS,364,41,전연령,24366,596,43,27.95
라디오,17527,37,40·50대,767065,10777,608,-73.80
라디오,13964,83,20·30대,951445,18550,1729,10.43
라디오,14369,74,10대,984516,14507,836,-48.15
방송,16739,78,20·30대,1655151,27330,3578,62.12
방송,1489,61,전연령,120539,1051,79,-59.11
라디오,6880,23,10대,464152,8942,678,-21.76
라디오,5289,10,20·30대,341013,3683,399,-37.38
방송,12956,43,20·30대,1291922,29929,1774,38.85
SNS,9795,41,40·50대,622566,13383,935,-31.90
검색,935,65,20·30대,42174,1316,25,-74.42
검색,2362,67,10대,242609,5730,396,55.56
라디오,3576,65,10대,148247,2590,145,-62.35
SNS,1746,87,20·30대,223278,3473,362,86.34
라디오,,71,20·30대,1023958,21080,901,-34.56
라디오,8054,,20·30대,684532,11736,1081,44.87
SNS,14278,84,전연령,807888,18213,1095,-47.02
라디오,17261,36,10대,1403968,17880,1208,-30.03
방송,5281,31,20·30대,244500,4987,250,-64.43
SNS,17339,39,40·50대,2073778,46985,4581,145.21
검색,231,83,10대,20490,592,42,77.65
라디오,16951,89,20·30대,1327649,32820,2599,31.81
방송,6480,38,20·30대,577002,11422,1269,94.51
검색,18560,62,10대,1710731,42856,2039,2.85
SNS,616,56,20·30대,32194,776,83,18.67
라디오,13692,60,전연령,818934,12096,882,-49.72
라디오,12291,60,40·50대,1031748,16213,675,-36.65
라디오,4684,37,전연령,218152,4830,250,-66.55
SNS,1998,54,전연령,149664,3118,183,-5.77
SNS,4419,55,40·50대,407256,12029,720,23.74
방송,19631,67,20·30대,1840965,24576,2424,16.60
라디오,17921,60,20·30대,1498944,21113,2016,-27.24
라디오,364,55,20·30대,24483,405,45,14.45
방송,14041,61,20·30대,957152,25917,1959,21.78
검색,18195,64,20·30대,2142831,54437,6373,229.61
라디오,16683,52,전연령,1417369,15025,1080,-36.41
SNS,3714,29,전연령,239444,6250,537,16.54
SNS,1350,31,전연령,94322,1906,152,8.81
SNS,19437,64,전연령,1948663,61539,3554,42.06
검색,9069,36,전연령,1222543,39358,2327,110.93
라디오,16338,8,40·50대,1249005,26492,1675,15.73
검색,12571,54,10대,1271554,25443,1223,-13.88
SNS,12349,69,10대,1136868,20975,1806,46.75
방송,12080,90,전연령,835786,12470,777,-36.72
검색,9591,15,20·30대,999381,24653,2683,149.58
검색,2328,21,20·30대,214893,6320,467,105.61
라디오,3517,31,전연령,187277,3769,336,-33.83
SNS,3035,87,40·50대,315889,8177,761,110.39
방송,11554,79,10대,962961,18294,686,-44.80
검색,,83,20·30대,641251,17233,1384,99.40
방송,15557,48,10대,1269853,30144,2042,58.17
방송,4023,44,전연령,222322,4018,387,-39.60
SNS,18568,71,40·50대,1697888,30536,2033,21.18
SNS,3790,76,20·30대,262488,6014,686,43.96
라디오,15762,55,20·30대,797929,10221,695,-48.29
라디오,4557,59,40·50대,324650,6648,481,4.64
라디오,5584,84,20·30대,268752,5021,399,-43.29
검색,1460,76,전연령,108646,2396,149,-16.13
검색,7583,66,40·50대,663491,13131,690,-47.46
방송,12614,61,20·30대,1021872,27465,1774,-3.76
검색,11007,33,40·50대,1097761,32711,1865,74.00
라디오,604,23,20·30대,42030,754,50,-22.17
SNS,8541,38,전연령,812006,13283,754,-11.39
SNS,874,71,20·30대,75009,2333,96,23.61
라디오,16025,9,10대,906222,16672,1010,-56.94
검색,6032,86,40·50대,859949,21215,1400,113.35
검색,17697,77,전연령,1847266,61871,4639,127.94
검색,6471,25,전연령,542428,22700,1982,216.62
SNS,5463,58,40·50대,704421,19219,857,12.99
방송,472,28,10대,36285,711,52,-6.91
검색,7073,72,10대,781747,17933,1214,34.48
방송,19932,35,20·30대,1732173,24152,1399,-39.98
라디오,1874,22,전연령,131616,2035,142,-0.86
SNS,5568,58,전연령,465782,13982,723,-14.99
검색,15783,,전연령,1955724,51840,3754,81.02
라디오,12717,63,20·30대,737551,12241,1125,-15.07
검색,3003,,10대,256951,8987,239,-26.58
방송,14885,28,전연령,1238858,30157,2053,48.59
검색,4268,79,10대,386099,10273,616,11.98
SNS,8703,21,10대,779372,26159,1255,5.07
방송,11652,66,20·30대,575866,8179,925,-32.82
라디오,6697,90,전연령,521156,7804,516,-35.76
검색,16550,65,10대,1471346,56386,3966,131.90
SNS,5132,77,20·30대,525795,7399,596,-15.88
SNS,19081,58,10대,1196563,17900,936,-55.40
검색,14138,73,전연령,1426042,49464,3304,150.66
검색,3428,58,전연령,325949,8338,537,27.69
검색,11970,48,전연령,1108337,14695,1164,-6.17
라디오,12448,26,20·30대,815324,10656,887,-27.12
SNS,19149,86,10대,1740994,37679,908,-46.98
검색,9678,72,10대,663863,15009,1191,13.01
라디오,9785,27,10대,376436,6239,430,-56.75
라디오,7048,16,20·30대,479650,6643,694,-1.68
검색,5374,30,20·30대,511523,14352,1048,43.89
라디오,15441,83,40·50대,1245075,22019,2012,41.13
SNS,4712,9,20·30대,418544,7943,756,55.04
SNS,16403,49,20·30대,1519203,38419,3573,92.85
SNS,18966,87,40·50대,1732682,43838,3974,58.52
방송,5693,51,40·50대,391151,8046,738,10.18
방송,17472,43,20·30대,1194412,20384,1509,-20.88
방송,11708,24,전연령,995313,16278,755,-43.33
SNS,18001,7,20·30대,1593836,42958,3281,70.94
라디오,19392,61,전연령,1655863,23044,1642,-39.57
방송,10727,70,10대,812931,15451,972,-24.99
검색,14518,13,10대,1443424,41149,3234,120.37
검색,9599,18,20·30대,1061463,33009,2282,146.46
검색,4221,79,40·50대,395392,11491,671,9.19
라디오,6633,89,20·30대,549772,12978,1194,63.24
방송,18417,71,10대,1084431,17790,1018,-47.37
라디오,3735,86,전연령,252423,5473,137,-79.50
라디오,5245,58,20·30대,347457,3994,327,-22.64
검색,5093,70,전연령,508161,13222,755,78.50
방송,3300,34,전연령,218762,4204,248,-23.96
방송,18818,18,전연령,1329695,35676,2132,4.68
SNS,8496,36,40·50대,699293,16660,1636,83.76
SNS,6608,55,20·30대,684807,13097,743,9.00
방송,10116,13,전연령,596145,9064,575,-48.11
SNS,16914,70,전연령,1197045,30525,1930,38.91
방송,3079,40,전연령,290501,5644,284,-30.64
SNS,6801,60,40·50대,544180,11502,936,9.22
SNS,17646,12,40·50대,1621159,30582,2755,8.93
SNS,3853,89,전연령,316027,5112,339,-59.14
SNS,10250,83,40·50대,1106513,27678,1972,57.80
SNS,11913,33,40·50대,1042418,13093,874,-41.64
SNS,14654,29,전연령,1109608,21920,1496,-6.75
검색,1500,60,전연령,140075,4802,252,56.70
검색,9398,74,10대,620215,15048,1028,12.28
방송,672,45,40·50대,40770,582,28,-56.17
방송,1652,31,40·50대,124774,1758,154,-22.32
검색,6325,,10대,582759,13993,1046,78.46
방송,9272,67,40·50대,633477,9296,836,-3.57
검색,,23,20·30대,263696,7290,489,-7.37
SNS,4773,57,전연령,364957,7010,329,-42.09
라디오,16201,44,20·30대,994857,15278,1478,1.29
검색,4813,43,40·50대,361160,9493,629,26.47
SNS,3099,62,10대,339250,8805,741,80.14
검색,8682,47,전연령,907916,24608,1625,104.48
SNS,2713,55,10대,290642,5764,485,75.77
라디오,14184,39,40·50대,808330,13508,961,-49.51
SNS,5445,,40·50대,352438,4656,428,-32.25
라디오,17082,69,10대,1264863,25941,1990,-4.16
방송,1849,37,20·30대,91083,1420,164,-21.47
방송,13026,9,20·30대,945735,25408,1366,-0.39
SNS,1905,89,20·30대,172624,4022,272,38.57
라디오,12091,69,10대,1152191,16910,1047,-9.62
SNS,9468,69,20·30대,643520,9517,417,-63.31
SNS,12553,83,10대,844948,22063,970,-25.67
검색,7992,65,전연령,965947,21325,1358,56.54
검색,4899,49,전연령,330411,6736,491,-9.27
검색,8097,87,20·30대,640653,17857,1108,34.32
검색,18611,14,10대,2195035,72228,4413,86.99
검색,6181,88,20·30대,425772,10677,685,-1.86
라디오,18401,19,10대,1271266,17621,1316,-22.25
방송,7481,35,전연령,793768,16729,718,-12.10
방송,12231,88,10대,1092296,22447,1638,27.28
라디오,10780,45,10대,783008,14924,617,-54.70
라디오,,44,전연령,758391,5558,306,-74.87
검색,14154,,10대,1647124,42279,1936,27.67
라디오,18859,48,전연령,1257682,18947,1341,-34.55
방송,16803,10,전연령,1301036,26562,1636,3.32
방송,4488,53,전연령,438000,8398,441,-15.28
검색,5206,12,10대,293124,6380,350,-48.08
라디오,3346,90,20·30대,229840,3461,205,-43.43
검색,5454,59,10대,566409,11879,561,-0.21
검색,7933,56,10대,477062,11903,684,-5.34
라디오,17852,78,20·30대,1179153,17403,1200,-35.74
SNS,17698,58,전연령,1788121,57444,4749,139.85
라디오,18866,62,전연령,1088528,17664,888,-38.24
검색,5987,37,20·30대,739976,24009,2362,207.76
SNS,19172,29,40·50대,1340483,24729,1982,7.73
방송,3620,77,40·50대,249868,5048,330,-30.62
라디오,,86,10대,227941,2642,64,-86.22
검색,11934,61,전연령,1549455,45848,2454,142.89
검색,16369,56,40·50대,1677735,36970,2909,54.63
라디오,6990,53,10대,744294,12615,827,-4.01
검색,2422,44,전연령,234818,6561,536,130.61
검색,14120,37,40·50대,1505799,35687,3768,91.62
SNS,14891,60,10대,1436333,31256,1953,55.62
라디오,302,54,40·50대,23185,514,49,47.80
SNS,18776,53,10대,1997855,49678,2324,3.17
라디오,19750,71,40·50대,1162268,19312,1283,-64.29
검색,11130,48,10대,816313,25053,1776,65.43
라디오,4243,12,10대,250634,5337,259,-40.54
검색,7152,66,전연령,746662,21656,1371,116.69
SNS,14970,62,10대,1521479,33334,2403,38.93
라디오,18225,20,20·30대,1115444,21520,1918,-20.59
라디오,7428,65,40·50대,442012,6057,677,-28.20
검색,1229,37,40·50대,90774,3002,347,197.39
SNS,6173,,40·50대,557238,9327,727,-13.50
방송,,79,10대,564508,11279,710,-1.65
SNS,2277,56,40·50대,210554,5490,515,127.79
라디오,4389,12,10대,262329,5969,497,62.51
검색,16714,44,20·30대,1340759,29982,3049,81.41
방송,14047,64,20·30대,1044327,20014,1121,-8.91
방송,18808,29,전연령,1591315,41335,2342,30.92
SNS,5157,84,20·30대,458620,10027,846,47.27
검색,3157,18,전연령,260823,6712,329,-1.00
라디오,16029,43,20·30대,1409020,28175,2827,90.44
방송,3193,38,10대,182192,3624,246,-38.04
검색,16174,75,전연령,1540238,32637,2115,17.06
검색,16138,27,전연령,1207663,30937,2204,17.95
검색,19403,44,40·50대,1865577,30354,2280,43.73
검색,17217,78,20·30대,1498421,37735,2495,52.77
라디오,1635,27,전연령,93159,1857,108,-34.30
검색,20010,81,10대,1958096,38868,1759,-34.73
검색,14264,85,20·30대,1008407,26879,2153,16.91
SNS,13876,36,40·50대,1010478,25929,2192,85.04
SNS,4454,48,20·30대,342809,8845,807,87.06
라디오,13793,10,10대,917254,20822,1571,35.29
라디오,15325,75,10대,816494,14004,1161,-35.13
검색,10220,23,20·30대,869761,23954,2523,82.17
검색,3211,74,10대,358953,9299,799,114.96
SNS,12276,,전연령,776847,17696,1018,-27.64
방송,13766,68,전연령,1118827,18714,1474,-0.64
방송,1467,74,20·30대,101764,1654,142,-13.98
방송,14702,24,40·50대,1143572,20903,1418,5.49
SNS,,54,전연령,1360424,24997,2109,23.70
검색,9750,,20·30대,681316,18174,1636,31.10
검색,14001,81,전연령,1192004,22257,1957,24.79
SNS,2013,74,40·50대,181478,3501,304,16.09
방송,8528,28,20·30대,543014,11094,811,-31.20
SNS,17975,16,20·30대,1643181,29894,2438,38.90
SNS,10809,10,20·30대,912658,23366,2520,81.17
방송,12833,57,20·30대,697548,12995,989,-33.76
라디오,15873,32,40·50대,1256938,19753,1475,20.66
검색,15196,32,전연령,508426,10103,862,-49.27
방송,17754,,10대,1596225,13736,864,-57.10
SNS,11302,41,10대,675266,18659,948,-27.94
검색,12360,13,10대,1157328,33101,2415,55.54
라디오,11102,16,20·30대,1170349,14674,1460,33.73
방송,10016,55,전연령,701167,9067,561,-56.67
검색,1430,31,40·50대,151914,4844,393,147.71
라디오,16371,55,40·50대,1068526,19783,1466,-16.07
라디오,18859,28,40·50대,1235283,20269,1600,-14.71
방송,13304,72,10대,1038278,28083,2477,71.05
검색,12342,88,40·50대,933740,32516,2420,109.63
SNS,2249,8,10대,148776,2805,141,-41.21
방송,18238,36,20·30대,1311949,21837,1539,-51.06
SNS,7835,44,20·30대,591697,15732,1356,75.94
검색,18541,53,전연령,1767164,36954,3514,73.42
방송,6721,75,40·50대,577661,10424,607,-23.92
SNS,3960,32,20·30대,258915,6400,821,54.49
검색,18663,15,40·50대,1728844,50544,5418,153.77
라디오,9350,22,40·50대,534751,9407,1160,-6.60
검색,1801,52,전연령,157937,1959,153,-29.10
라디오,8500,83,40·50대,619560,12722,937,5.77
검색,10646,17,전연령,908116,21885,1104,-6.96
검색,1488,83,20·30대,123806,2627,280,29.82
방송,6186,48,40·50대,340095,5653,290,-68.47
방송,10185,83,전연령,824364,19255,1156,-3.01
SNS,8414,10,전연령,698173,14165,736,-26.36
라디오,11063,26,10대,571008,12588,928,-20.65
라디오,4065,31,20·30대,183703,4090,253,-56.60
방송,15866,60,40·50대,1356510,26496,2599,45.08
SNS,1707,64,전연령,109258,1954,160,-31.08
라디오,10015,57,20·30대,639355,10131,828,-7.83
방송,,55,전연령,731867,15580,935,-17.38
검색,11553,50,10대,1226732,24615,1779,63.88
라디오,18682,20,전연령,1233842,28340,2044,0.66
SNS,13361,74,10대,846624,10327,596,-48.97
검색,978,14,40·50대,102345,2348,113,31.69
검색,8870,27,20·30대,915634,15948,1179,4.78
검색,15176,38,전연령,1580820,50013,2854,44.07
라디오,739,7,20·30대,43111,389,28,-62.41
SNS,8081,47,10대,772078,20843,1306,41.46
라디오,8099,11,전연령,596622,10271,384,-63.22
