months_joined,plan_term,pay_method,net_product,monthly_fee_won,total_paid_won,data_gb,cs_calls,addon_count,left_service
28,12개월,카드,없음,117527,3291839,440,5,1,1
42,12개월,계좌이체,기가,152000,5581729,355,9,4,1
44,12개월,지류고지서,기가,152000,6882651,133,0,2,1
,무약정,지류고지서,기가,108003,7449827,78,9,0,0
55,무약정,계좌이체,광랜,43646,2520076,464,2,5,1
28,무약정,계좌이체,광랜,131277,3949276,297,9,4,1
68,24개월,카드,광랜,19000,1272257,231,10,4,0
54,무약정,지류고지서,없음,72311,4848076,125,,4,0
16,24개월,계좌이체,없음,51220,772529,414,2,1,0
20,무약정,카드,광랜,116483,2475022,71,5,3,1
31,12개월,계좌이체,없음,,,135,9,0,1
46,24개월,지류고지서,기가,122064,5153762,130,7,5,1
11,24개월,계좌이체,없음,84022,946023,250,5,2,0
28,무약정,카드,기가,50750,1457192,32,6,2,1
60,무약정,지류고지서,기가,152000,9109084,452,10,1,1
35,,카드,없음,114990,미확인,15,8,2,1
50,24개월,지류고지서,없음,19000,1014737,437,5,1,0
57,12개월,계좌이체,없음,85714,4551833,345,7,4,0
58,무약정,카드,광랜,71477,3977583,169,7,2,0
14,,지류고지서,기가,122076,1358146,8,0,1,1
34,24개월,지류고지서,광랜,61053,1894680,447,1,5,1
4,,계좌이체,없음,66470,288899,347,0,0,1
63,24개월,지류고지서,없음,69312,4328312,50,9,0,0
26,무약정,계좌이체,광랜,69536,2165424,173,0,2,1
44,12개월,지류고지서,광랜,37831,1391705,368,3,3,0
9,24개월,지류고지서,없음,119721,1058650,440,0,0,1
33,무약정,카드,기가,104883,3678157,43,3,5,1
14,12개월,지류고지서,없음,52636,849263,282,4,0,1
38,12개월,지류고지서,없음,85102,2981899,207,5,2,0
26,무약정,카드,광랜,69615,1754217,,10,5,1
69,무약정,카드,없음,83389,6043528,479,0,3,0
61,무약정,지류고지서,기가,95951,6064512,194,5,5,0
55,24개월,카드,기가,59658,2868608,293,1,0,0
9,12개월,계좌이체,광랜,97608,979798,235,2,3,1
,12개월,지류고지서,없음,49894,2836056,405,10,4,0
48,12개월,카드,없음,92108,3966811,40,0,5,0
7,12개월,계좌이체,광랜,144859,978390,32,1,5,1
37,12개월,지류고지서,광랜,92496,3866510,409,3,0,0
35,무약정,계좌이체,광랜,112447,,369,7,0,1
,24개월,지류고지서,없음,75308,3097220,470,6,0,0
17,무약정,계좌이체,기가,124449,2426813,167,2,3,1
11,24개월,카드,없음,41662,482714,317,2,4,1
32,24개월,카드,광랜,147723,4499398,418,4,4,0
74,24개월,계좌이체,기가,65779,4543627,343,1,2,0
16,12개월,계좌이체,광랜,64955,1003888,261,4,3,1
48,12개월,지류고지서,없음,125489,5439274,504,10,3,1
12,무약정,계좌이체,기가,152000,1646565,309,5,5,1
17,무약정,계좌이체,기가,152000,2542105,,4,2,1
16,12개월,계좌이체,광랜,127005,2248942,491,8,1,1
69,무약정,지류고지서,없음,58531,4392912,205,9,0,0
19,24개월,카드,광랜,50288,1028536,495,2,2,0
18,24개월,카드,광랜,107682,2089569,414,8,,1
61,12개월,계좌이체,없음,48681,2868400,440,6,1,0
50,12개월,계좌이체,기가,61462,2827221,248,6,1,0
32,24개월,계좌이체,기가,65705,2076998,66,5,5,0
30,24개월,계좌이체,광랜,67375,1808593,368,2,2,0
55,24개월,지류고지서,기가,127709,7519636,271,0,3,1
73,12개월,지류고지서,기가,104686,7571007,32,2,2,0
3,12개월,계좌이체,기가,152000,-,429,3,3,0
59,무약정,지류고지서,없음,42089,2466224,338,8,1,1
40,24개월,카드,광랜,119982,4408508,313,3,3,0
25,,지류고지서,기가,19132,504285,209,5,5,0
67,12개월,카드,기가,121271,7378227,23,3,5,0
32,24개월,카드,기가,62406,2167265,,7,4,1
31,무약정,지류고지서,없음,123832,4177259,391,1,2,1
15,24개월,지류고지서,광랜,123814,2175515,114,4,4,1
26,24개월,계좌이체,기가,90868,2376604,9,2,2,1
72,12개월,계좌이체,기가,113006,7436575,444,4,1,0
57,무약정,카드,기가,,5331272,485,6,5,0
40,24개월,지류고지서,없음,80656,3047555,413,10,1,1
34,24개월,지류고지서,기가,42968,1402523,25,5,4,0
20,24개월,카드,없음,76937,1657660,448,10,2,0
41,12개월,계좌이체,광랜,49819,2280966,124,8,5,0
14,12개월,지류고지서,없음,62852,1010123,363,9,4,1
39,12개월,지류고지서,없음,57628,2470921,462,0,0,0
22,무약정,계좌이체,광랜,130158,2752431,101,10,0,1
37,24개월,카드,광랜,88542,2854655,,1,3,0
53,24개월,지류고지서,광랜,113781,6839970,365,10,4,1
42,24개월,카드,기가,57240,2423831,296,0,1,0
71,24개월,계좌이체,없음,120759,7068323,,8,1,1
53,24개월,계좌이체,광랜,64061,,338,1,2,1
63,12개월,카드,기가,103518,6740806,279,0,2,1
73,12개월,카드,광랜,52716,4519436,54,5,0,0
73,12개월,지류고지서,광랜,67048,5246071,486,5,5,0
65,24개월,지류고지서,없음,81424,5263223,321,4,0,0
39,24개월,계좌이체,광랜,85211,3265587,247,0,2,1
72,24개월,계좌이체,없음,19000,1517084,410,0,3,0
11,무약정,카드,기가,41741,513497,162,5,2,0
14,12개월,카드,없음,104517,1556450,57,10,0,1
37,24개월,계좌이체,기가,116490,4286217,215,4,0,1
69,12개월,카드,기가,50578,4412670,318,9,5,0
25,24개월,계좌이체,기가,61516,1645916,220,0,0,1
70,24개월,지류고지서,광랜,95893,7333784,278,3,3,0
15,무약정,계좌이체,광랜,26914,381862,261,9,2,1
60,무약정,계좌이체,없음,96170,5439693,76,7,5,0
1,무약정,지류고지서,기가,103503,106626,476,2,3,1
39,,계좌이체,기가,115083,4179487,387,0,4,0
32,24개월,카드,없음,,1073380,,3,4,0
,24개월,지류고지서,광랜,19000,1476417,,4,4,0
72,24개월,계좌이체,광랜,26382,2006745,419,4,3,0
57,24개월,지류고지서,광랜,34286,1864861,351,8,0,0
9,,,없음,80656,718725,464,2,3,1
,24개월,카드,없음,96674,443672,316,7,2,1
56,,계좌이체,기가,73000,3494356,41,6,3,0
69,12개월,지류고지서,광랜,100019,7801247,302,3,,0
66,12개월,계좌이체,기가,116941,9261692,37,8,5,0
7,무약정,계좌이체,기가,137435,842103,220,4,1,1
28,12개월,지류고지서,기가,110325,-,135,1,5,0
12,12개월,계좌이체,없음,150068,미확인,123,1,0,1
53,무약정,지류고지서,기가,62282,3832915,468,4,1,1
61,24개월,카드,기가,103321,6958867,214,6,5,0
4,12개월,카드,없음,34821,136017,490,2,2,0
74,12개월,지류고지서,광랜,40250,2902987,19,6,1,1
57,12개월,카드,광랜,23779,1309934,312,4,1,0
60,24개월,카드,기가,130698,,478,1,2,0
36,24개월,계좌이체,없음,34700,1549810,253,6,0,1
74,무약정,카드,광랜,48134,3557203,212,1,2,1
15,24개월,지류고지서,광랜,85249,1466804,323,3,1,1
71,24개월,카드,,108997,8191900,77,4,3,0
1,무약정,계좌이체,없음,145011,149021,263,6,4,1
40,24개월,계좌이체,없음,144112,6020688,169,5,4,0
60,무약정,카드,없음,100329,5651092,62,3,,1
66,24개월,카드,없음,95838,5976276,471,10,2,1
29,무약정,카드,광랜,91343,2467058,459,4,3,1
52,12개월,지류고지서,기가,152000,7621963,157,7,0,1
22,,카드,,45986,1197490,85,5,1,1
57,24개월,지류고지서,광랜,110744,5574087,370,0,0,0
,24개월,지류고지서,없음,100677,2870552,31,3,0,1
29,12개월,카드,없음,111497,3399046,84,7,0,1
6,24개월,계좌이체,광랜,152000,963365,163,9,2,1
65,12개월,계좌이체,없음,36369,2146201,262,8,2,0
9,무약정,지류고지서,광랜,114810,973183,64,2,0,1
57,무약정,카드,기가,103822,6384029,455,6,3,1
1,12개월,계좌이체,기가,121590,126584,441,1,5,0
5,무약정,지류고지서,기가,152000,779872,329,8,2,1
1,12개월,지류고지서,광랜,116949,112313,377,3,2,1
48,12개월,카드,없음,22862,1107328,484,1,0,0
35,무약정,지류고지서,기가,75461,2295391,232,5,5,1
22,24개월,지류고지서,광랜,102298,2579022,34,2,3,0
18,12개월,카드,없음,87991,1410427,44,1,4,1
23,무약정,,광랜,104553,2294407,253,7,5,1
9,24개월,지류고지서,기가,73721,712026,147,9,3,1
58,무약정,지류고지서,없음,82625,5443312,487,4,2,0
47,무약정,지류고지서,없음,58987,3098289,249,3,3,1
2,24개월,계좌이체,기가,152000,307213,439,1,2,0
8,무약정,카드,기가,126638,874272,143,2,4,1
57,24개월,,기가,105320,6052039,332,1,4,0
44,무약정,지류고지서,광랜,42388,1726916,8,1,1,0
54,12개월,카드,없음,55773,2648821,201,0,1,0
72,무약정,카드,기가,19000,1102386,258,6,1,0
35,12개월,계좌이체,광랜,130467,4424091,63,6,0,1
26,무약정,카드,기가,38741,1131868,477,5,2,0
39,12개월,카드,기가,105548,4748319,143,8,0,1
41,24개월,지류고지서,기가,77567,3459178,72,7,1,1
6,12개월,카드,기가,107849,498977,274,,4,1
,24개월,,광랜,81082,3472274,432,2,,0
31,24개월,지류고지서,광랜,,3046764,300,4,2,1
65,12개월,카드,기가,108638,7406017,116,9,3,0
,24개월,카드,기가,104794,1511256,122,10,2,1
5,무약정,,광랜,52895,272397,171,2,4,1
17,12개월,지류고지서,광랜,74182,984409,346,4,5,1
15,24개월,계좌이체,광랜,78897,1237749,472,1,1,1
51,12개월,지류고지서,광랜,148588,8074412,10,3,2,1
59,24개월,지류고지서,광랜,19000,1042288,268,1,4,0
66,무약정,지류고지서,광랜,99882,4923765,148,6,4,0
74,24개월,계좌이체,없음,65419,4534705,398,10,4,0
37,24개월,계좌이체,없음,72831,3016023,230,3,1,0
73,24개월,카드,없음,25007,1837384,367,2,1,0
,12개월,계좌이체,광랜,94241,4307437,189,9,4,1
38,무약정,지류고지서,기가,85956,2808988,31,7,3,1
15,24개월,카드,없음,83488,1114190,235,1,1,0
74,무약정,지류고지서,기가,56017,3736539,8,5,3,0
46,12개월,지류고지서,광랜,46171,2359367,450,0,3,0
37,12개월,카드,기가,84193,3450236,231,6,,0
47,12개월,지류고지서,기가,76621,3973844,34,10,2,0
10,24개월,지류고지서,광랜,106916,1071907,303,3,0,1
21,24개월,계좌이체,기가,88258,1786229,291,9,0,1
6,무약정,계좌이체,기가,97933,606601,78,3,2,1
15,12개월,지류고지서,없음,102459,1552321,458,5,0,0
37,24개월,계좌이체,없음,133180,5458053,41,1,4,1
4,,계좌이체,기가,77541,283912,275,10,1,1
60,무약정,지류고지서,없음,102293,6036410,166,4,1,0
21,무약정,카드,없음,51986,1064530,34,3,5,0
,24개월,계좌이체,광랜,45280,2913251,75,3,2,0
5,,카드,광랜,120829,623811,248,4,2,1
46,무약정,계좌이체,없음,84634,3317914,117,8,1,0
33,무약정,계좌이체,광랜,78060,2987559,383,0,1,0
16,24개월,계좌이체,,73586,960181,498,5,5,0
9,12개월,계좌이체,없음,75577,599871,86,2,4,1
48,24개월,계좌이체,기가,26007,1202139,152,1,4,0
59,24개월,지류고지서,기가,94816,5339310,316,6,0,1
31,12개월,카드,없음,96574,,72,8,1,1
63,24개월,계좌이체,기가,92690,6365086,198,6,4,0
53,무약정,지류고지서,광랜,69669,3894449,306,1,5,0
74,12개월,카드,없음,109088,6768246,57,10,5,0
25,12개월,카드,없음,108851,3108490,306,6,3,1
45,12개월,지류고지서,없음,93816,-,16,7,5,1
14,,계좌이체,광랜,78768,1096069,156,0,0,1
41,24개월,카드,광랜,44842,2137276,27,8,3,0
25,무약정,카드,기가,80595,2050188,321,8,5,1
54,24개월,계좌이체,광랜,80427,4034721,175,6,1,0
3,무약정,카드,광랜,86958,268136,373,4,5,1
,24개월,지류고지서,없음,113337,5422323,230,4,0,1
46,무약정,계좌이체,광랜,90898,4577212,275,4,1,0
72,24개월,계좌이체,없음,87470,6408226,111,6,0,0
61,24개월,계좌이체,광랜,21730,1456202,401,0,0,0
11,무약정,지류고지서,기가,107931,1126723,292,6,1,1
21,무약정,계좌이체,없음,23306,미확인,470,10,0,0
64,12개월,카드,광랜,82608,5003156,232,3,0,1
24,24개월,계좌이체,광랜,28507,629688,429,6,1,0
12,24개월,지류고지서,기가,55203,630733,500,0,1,1
28,24개월,카드,기가,35078,916541,343,7,4,0
20,무약정,카드,없음,111985,2262345,,0,0,1
62,24개월,지류고지서,없음,63620,3944562,453,2,5,0
45,12개월,지류고지서,없음,58419,1938080,122,0,1,0
30,12개월,계좌이체,광랜,68447,1782128,19,5,2,1
44,12개월,지류고지서,없음,60127,2481269,463,3,0,0
25,24개월,지류고지서,없음,152000,3981248,387,2,4,1
19,무약정,계좌이체,없음,91586,1544022,309,7,2,1
56,12개월,지류고지서,광랜,63468,3253777,198,8,2,0
59,24개월,카드,없음,111756,6858532,381,0,0,0
59,무약정,지류고지서,없음,23356,1373751,393,8,3,0
30,24개월,계좌이체,광랜,138505,3765966,406,6,,1
17,12개월,카드,없음,66760,1269235,351,4,5,0
64,,계좌이체,기가,132103,8757025,221,9,3,1
18,무약정,계좌이체,광랜,112875,1802157,152,9,1,1
67,24개월,계좌이체,기가,81605,5278352,140,9,4,0
28,24개월,카드,광랜,144377,4193916,,6,4,1
4,,,없음,,265794,279,4,0,0
39,24개월,계좌이체,없음,35332,1037700,60,9,4,0
39,24개월,계좌이체,광랜,19000,651927,161,0,5,0
46,24개월,계좌이체,없음,136719,5604896,48,10,5,1
41,24개월,계좌이체,기가,152000,6101673,38,9,4,1
13,24개월,계좌이체,광랜,140677,1579631,64,5,0,1
29,24개월,지류고지서,기가,29686,762643,228,8,3,1
27,24개월,계좌이체,광랜,19000,551084,370,0,2,0
59,24개월,지류고지서,광랜,109934,5699477,334,6,5,0
12,12개월,계좌이체,광랜,102226,1010407,95,5,5,1
28,24개월,지류고지서,없음,52937,,180,2,3,0
30,24개월,지류고지서,기가,32570,-,121,1,0,0
12,12개월,카드,광랜,48667,495937,11,5,5,0
27,24개월,지류고지서,없음,88969,2396001,374,3,1,1
74,24개월,카드,광랜,86426,5545679,22,,1,0
72,,지류고지서,광랜,103171,6640105,484,1,2,0
,12개월,카드,없음,105282,92598,487,,3,1
55,무약정,계좌이체,기가,19000,1047219,162,1,2,0
27,12개월,계좌이체,없음,121769,3428831,275,10,3,1
1,24개월,계좌이체,없음,75062,69143,239,1,4,0
22,12개월,계좌이체,없음,140836,3031886,36,9,3,1
15,24개월,,없음,38744,662978,200,3,5,0
25,무약정,카드,광랜,146207,3205094,206,3,3,1
44,무약정,계좌이체,광랜,73377,3299490,377,2,3,0
33,24개월,지류고지서,없음,122434,4103957,77,7,5,1
18,12개월,카드,광랜,97903,1627132,373,6,5,1
22,24개월,계좌이체,없음,,2984568,298,7,2,1
48,24개월,,기가,19000,1003341,376,9,5,0
15,12개월,계좌이체,없음,119453,1662545,120,5,1,1
,무약정,계좌이체,없음,93797,1550441,249,7,1,1
71,12개월,계좌이체,광랜,121222,7469503,403,0,3,1
20,무약정,지류고지서,광랜,115745,2324588,418,10,3,0
56,24개월,카드,광랜,61057,3463260,229,1,5,0
49,24개월,계좌이체,없음,85168,4560505,225,4,0,0
66,24개월,계좌이체,기가,128580,7841281,342,0,2,0
45,무약정,지류고지서,기가,62890,3448765,351,3,0,0
71,,지류고지서,기가,100839,6846296,370,5,3,1
61,24개월,카드,없음,69272,4770453,448,6,2,0
69,무약정,지류고지서,기가,60573,3809701,133,1,4,0
67,12개월,계좌이체,기가,19000,1442975,394,9,3,0
73,24개월,카드,없음,102465,8160684,308,3,2,0
53,,카드,기가,96501,5583640,325,8,3,0
34,24개월,계좌이체,없음,57483,2033376,230,5,2,0
,24개월,카드,기가,101219,7307016,182,2,1,0
64,12개월,지류고지서,없음,85352,5646835,498,2,3,0
,24개월,카드,없음,82144,5063986,268,6,5,0
64,24개월,계좌이체,없음,81511,5638545,305,8,5,0
59,24개월,카드,없음,91377,4211008,114,6,4,0
53,24개월,카드,없음,98824,5304282,,0,1,0
62,24개월,지류고지서,기가,147668,9558730,249,7,1,1
59,12개월,지류고지서,광랜,107054,6470796,158,0,3,0
63,24개월,계좌이체,광랜,19000,1413827,326,0,3,0
38,무약정,카드,기가,81654,2855207,346,3,3,0
15,12개월,계좌이체,없음,152000,2823318,183,4,0,1
,12개월,지류고지서,광랜,77823,3000311,358,6,4,1
72,24개월,지류고지서,광랜,,7995973,103,8,0,0
37,24개월,지류고지서,기가,131460,5463718,433,10,1,1
57,24개월,지류고지서,광랜,,-,80,3,2,1
18,무약정,계좌이체,기가,125547,2360626,496,8,3,1
54,12개월,지류고지서,기가,73104,4336665,239,4,4,0
19,12개월,카드,없음,79772,1297750,159,8,1,1
26,24개월,카드,없음,27612,726904,367,10,2,0
22,24개월,계좌이체,광랜,128331,2379651,467,5,2,1
45,24개월,계좌이체,없음,85322,3336280,,1,4,1
3,24개월,카드,없음,152000,452558,389,4,3,1
44,24개월,카드,없음,106476,4675403,267,5,5,0
17,12개월,,광랜,125272,1970999,504,1,0,1
58,무약정,카드,광랜,108031,6543003,458,9,4,1
,무약정,지류고지서,광랜,28310,177157,133,2,2,1
22,무약정,계좌이체,없음,30044,682177,352,2,5,1
29,무약정,지류고지서,없음,46461,1227837,414,1,1,1
40,,계좌이체,광랜,36976,1515648,348,2,0,0
11,24개월,계좌이체,없음,132271,1448364,368,6,1,1
23,12개월,카드,없음,131701,3015326,,9,3,1
29,,지류고지서,광랜,152000,4179789,142,4,1,1
4,무약정,계좌이체,기가,99929,406547,78,8,2,1
59,24개월,카드,기가,127151,8555076,386,7,2,0
17,24개월,계좌이체,없음,89498,1533091,369,5,3,1
64,무약정,계좌이체,기가,117608,7148469,480,3,2,1
34,12개월,계좌이체,광랜,81471,2411284,391,2,3,1
46,,계좌이체,광랜,115636,5769524,362,1,5,1
22,12개월,지류고지서,기가,112153,2629749,341,2,2,1
69,24개월,지류고지서,광랜,152000,10231612,165,5,4,1
54,12개월,계좌이체,없음,76971,4125553,283,2,1,0
30,무약정,카드,없음,126949,4041416,185,8,4,1
7,무약정,계좌이체,광랜,146723,1096742,241,7,5,1
,24개월,지류고지서,기가,95248,430439,369,4,0,1
51,무약정,지류고지서,기가,19000,877538,447,3,,1
51,12개월,카드,없음,109587,5419997,68,6,3,0
29,24개월,카드,광랜,113929,3414337,163,5,2,0
14,24개월,지류고지서,광랜,80600,미확인,85,3,5,1
53,24개월,카드,기가,52848,3177783,352,10,1,0
2,12개월,카드,광랜,128407,232182,273,9,1,1
,12개월,계좌이체,없음,93676,3571108,49,8,1,1
53,24개월,지류고지서,기가,101839,4780208,262,6,3,1
26,12개월,지류고지서,없음,66862,1700265,486,10,2,0
31,24개월,카드,광랜,94347,2392351,21,6,3,0
51,무약정,계좌이체,광랜,71075,3772371,75,7,3,0
16,24개월,지류고지서,광랜,83862,1335673,149,10,2,1
68,24개월,,기가,121285,7773355,221,7,2,1
24,무약정,카드,기가,124737,2713262,418,3,0,1
70,12개월,카드,기가,55639,3919547,20,2,3,0
,24개월,,기가,92939,1775294,482,,0,0
9,24개월,카드,기가,91156,998439,13,1,1,1
1,24개월,지류고지서,기가,84571,72549,401,1,1,1
28,12개월,계좌이체,,61072,1705234,339,1,2,1
,24개월,계좌이체,광랜,,3630603,79,2,,0
1,무약정,계좌이체,없음,121617,132502,156,,3,1
51,무약정,카드,광랜,132077,6963486,254,4,3,0
34,,카드,없음,39740,1250843,271,5,0,0
,무약정,,없음,109649,4259093,154,10,3,1
74,24개월,카드,기가,85453,6084024,167,0,1,0
49,24개월,카드,기가,64246,2580748,,7,1,0
8,무약정,,기가,77711,592810,151,2,3,1
22,24개월,계좌이체,없음,137675,3210148,242,0,2,1
52,24개월,지류고지서,없음,94556,4730606,108,1,5,1
56,24개월,지류고지서,기가,46024,2425647,100,5,1,0
47,12개월,지류고지서,광랜,58643,2602512,47,6,0,0
12,12개월,계좌이체,광랜,87004,1102922,67,7,5,1
63,,계좌이체,없음,,5476376,374,6,1,0
29,,지류고지서,기가,48416,1228407,439,5,1,0
18,24개월,지류고지서,기가,94978,1739180,215,2,3,1
37,무약정,카드,없음,147034,4839728,190,10,0,1
36,,카드,기가,61773,1863124,412,9,4,0
36,12개월,카드,없음,46531,-,108,7,1,0
30,24개월,지류고지서,기가,,4018971,297,4,0,1
62,24개월,계좌이체,광랜,108940,-,100,4,5,0
62,12개월,계좌이체,없음,79120,4969313,370,6,4,0
,12개월,지류고지서,광랜,69519,미확인,354,3,1,0
35,무약정,카드,없음,86806,,212,10,3,1
59,24개월,지류고지서,없음,65903,3795692,488,4,4,0
54,12개월,카드,광랜,,2101730,191,,2,0
59,무약정,카드,광랜,118992,7516504,422,6,0,0
69,24개월,지류고지서,기가,117222,6864342,297,2,3,1
21,24개월,계좌이체,기가,76921,1405561,342,6,,1
12,12개월,계좌이체,없음,146218,1688537,257,3,3,1
73,24개월,계좌이체,기가,83646,6344920,423,4,2,0
54,무약정,카드,광랜,69150,3446594,235,6,3,1
19,12개월,계좌이체,기가,110250,2275199,333,4,0,1
62,24개월,지류고지서,없음,110379,6823574,178,9,5,0
8,무약정,지류고지서,없음,152000,1175722,415,0,3,1
,24개월,카드,광랜,91736,5292820,124,9,1,0
35,무약정,카드,광랜,53450,1768636,335,10,3,1
2,무약정,카드,없음,152000,327067,188,6,1,1
37,무약정,카드,없음,89679,3040912,197,2,1,0
15,무약정,카드,없음,60432,897897,239,0,1,1
32,12개월,카드,광랜,72964,1887753,307,3,4,0
22,12개월,계좌이체,광랜,104980,2199207,97,5,4,0
51,12개월,카드,광랜,63234,3290550,112,1,1,0
31,12개월,계좌이체,광랜,86922,2570023,484,1,3,1
5,무약정,지류고지서,기가,113905,638938,388,3,4,1
8,24개월,지류고지서,,68771,613561,364,3,1,0
14,무약정,카드,광랜,97910,1546646,235,4,3,1
66,12개월,계좌이체,없음,119387,6579869,172,0,0,0
51,12개월,계좌이체,광랜,59191,3066396,381,2,5,0
30,24개월,계좌이체,기가,,3111913,53,9,0,1
42,12개월,지류고지서,기가,51195,2039620,258,5,2,0
16,무약정,지류고지서,광랜,57956,761425,221,10,1,1
2,12개월,,기가,119308,265254,104,4,4,1
,12개월,카드,,107001,1951833,454,2,2,1
23,24개월,카드,기가,69683,1410567,12,6,3,1
35,무약정,지류고지서,광랜,63615,2066520,435,1,1,1
42,24개월,계좌이체,광랜,82549,3721268,289,9,2,1
6,무약정,지류고지서,없음,131269,854843,504,1,3,1
4,24개월,카드,기가,74363,268667,272,7,,0
5,무약정,계좌이체,광랜,64010,302013,258,2,2,1
27,,계좌이체,없음,60534,1745861,291,1,5,0
4,12개월,카드,광랜,152000,,,2,1,1
29,무약정,지류고지서,없음,122787,3103114,444,1,1,1
33,무약정,지류고지서,기가,106293,-,370,1,3,0
34,무약정,카드,광랜,83750,2290325,223,1,4,0
18,24개월,계좌이체,없음,152000,2697036,383,0,1,1
71,24개월,카드,기가,103394,6926828,351,10,3,0
69,12개월,카드,없음,76578,5109052,380,8,5,0
46,12개월,계좌이체,없음,81924,3786403,151,,0,0
2,24개월,계좌이체,광랜,63503,137191,130,3,4,0
61,24개월,계좌이체,기가,107629,7004317,242,0,1,0
36,무약정,계좌이체,광랜,119820,4414689,247,2,5,1
2,무약정,지류고지서,광랜,87061,204375,171,5,1,1
5,,계좌이체,없음,97768,446513,80,0,4,1
8,24개월,계좌이체,기가,74058,629446,13,,1,1
70,12개월,지류고지서,,86652,6163231,429,5,0,0
43,무약정,카드,광랜,72708,3480405,11,2,1,1
43,12개월,지류고지서,없음,107611,4316551,474,0,5,1
14,무약정,카드,광랜,106982,1579683,68,8,2,1
37,무약정,카드,광랜,77195,3221640,271,1,2,0
17,무약정,카드,광랜,101286,1622674,468,1,5,0
17,무약정,계좌이체,없음,31683,543407,385,4,3,0
14,24개월,카드,없음,96109,1493480,106,5,2,1
21,24개월,카드,없음,141384,2547499,44,7,2,1
13,24개월,카드,,34428,466172,309,10,4,1
31,12개월,카드,,114545,3698834,235,6,4,1
30,24개월,카드,광랜,104367,3096530,148,0,3,0
29,무약정,지류고지서,없음,73532,2338229,48,0,4,0
26,12개월,카드,기가,86705,2060546,211,9,3,0
70,24개월,카드,광랜,131185,8956262,96,6,2,0
