rain_mm_year,mean_temp,sun_hours,soil_kind,soil_ph,fertilizer,n_level,p_level,k_level,output_kg_per_ha
1380,18.1,2496,양토,7.7,칼리,91.17,37.23,13.96,2385
953,16.6,1898,양토,7.6,복합,39.47,46.78,11.99,2512
1082,,1837,점토,7.6,질소,27.74,10.96,42.58,2002
1065,,2955,사질토,6.8,복합,21.21,5.34,44.65,2200
883,13.4,2074,사질토,5.4,복합,42.53,6.39,15.64,1972
1716,21.1,2238,점토,6.1,질소,42.18,41.22,38.94,2085
824,21.5,2290,점토,6.4,칼리,33.88,26.14,28.24,1771
1032,17.3,2195,점토,4.8,인산,67.73,9.92,16.27,1885
1944,13.9,2517,사질토,5.5,인산,56.01,34.53,12.22,2431
1140,18.3,2686,사질토,6.1,복합,39.69,12.33,38.98,2217
1339,19.6,2996,사질토,6.5,복합,72.21,22.09,24.98,2402
611,20.1,1794,점토,6.9,질소,65.72,27.60,39.07,1454
996,21.8,1831,양토,5.5,복합,60.15,16.69,5.13,2116
2041,17.7,2190,점토,6.5,복합,29.44,46.26,19.35,2515
1955,13.3,2795,사질토,6.8,복합,81.29,22.42,30.24,2755
1972,14.1,2875,점토,6.6,인산,49.42,40.67,16.76,2205
1228,17.3,1730,사질토,7.5,복합,49.47,15.72,43.98,2146
1423,18.5,1762,양토,6.7,칼리,58.31,44.53,46.88,2134
500,21.5,2892,양토,5.1,복합,39.15,26.06,31.67,2040
810,14.4,,점토,5.0,인산,16.52,24.79,49.14,1625
768,17.8,2110,양토,7.0,복합,17.73,31.52,28.70,2161
930,20.7,1866,점토,6.9,질소,71.13,34.11,41.70,1868
1386,19.6,3018,점토,7.7,복합,37.05,44.99,25.39,2179
1365,18.3,1695,양토,6.3,복합,77.02,22.24,28.31,2221
1107,21.1,1496,양토,6.5,인산,42.96,19.68,14.52,1991
859,11.7,2323,양토,5.7,복합,95.35,9.08,23.16,2355
1085,11.7,2448,사질토,6.0,질소,49.29,33.81,16.77,2138
535,14.0,2491,점토,6.4,복합,54.84,19.94,40.81,1987
1633,19.9,2346,사질토,6.2,인산,90.50,13.43,17.03,2382
1190,26.0,1715,양토,7.6,칼리,12.64,14.72,14.72,2292
484,14.5,2047,점토,6.9,질소,64.47,10.55,9.70,1758
1516,13.7,2247,점토,7.0,인산,35.59,23.03,13.18,2093
1384,20.4,3003,양토,5.7,칼리,91.62,33.66,41.74,2310
1395,17.0,1867,사질토,7.4,질소,91.60,27.78,49.22,2287
1533,18.8,1980,양토,4.8,칼리,99.79,41.51,40.65,2177
553,16.9,2393,사질토,5.9,칼리,75.13,32.22,30.61,1915
1801,15.8,1659,양토,8.2,복합,24.57,26.59,14.38,2363
1269,20.2,2123,양토,7.0,칼리,54.28,34.86,22.74,2386
1768,16.8,1636,사질토,6.7,복합,58.93,15.12,18.06,2328
1107,19.6,1703,사질토,6.1,복합,58.47,6.35,24.11,2041
1780,24.2,2122,사질토,6.8,칼리,68.58,41.48,49.71,2488
543,19.0,2527,양토,6.2,칼리,92.88,25.24,45.26,2039
861,20.2,2370,사질토,7.9,복합,63.78,19.96,38.52,2129
1121,15.8,2872,양토,4.8,칼리,58.64,25.93,29.10,2368
690,17.3,2793,양토,5.7,칼리,26.77,46.72,44.12,2078
1609,12.9,2928,양토,5.5,칼리,87.31,25.41,20.90,2328
1784,16.9,1735,양토,5.7,복합,19.57,20.32,33.48,2209
1188,16.0,2505,점토,7.5,질소,31.23,25.41,21.09,1995
526,15.7,2761,사질토,6.2,질소,46.86,48.18,20.77,1840
513,22.5,2779,점토,6.8,복합,33.16,11.21,49.82,1833
2046,13.9,2654,양토,6.5,인산,48.32,35.99,25.72,2821
1047,12.4,2777,양토,6.4,칼리,36.38,47.82,13.83,2423
596,26.0,2482,사질토,6.0,질소,73.27,21.46,13.96,1861
1532,23.2,,점토,4.8,인산,60.50,49.94,34.33,1914
1303,18.5,1682,사질토,5.2,질소,45.31,30.28,45.60,2259
688,22.0,2091,양토,5.5,인산,85.92,28.10,44.41,1839
1933,13.4,2312,사질토,6.9,복합,84.46,29.17,29.68,2679
1744,25.4,1836,사질토,6.2,질소,40.47,45.69,10.23,2366
734,13.9,2200,사질토,6.5,복합,22.44,43.81,29.51,2022
1983,17.8,2170,양토,6.9,인산,36.57,47.15,47.59,2568
686,24.7,1817,양토,6.5,인산,35.42,47.58,28.96,1904
789,18.8,2347,양토,7.2,질소,49.06,44.08,9.61,2109
1600,21.1,2163,점토,6.6,복합,94.82,19.87,21.27,2287
1503,19.2,2155,사질토,6.9,인산,11.65,46.16,31.54,2209
1613,17.8,2305,양토,6.0,인산,94.02,41.29,20.07,2534
965,20.1,2281,점토,5.5,복합,57.39,23.25,39.91,1981
656,13.2,1502,사질토,7.5,칼리,31.05,21.36,35.00,1860
482,20.7,1809,점토,6.3,인산,13.02,8.90,40.45,1723
1417,23.1,1480,양토,7.0,복합,38.68,15.21,17.68,2263
1100,18.1,2867,사질토,6.9,질소,21.01,24.09,45.80,2037
1402,18.5,2115,양토,5.9,복합,36.92,34.26,39.56,2490
1706,16.9,2446,점토,7.0,인산,88.44,43.31,43.25,2188
1326,14.9,2992,사질토,6.4,인산,70.79,19.04,18.11,2300
1689,20.7,2659,사질토,6.9,인산,51.52,39.92,33.78,2411
1825,15.7,2540,양토,6.1,질소,68.78,5.69,9.87,2496
1002,10.9,,사질토,6.6,복합,22.27,9.78,11.84,2317
1036,13.4,2209,사질토,6.8,질소,33.45,36.15,13.43,2010
1696,,2723,사질토,6.0,질소,98.37,19.46,11.90,2401
1226,15.0,2725,점토,4.8,복합,93.80,9.57,42.64,2246
1274,16.9,1959,사질토,6.5,복합,79.47,5.39,5.10,2098
1830,20.5,1916,점토,7.6,질소,67.25,35.23,5.53,1969
629,26.0,2167,사질토,6.5,복합,65.95,13.37,17.46,1908
856,20.8,2498,양토,6.2,인산,39.23,28.24,31.29,2125
1121,23.1,2217,점토,6.8,칼리,82.54,39.85,22.47,1810
920,21.8,1946,사질토,7.7,복합,98.52,36.42,9.29,2160
1889,19.2,2459,사질토,6.5,질소,83.04,27.51,18.10,2555
1445,20.1,2973,양토,4.9,인산,16.17,48.88,5.09,2291
1256,15.8,1664,양토,7.4,질소,70.25,35.11,10.30,2047
1166,13.5,1617,점토,8.0,인산,17.63,14.40,29.55,1869
1851,17.4,1552,양토,7.5,복합,74.81,29.17,13.42,2550
1648,16.8,1607,점토,6.7,복합,61.08,46.31,6.75,2196
1635,16.6,2946,양토,6.2,칼리,24.95,36.88,10.86,2432
2022,12.6,1558,사질토,5.8,질소,45.21,31.70,14.08,2203
695,24.2,2722,사질토,4.8,질소,15.41,6.87,48.55,1872
1008,18.8,2610,양토,6.2,인산,87.11,33.94,36.02,2071
1032,13.3,2769,점토,5.8,인산,26.33,28.78,20.70,2015
946,26.0,2687,점토,6.7,복합,72.49,40.92,7.78,1922
1496,17.3,2872,양토,5.8,인산,84.97,12.74,13.66,2498
695,17.3,1585,사질토,7.9,복합,22.24,49.87,28.88,1934
1135,17.2,2746,사질토,5.4,질소,35.90,24.06,31.91,2201
1350,21.6,1613,점토,6.8,질소,43.63,11.72,14.29,1830
1095,14.0,2123,사질토,6.4,질소,74.68,35.39,49.19,2464
645,20.7,2941,양토,6.9,칼리,17.95,5.62,21.42,2148
908,12.3,1470,양토,6.2,복합,74.54,21.19,44.94,2185
976,19.1,2623,사질토,5.8,질소,76.18,19.18,28.68,2295
777,9.5,2737,점토,6.1,복합,10.96,36.05,13.67,1868
705,21.0,1954,사질토,7.5,칼리,80.54,6.98,13.61,1752
2003,26.0,1905,사질토,6.7,칼리,37.66,17.79,47.73,2184
1454,15.8,1881,점토,7.4,인산,73.89,20.36,35.95,2029
899,11.8,2184,사질토,5.9,질소,60.60,35.22,14.65,2015
1927,17.9,2550,점토,7.7,질소,72.80,29.62,28.09,2308
1605,24.9,1531,사질토,6.9,질소,15.15,16.73,14.26,2441
892,20.1,2458,점토,6.5,칼리,52.29,14.47,24.23,1742
755,19.9,2601,양토,6.6,칼리,46.85,19.19,24.33,2286
1966,18.1,1503,점토,7.3,인산,14.25,35.14,23.30,2253
508,21.3,2152,점토,8.2,질소,56.03,10.02,35.64,1564
1698,19.5,3043,점토,7.5,칼리,27.83,31.17,11.56,2429
1038,12.6,2498,사질토,6.1,칼리,34.53,17.87,38.79,2019
868,20.9,,점토,5.8,질소,83.70,26.57,30.20,1870
1693,25.0,1821,양토,6.0,칼리,32.32,39.18,6.00,2281
1554,16.1,1675,점토,6.5,복합,24.98,24.93,11.23,2224
766,16.9,2194,양토,7.4,복합,68.86,27.72,30.94,2081
914,,1563,점토,6.7,칼리,78.91,24.01,18.57,1700
1324,22.1,1537,양토,6.6,질소,81.34,46.48,45.66,2422
1947,21.6,2991,사질토,7.1,인산,41.97,15.25,45.73,2530
1220,10.7,2302,양토,5.8,질소,72.44,49.12,22.95,2197
1070,13.8,2815,사질토,5.9,복합,61.76,9.40,30.23,2125
1223,16.9,1961,사질토,6.8,복합,31.93,33.48,5.89,2306
1918,15.7,2272,점토,8.0,칼리,44.84,22.30,7.04,2360
1716,24.8,1602,양토,6.5,칼리,65.55,18.23,34.49,2536
1129,14.3,2980,사질토,7.3,복합,53.48,6.78,32.06,2309
840,13.9,2255,점토,5.9,칼리,57.20,38.23,22.02,1805
696,22.6,,사질토,6.4,질소,85.60,41.91,37.46,1955
1583,9.5,1886,점토,6.9,복합,78.31,12.47,38.24,2184
1399,19.5,2171,사질토,7.0,질소,37.31,8.59,23.02,2384
1255,23.0,1601,양토,7.0,인산,48.89,22.55,19.75,2080
1305,16.1,2274,사질토,5.2,복합,53.62,27.25,49.55,2262
969,21.3,2677,사질토,4.8,인산,20.63,33.76,39.53,1962
1149,9.5,1719,점토,7.5,복합,11.63,13.57,26.69,1716
1908,19.0,1666,양토,4.8,인산,87.12,10.82,41.60,2428
1267,18.5,2093,점토,6.7,인산,55.23,38.41,42.19,2045
734,20.8,2211,양토,6.8,복합,56.94,22.97,17.49,2112
645,21.0,2809,사질토,7.4,질소,20.73,22.67,10.36,2092
701,24.8,2183,사질토,7.1,칼리,34.45,13.66,36.87,1817
1671,21.3,2534,양토,8.2,복합,58.58,21.75,7.26,2566
1937,12.7,2434,점토,6.3,질소,22.23,27.07,10.05,2382
884,12.0,2933,점토,6.8,복합,36.08,14.79,35.48,2192
946,13.2,,점토,7.8,인산,50.01,34.64,42.36,1926
1644,14.9,1680,점토,6.7,칼리,17.07,17.95,37.65,2211
1417,,2399,사질토,8.0,질소,31.76,24.01,49.22,2311
1109,14.2,1967,양토,7.9,질소,97.71,25.33,36.89,2417
526,21.9,2584,점토,4.8,칼리,47.41,44.59,45.20,1675
1024,20.5,1737,점토,8.1,칼리,67.22,49.09,20.96,2011
1074,22.0,1839,양토,7.4,칼리,15.73,32.18,17.43,2005
1604,15.7,2732,사질토,7.4,질소,35.02,27.48,32.99,2330
587,14.9,2670,사질토,5.4,복합,49.04,42.55,42.17,2131
1811,23.8,2871,점토,6.9,복합,81.90,5.45,21.29,2419
1826,16.9,1451,양토,6.9,인산,93.38,28.52,33.88,2472
1380,19.9,1531,점토,5.9,질소,62.96,17.49,48.97,1925
819,21.8,1837,사질토,6.9,질소,62.50,26.46,24.43,1915
607,15.3,,양토,6.9,복합,24.68,35.51,20.37,2258
1373,15.1,2019,양토,7.5,복합,54.46,43.45,29.91,2296
863,21.9,1656,점토,5.5,복합,21.32,21.90,8.51,1568
1685,16.9,2890,점토,7.3,복합,43.56,36.86,17.68,2534
651,14.2,1673,점토,6.1,복합,46.66,49.01,40.11,1705
1895,10.1,2181,사질토,7.4,칼리,18.13,44.65,49.75,2533
917,22.3,2601,양토,6.6,질소,41.27,13.65,20.72,2150
1219,22.2,2760,양토,7.4,질소,73.65,45.25,18.20,2519
516,18.9,2762,점토,5.6,칼리,39.93,6.97,37.12,1520
1843,18.9,1797,양토,5.0,복합,63.07,22.16,22.51,2592
818,17.4,2862,점토,4.9,칼리,74.17,22.83,26.68,1863
1449,19.1,2256,점토,6.4,복합,25.77,9.21,22.88,2000
1884,20.1,2415,점토,4.8,인산,39.77,45.51,48.97,2226
1357,16.2,2044,사질토,7.7,질소,84.61,5.42,9.04,2206
726,25.7,2973,사질토,7.5,복합,48.17,34.34,36.81,2106
953,19.0,1532,양토,6.4,칼리,12.01,26.46,19.29,1933
842,,2706,점토,6.6,복합,45.77,19.16,46.19,2002
1975,18.8,2976,점토,5.5,인산,39.38,27.49,41.35,2171
906,20.1,2178,사질토,8.1,인산,50.47,28.58,23.78,1799
1089,14.6,2000,점토,5.4,칼리,22.49,37.35,45.49,1711
566,18.5,2868,사질토,5.2,인산,93.35,30.27,40.55,1866
669,19.5,2795,양토,5.9,복합,97.82,31.97,19.76,2039
650,19.3,2640,점토,8.2,복합,93.38,42.61,43.64,1784
1715,14.9,2112,점토,8.2,질소,51.02,49.17,43.30,2125
622,12.7,1756,양토,6.1,질소,30.65,46.73,36.02,1886
582,13.7,2850,양토,5.4,칼리,22.81,44.95,24.25,2054
1588,20.1,2904,양토,5.3,인산,74.99,25.07,30.94,2625
891,19.1,1497,사질토,6.7,복합,64.29,34.42,45.35,2199
1719,12.7,2218,점토,5.9,인산,14.46,16.38,36.18,2088
1279,15.6,1772,사질토,7.3,질소,22.63,7.29,23.87,2090
507,17.0,3015,사질토,5.9,복합,67.91,21.79,30.16,2033
1532,17.2,2780,사질토,7.9,질소,98.30,36.13,34.25,2354
1941,24.3,2727,점토,5.4,복합,81.74,36.85,5.74,2186
1332,9.5,1533,사질토,7.2,복합,60.25,30.87,45.74,1998
1090,15.9,2306,양토,6.2,질소,27.62,25.62,25.18,2209
1363,14.5,2882,사질토,5.4,칼리,10.64,34.04,35.55,2311
653,17.3,1657,점토,6.8,복합,47.71,21.10,16.47,1925
2013,23.1,2116,사질토,6.4,칼리,16.09,19.42,24.53,2187
993,15.7,1581,양토,6.9,질소,56.48,35.20,46.14,2039
1516,15.3,1903,점토,6.0,질소,50.29,16.84,44.81,2003
1525,17.3,2889,사질토,7.0,복합,44.38,21.43,18.84,2533
622,15.7,,사질토,6.9,인산,52.16,5.38,12.08,1914
695,9.5,2377,양토,7.4,복합,81.45,8.65,11.71,2219
1932,21.5,1509,사질토,6.7,인산,60.57,23.21,47.45,2202
1597,12.9,1745,양토,7.6,질소,12.64,7.77,36.14,2316
1953,22.7,1972,양토,7.2,복합,44.30,43.92,28.22,2704
767,17.6,2774,양토,5.1,인산,19.06,9.86,38.36,2200
1109,14.2,2593,점토,5.5,복합,56.34,39.39,45.80,1910
1998,23.2,1764,점토,6.5,질소,59.43,19.31,44.64,2127
1563,15.4,2098,점토,4.8,복합,88.90,26.35,47.41,2156
620,22.8,1813,점토,7.5,복합,75.80,29.25,34.03,1453
1455,19.4,2273,사질토,7.5,질소,74.00,45.01,27.00,2288
809,21.9,1529,사질토,6.4,질소,15.34,36.04,32.23,2104
1723,19.1,1464,사질토,6.0,질소,35.06,38.76,34.62,2229
521,21.1,2805,양토,7.3,복합,74.09,10.77,8.05,2139
1439,15.1,2083,점토,6.0,질소,12.84,32.35,34.82,1983
1602,21.0,2376,사질토,6.8,인산,88.47,19.19,38.90,2209
1994,25.4,2303,점토,6.9,칼리,11.31,12.83,39.91,2089
1032,25.8,2643,사질토,6.5,칼리,42.89,28.44,45.24,2049
2004,17.7,1532,사질토,5.4,질소,68.54,20.06,17.78,2482
1077,18.1,2481,점토,4.8,질소,65.52,18.96,35.52,1943
507,19.5,2335,점토,6.4,질소,42.57,16.38,46.12,1691
1443,16.6,1922,양토,6.5,칼리,11.23,48.89,37.81,2443
1942,15.6,2530,사질토,5.5,질소,45.67,16.01,49.09,2448
1039,18.0,2403,양토,7.7,질소,12.00,21.90,43.80,2111
1189,15.8,1706,점토,6.6,복합,78.33,8.96,38.71,1929
652,13.6,2274,양토,6.4,질소,41.07,10.30,12.40,2064
1886,26.0,2114,점토,7.1,인산,71.91,36.83,46.24,2232
1997,12.6,1916,점토,6.1,인산,11.38,38.25,21.66,2187
1859,20.9,2073,사질토,5.9,복합,90.25,29.21,15.82,2560
721,23.7,2209,사질토,6.3,칼리,36.77,23.34,23.55,1897
1358,12.4,2208,점토,6.8,인산,50.52,12.04,43.59,1991
1034,18.0,1680,사질토,6.4,인산,25.38,40.58,5.42,1898
1023,20.4,2747,사질토,6.6,칼리,84.03,49.21,9.25,2127
539,22.4,2324,양토,8.1,인산,44.84,37.38,31.41,1640
1759,13.6,2858,점토,7.9,복합,20.52,38.80,9.11,2119
1204,26.0,2650,양토,6.0,질소,61.40,13.93,49.41,2407
738,17.8,2204,점토,4.9,복합,34.04,20.87,20.05,1799
1825,14.5,2053,사질토,5.4,인산,94.65,17.81,44.44,2407
1054,26.0,,사질토,5.4,질소,49.60,47.78,35.39,2147
1440,11.8,1749,점토,7.7,복합,14.11,22.45,26.85,2095
1764,21.9,2399,사질토,6.9,복합,56.79,10.91,15.20,2460
1526,20.0,2398,양토,5.5,인산,85.10,13.41,25.47,2464
1758,16.6,2772,사질토,7.4,인산,10.20,40.01,14.29,2378
1225,26.0,2087,점토,6.5,복합,93.96,19.45,18.45,2153
999,14.0,1876,사질토,5.7,복합,65.85,22.69,18.84,2142
646,13.3,2887,점토,6.4,칼리,72.98,24.32,9.72,1696
745,17.2,2570,사질토,7.0,질소,33.42,7.81,36.39,1883
1104,22.5,2591,사질토,5.7,복합,38.00,48.95,12.48,2211
1185,17.0,1958,양토,6.5,복합,63.16,47.94,34.91,2339
1953,11.9,2242,사질토,7.1,인산,56.13,9.40,24.87,2227
968,14.9,1931,양토,7.3,인산,97.30,19.25,13.55,1885
794,13.6,2130,점토,5.5,질소,82.40,32.43,9.12,1791
721,19.5,1599,사질토,5.5,복합,20.23,13.00,41.60,1840
1323,15.9,2330,양토,5.6,인산,49.25,37.79,20.84,2338
1159,16.2,1732,점토,5.1,질소,25.52,14.60,10.30,1985
828,14.9,2645,양토,7.3,질소,25.73,26.84,23.54,2338
1609,12.3,,양토,4.9,칼리,59.92,48.29,45.48,2707
1825,17.3,3025,사질토,7.5,복합,98.81,10.44,14.01,2543
1723,16.1,2971,양토,6.3,질소,24.65,27.00,5.36,2710
1312,12.4,2812,점토,6.6,질소,22.01,42.83,23.40,1994
666,15.2,1682,양토,7.6,질소,89.35,47.85,38.63,1818
1212,10.7,1917,사질토,7.0,복합,39.64,16.38,22.91,2097
1087,20.6,2405,사질토,6.7,인산,22.12,10.18,16.60,2171
1385,18.8,2005,점토,6.3,칼리,20.17,24.62,46.55,1960
1100,19.8,1515,사질토,7.1,인산,72.49,34.86,14.26,1723
1629,20.8,2445,점토,6.2,인산,51.86,26.71,34.45,2100
689,23.6,2430,양토,6.2,칼리,52.39,6.04,13.29,2027
911,15.1,2410,점토,5.5,복합,92.16,23.50,31.87,1837
1525,17.9,2962,점토,4.9,질소,15.25,14.49,28.28,2208
1624,11.9,1812,점토,6.5,칼리,41.43,17.36,20.87,2045
1323,14.4,1502,점토,7.4,복합,81.10,10.08,31.76,1905
1439,10.1,2879,사질토,7.2,복합,79.08,11.45,26.86,2460
1631,17.3,2901,점토,5.4,복합,48.90,11.80,7.19,2098
1198,17.3,,양토,6.5,인산,50.02,14.31,37.84,2345
571,13.2,2122,점토,8.2,인산,78.56,10.19,18.80,1683
1666,12.6,2622,양토,5.4,질소,75.87,20.16,7.30,2497
827,13.8,2166,사질토,7.5,인산,47.93,21.67,10.31,1853
1979,20.3,1882,사질토,5.5,칼리,61.28,38.77,49.22,2433
1694,13.6,2951,점토,7.6,인산,97.79,41.42,42.32,2110
2043,10.6,1924,사질토,5.4,인산,46.26,11.49,21.53,2561
1402,19.2,1607,양토,6.9,칼리,91.73,26.85,18.91,2071
1829,13.3,1824,사질토,7.3,질소,81.96,32.09,26.34,2112
1176,16.0,1480,양토,8.2,칼리,13.76,12.48,40.62,2199
1706,15.9,1582,양토,7.0,인산,41.70,5.00,42.73,2351
1347,18.9,2707,양토,6.9,칼리,23.93,44.44,9.94,2594
1365,19.6,2702,점토,5.9,칼리,66.88,43.20,19.57,2096
1944,21.4,2106,점토,6.0,인산,61.07,35.52,10.67,2283
762,17.4,1959,사질토,7.7,복합,73.46,25.95,13.05,1901
1295,26.0,2287,사질토,5.4,칼리,85.52,27.36,49.43,2410
883,18.2,1466,사질토,6.2,복합,53.68,11.71,28.80,1946
1937,15.2,2742,사질토,7.3,질소,67.38,38.35,13.50,2673
1905,24.2,2468,점토,7.9,칼리,26.89,36.40,8.05,2160
1612,,2179,양토,6.9,인산,37.73,27.00,30.45,2260
1964,18.5,,점토,8.2,인산,18.96,38.55,30.23,2470
1342,26.0,2262,사질토,5.4,인산,15.11,47.13,9.81,2051
1651,15.3,1452,점토,6.6,복합,34.89,47.84,27.48,2087
972,20.4,2476,점토,7.4,질소,30.85,9.32,39.59,1841
495,18.5,2615,사질토,6.8,인산,21.17,31.87,12.70,1922
1917,15.5,2145,양토,6.7,인산,42.23,42.62,14.63,2819
1892,12.8,2865,양토,7.5,질소,73.55,28.00,29.94,2753
689,14.3,2830,사질토,5.9,복합,98.59,34.13,30.24,2079
1618,23.2,2985,점토,5.7,인산,76.03,49.56,34.22,2300
551,14.1,2317,사질토,6.2,질소,11.98,9.59,18.37,1791
1103,14.3,3032,사질토,6.5,칼리,80.41,24.10,36.56,2253
1250,,2388,사질토,7.3,복합,90.59,35.40,46.92,2241
792,11.4,2111,사질토,6.9,인산,34.45,29.21,8.58,1886
1989,13.6,2038,양토,5.8,칼리,30.39,17.39,33.28,2646
