home_id,frame_material,parking_slots,subway_within_1km,shops_within_500m,school_rating,deal_price_eok
79,철근콘크리트,2,3,9,4,41.6
80,벽돌조,2,2,1,3,16.6
81,철근콘크리트,1,2,9,3,21.9
82,목구조,2,2,3,1,35.3
83,철근콘크리트,1,,1,10,24.3
84,목구조,2,3,11,6,38.6
85,철근콘크리트,1,2,15,6,25.8
86,철근콘크리트,2,3,1,8,38.0
87,목구조,1,2,12,8,51.1
88,벽돌조,2,1,8,5,27.3
89,벽돌조,1,3,15,7,25.5
90,벽돌조,1,2,4,2,28.4
91,목구조,1,3,9,2,34.2
92,철근콘크리트,2,2,12,7,36.1
93,벽돌조,2,1,13,2,24.5
94,목구조,1,0,0,6,28.1
95,목구조,1,2,14,2,39.6
96,철근콘크리트,1,0,7,3,21.7
97,벽돌조,2,3,4,4,22.6
98,철근콘크리트,1,1,5,6,32.0
99,철근콘크리트,3,2,8,4,24.2
100,목구조,3,1,6,5,41.0
101,목구조,1,3,0,5,38.1
102,목구조,2,3,15,3,38.3
103,목구조,2,2,15,7,29.3
104,벽돌조,2,0,8,8,24.9
105,목구조,1,3,13,1,20.4
106,목구조,2,1,3,8,34.2
107,벽돌조,3,2,11,6,39.9
108,목구조,2,2,6,9,33.3
109,목구조,2,0,13,5,40.5
110,철근콘크리트,2,0,14,6,41.2
111,철근콘크리트,1,0,7,9,33.1
112,목구조,3,1,12,1,29.4
113,목구조,2,1,15,4,29.6
114,철근콘크리트,1,2,8,6,28.7
115,벽돌조,1,2,12,2,28.9
116,철근콘크리트,2,3,9,2,40.0
117,철근콘크리트,3,1,10,6,35.1
118,목구조,3,2,9,5,47.9
119,목구조,1,3,0,3,31.1
120,철근콘크리트,1,3,8,3,19.3
121,,,1,9,1,45.3
122,목구조,2,1,11,5,33.5
123,철근콘크리트,1,3,4,2,27.6
124,철근콘크리트,2,1,15,10,27.0
125,목구조,2,0,7,2,23.0
126,철근콘크리트,1,3,3,5,38.1
127,벽돌조,,3,2,9,24.2
128,벽돌조,2,3,9,1,34.1
129,목구조,1,3,7,5,30.9
130,목구조,2,0,1,8,39.0
131,철근콘크리트,2,2,14,7,35.8
132,목구조,2,0,9,9,24.8
133,벽돌조,2,2,8,10,22.7
134,목구조,3,3,10,9,24.0
135,철근콘크리트,2,3,10,7,37.7
136,철근콘크리트,3,0,7,7,30.8
137,벽돌조,2,2,4,8,38.4
138,철근콘크리트,1,3,5,6,26.0
139,철근콘크리트,1,1,5,9,28.4
140,목구조,2,1,7,5,38.6
141,벽돌조,2,1,4,2,24.2
142,철근콘크리트,3,1,3,10,40.1
143,철근콘크리트,2,2,12,4,27.9
144,벽돌조,2,0,5,10,32.6
145,철근콘크리트,1,3,7,9,36.8
146,벽돌조,2,1,7,1,26.1
147,벽돌조,2,1,11,9,25.4
148,벽돌조,2,3,0,3,45.8
149,철근콘크리트,1,2,2,2,25.1
150,벽돌조,2,2,0,6,36.1
151,목구조,3,0,7,1,22.8
152,철근콘크리트,2,1,7,1,34.4
153,철근콘크리트,3,1,14,1,32.8
154,철근콘크리트,1,0,10,10,16.8
155,목구조,2,3,5,1,33.1
156,벽돌조,3,3,10,1,42.4
157,벽돌조,2,3,8,9,25.6
158,목구조,3,1,3,8,42.1
159,벽돌조,2,1,8,1,29.0
160,목구조,3,1,8,7,31.6
161,목구조,3,3,1,9,36.9
162,목구조,2,3,3,9,40.5
163,철근콘크리트,2,2,0,1,37.4
164,철근콘크리트,3,1,15,7,38.1
165,벽돌조,1,1,4,4,35.1
166,벽돌조,2,3,3,10,45.5
167,목구조,2,1,0,5,39.5
168,목구조,2,2,6,9,24.8
169,벽돌조,2,2,1,3,30.5
170,목구조,1,1,8,10,28.2
171,목구조,1,3,15,7,38.0
172,벽돌조,2,1,3,8,28.3
173,벽돌조,1,2,0,5,42.0
174,목구조,3,3,5,9,33.1
175,벽돌조,3,2,5,7,31.7
176,목구조,2,2,4,5,32.4
177,벽돌조,1,3,6,5,28.7
178,목구조,2,2,8,6,36.9
179,목구조,2,1,2,3,27.3
180,벽돌조,2,3,13,9,36.9
181,목구조,2,2,9,8,45.4
182,벽돌조,2,1,15,3,34.2
183,목구조,2,2,12,8,37.6
184,벽돌조,2,2,4,9,28.1
185,목구조,,2,14,9,41.5
186,벽돌조,3,0,9,7,30.1
187,철근콘크리트,2,3,13,3,31.2
188,철근콘크리트,2,1,11,6,42.9
189,철근콘크리트,2,1,6,10,41.6
190,철근콘크리트,1,0,0,8,44.4
191,벽돌조,3,3,8,5,36.7
192,벽돌조,1,1,9,4,34.3
193,벽돌조,2,1,10,2,39.3
194,목구조,1,0,6,10,47.0
195,벽돌조,2,0,14,7,23.9
196,벽돌조,1,1,7,7,26.5
197,철근콘크리트,2,1,11,5,43.9
198,목구조,2,2,11,1,43.3
199,목구조,1,0,2,8,25.0
200,,2,0,4,1,23.1
201,철근콘크리트,2,1,12,7,24.3
202,목구조,2,3,9,9,32.3
203,벽돌조,1,2,6,1,25.3
204,벽돌조,1,1,10,7,38.9
205,목구조,2,1,11,1,28.5
206,목구조,2,2,15,9,42.6
207,철근콘크리트,2,3,1,4,27.3
208,벽돌조,2,0,2,1,31.9
209,벽돌조,2,3,10,6,22.9
210,철근콘크리트,1,2,5,9,33.6
211,벽돌조,1,3,2,3,32.7
212,철근콘크리트,1,1,2,3,38.4
213,목구조,3,1,2,9,33.4
214,목구조,2,1,3,2,25.5
215,목구조,1,1,6,3,26.9
216,철근콘크리트,2,2,12,10,25.7
217,목구조,1,2,12,1,35.1
218,목구조,2,3,9,9,25.3
219,목구조,1,0,12,1,23.9
220,철근콘크리트,2,3,8,2,20.1
221,벽돌조,3,0,8,4,34.7
222,철근콘크리트,2,2,6,5,27.8
223,벽돌조,3,2,9,8,42.0
224,철근콘크리트,1,0,13,7,27.2
225,벽돌조,3,2,5,10,43.8
226,목구조,1,1,0,6,20.8
227,목구조,2,0,1,7,39.2
228,,2,2,4,1,28.4
229,벽돌조,2,0,9,9,47.3
230,철근콘크리트,2,1,6,2,16.3
231,목구조,2,0,6,2,40.5
232,,1,0,14,10,24.6
233,벽돌조,2,2,12,8,38.3
234,벽돌조,2,0,14,3,36.2
235,목구조,2,2,14,4,37.7
236,목구조,2,1,15,1,43.3
237,목구조,3,,1,2,26.1
238,벽돌조,3,0,4,1,32.0
239,철근콘크리트,1,0,10,1,36.6
240,철근콘크리트,1,0,14,1,24.1
241,철근콘크리트,2,1,4,8,43.2
242,벽돌조,2,2,6,9,27.6
243,철근콘크리트,2,1,5,2,21.4
244,목구조,2,2,10,5,33.2
245,벽돌조,3,1,3,3,26.4
246,철근콘크리트,1,3,11,6,44.3
247,철근콘크리트,1,2,9,10,33.7
248,벽돌조,1,0,9,4,16.1
249,목구조,1,3,5,5,35.6
250,,1,1,8,7,18.2
251,목구조,2,1,0,2,42.4
252,철근콘크리트,1,1,0,10,40.7
253,철근콘크리트,2,3,5,5,36.9
254,목구조,3,2,10,10,36.7
255,벽돌조,2,1,12,10,42.6
256,철근콘크리트,1,2,14,8,31.8
257,철근콘크리트,1,0,2,10,27.4
258,목구조,2,2,3,6,35.5
259,철근콘크리트,1,2,6,10,31.5
260,벽돌조,2,1,13,8,17.2
261,목구조,2,1,7,9,37.1
262,벽돌조,2,2,4,10,27.9
263,철근콘크리트,3,3,7,4,37.5
264,철근콘크리트,2,1,15,6,32.2
265,목구조,2,3,7,10,33.8
266,벽돌조,1,3,2,3,35.0
267,목구조,1,3,15,4,40.8
268,목구조,2,,15,10,43.1
269,벽돌조,2,2,9,9,30.2
270,철근콘크리트,,2,10,9,37.0
271,철근콘크리트,1,2,15,1,31.4
272,,2,3,3,1,32.3
273,목구조,2,1,8,9,28.6
274,벽돌조,2,1,0,2,25.9
275,목구조,1,1,10,6,30.7
276,목구조,2,0,4,1,34.7
277,철근콘크리트,2,3,8,3,44.0
278,철근콘크리트,2,3,8,2,38.8
279,철근콘크리트,1,2,8,7,35.8
280,벽돌조,1,0,7,6,17.6
281,철근콘크리트,2,2,14,4,28.7
282,,1,0,1,10,14.2
283,목구조,2,3,8,8,35.1
284,철근콘크리트,2,2,3,4,27.3
285,철근콘크리트,2,1,1,4,25.5
286,목구조,3,3,11,1,34.0
287,벽돌조,1,2,0,3,23.1
288,벽돌조,3,1,2,9,47.4
289,철근콘크리트,1,2,2,10,26.2
290,목구조,3,2,0,3,34.5
291,철근콘크리트,1,0,8,7,40.0
292,벽돌조,1,2,7,9,29.0
293,철근콘크리트,2,0,3,10,39.2
294,목구조,3,1,5,8,32.0
295,목구조,2,1,2,9,42.7
296,목구조,2,1,4,6,31.2
297,벽돌조,2,1,7,7,29.6
298,철근콘크리트,2,3,1,6,28.6
299,목구조,2,1,1,10,42.1
300,철근콘크리트,2,0,6,3,36.4
301,철근콘크리트,1,3,14,3,20.5
302,철근콘크리트,1,1,2,3,23.3
303,목구조,2,1,8,4,40.5
304,목구조,2,1,0,6,38.4
305,벽돌조,2,0,7,7,29.2
306,목구조,2,2,11,8,35.4
307,목구조,3,,7,10,35.1
308,철근콘크리트,2,3,5,4,26.5
309,철근콘크리트,2,1,11,1,33.1
310,목구조,1,2,0,1,23.9
311,벽돌조,2,3,15,6,27.6
312,목구조,2,2,11,10,37.5
313,철근콘크리트,2,1,1,2,36.0
314,벽돌조,1,2,1,6,31.8
315,목구조,2,0,15,6,31.0
316,철근콘크리트,3,3,12,1,36.6
317,철근콘크리트,2,1,6,5,26.9
318,벽돌조,2,3,6,5,39.5
319,목구조,2,1,15,4,33.4
320,목구조,3,1,0,10,39.3
321,벽돌조,1,0,8,10,21.9
322,목구조,3,0,15,10,35.1
323,벽돌조,3,3,11,4,34.7
324,벽돌조,2,2,7,7,30.7
325,목구조,2,3,7,8,53.4
326,벽돌조,3,0,10,6,27.4
327,목구조,3,0,15,3,22.8
328,벽돌조,2,1,15,8,39.6
329,철근콘크리트,2,3,7,4,27.7
330,목구조,1,,10,6,35.7
331,목구조,2,0,5,1,30.9
332,철근콘크리트,2,2,0,3,25.3
333,벽돌조,1,1,6,1,31.2
334,벽돌조,2,3,8,10,36.8
335,목구조,,2,9,9,38.1
336,벽돌조,2,1,13,5,32.2
337,목구조,,1,9,7,44.1
338,벽돌조,2,1,15,1,22.2
339,벽돌조,3,,5,1,22.7
340,목구조,2,3,5,4,38.1
341,철근콘크리트,2,3,9,1,29.1
342,벽돌조,,3,10,8,33.8
343,목구조,3,1,1,10,40.4
344,철근콘크리트,2,3,4,10,44.2
345,벽돌조,2,2,2,7,28.3
346,,1,0,1,6,25.4
347,목구조,1,3,5,8,31.5
348,벽돌조,1,2,6,3,28.3
349,목구조,1,1,12,10,31.2
350,목구조,2,3,4,9,37.1
351,목구조,1,2,10,6,24.9
352,철근콘크리트,1,0,1,6,27.7
353,철근콘크리트,1,3,10,10,34.0
354,벽돌조,2,3,15,7,47.9
355,목구조,2,2,5,4,30.4
356,철근콘크리트,1,0,10,2,29.4
357,철근콘크리트,1,0,0,5,34.2
358,벽돌조,3,1,7,1,31.5
359,목구조,2,2,8,8,28.9
360,벽돌조,2,1,15,4,37.4
361,벽돌조,2,2,15,3,22.6
362,철근콘크리트,2,1,12,3,35.3
363,벽돌조,2,3,0,6,37.0
364,벽돌조,3,2,8,2,41.3
365,철근콘크리트,2,0,10,1,27.8
366,목구조,2,3,14,9,37.7
367,벽돌조,2,2,4,3,29.9
368,철근콘크리트,2,1,0,7,40.9
369,벽돌조,2,0,1,8,25.0
370,철근콘크리트,1,3,4,7,36.0
371,철근콘크리트,,,9,5,39.6
372,목구조,2,0,7,6,27.2
373,철근콘크리트,2,1,9,3,26.4
374,벽돌조,1,3,0,2,43.0
375,철근콘크리트,2,3,8,1,29.8
376,철근콘크리트,2,0,6,8,29.8
377,철근콘크리트,1,0,3,3,20.5
378,벽돌조,2,2,4,9,31.8
379,벽돌조,2,3,12,3,25.1
380,목구조,1,3,3,9,23.5
381,철근콘크리트,2,1,9,9,27.2
382,,1,1,9,7,23.3
383,철근콘크리트,2,2,7,9,31.1
384,철근콘크리트,2,2,15,3,39.3
385,목구조,2,2,0,1,47.3
386,목구조,1,1,10,1,18.0
387,철근콘크리트,3,3,7,2,37.2
388,벽돌조,3,3,7,4,26.6
389,목구조,2,1,4,4,39.8
390,목구조,1,3,13,2,21.4
391,철근콘크리트,2,1,8,4,28.4
392,벽돌조,2,0,14,2,33.0
393,철근콘크리트,2,1,4,4,22.1
394,철근콘크리트,1,,14,7,31.6
395,벽돌조,2,1,2,3,27.2
396,,2,1,8,8,36.6
397,벽돌조,1,0,14,8,21.0
398,벽돌조,1,2,12,6,20.3
399,벽돌조,2,0,5,7,24.9
400,벽돌조,3,1,12,5,33.6
401,철근콘크리트,3,2,3,1,41.6
402,벽돌조,3,2,14,8,49.4
403,벽돌조,1,1,7,9,21.2
404,,1,0,11,3,28.2
405,철근콘크리트,1,1,7,4,31.4
406,철근콘크리트,2,3,14,10,38.8
407,목구조,2,0,13,2,36.5
408,목구조,2,1,7,6,26.8
409,목구조,1,1,12,4,29.2
410,목구조,2,2,4,7,32.0
411,벽돌조,2,3,6,3,21.3
412,목구조,2,,4,10,39.6
413,목구조,2,2,0,3,30.7
414,철근콘크리트,2,2,4,2,36.3
415,,1,3,11,9,34.2
416,,1,2,9,2,34.2
417,목구조,1,1,12,4,40.3
418,벽돌조,3,3,2,1,42.3
419,목구조,1,0,10,2,25.9
420,목구조,2,1,0,10,30.7
421,벽돌조,3,2,3,5,27.8
422,벽돌조,2,1,1,3,19.6
423,목구조,1,2,12,10,31.4
424,목구조,2,3,14,9,36.3
425,철근콘크리트,2,2,11,1,21.8
426,목구조,2,2,12,4,31.8
427,목구조,2,3,8,5,34.0
428,목구조,2,0,8,8,46.4
429,벽돌조,2,2,11,4,17.2
430,벽돌조,2,0,9,6,40.9
431,벽돌조,3,2,14,9,32.7
432,목구조,3,2,7,10,45.1
433,철근콘크리트,2,0,10,3,31.1
434,목구조,1,3,1,5,22.5
435,목구조,2,3,15,8,52.6
436,벽돌조,2,0,11,1,41.1
437,목구조,2,0,0,3,20.9
438,벽돌조,1,,6,5,33.4
439,목구조,1,2,7,3,36.2
440,벽돌조,1,0,1,7,26.7
441,목구조,2,0,2,1,40.3
442,목구조,3,2,15,8,28.3
443,벽돌조,2,,6,3,19.9
444,벽돌조,3,3,1,1,42.6
445,철근콘크리트,3,2,3,2,29.0
446,목구조,2,1,2,2,40.1
447,벽돌조,2,0,4,4,15.4
448,벽돌조,1,2,0,5,24.1
449,벽돌조,2,0,9,1,24.8
450,목구조,1,2,14,4,27.8
451,,2,3,8,8,26.5
452,벽돌조,2,1,3,5,31.1
453,목구조,2,1,3,5,39.1
454,철근콘크리트,2,0,11,7,31.0
455,벽돌조,1,3,0,3,42.0
456,철근콘크리트,3,1,1,2,37.7
457,목구조,2,3,12,7,31.4
458,철근콘크리트,3,1,2,1,39.0
459,벽돌조,3,3,9,6,33.1
460,벽돌조,2,2,13,9,43.6
461,벽돌조,2,0,1,10,34.6
462,목구조,1,2,5,6,29.1
463,목구조,2,3,12,6,35.6
464,벽돌조,1,0,9,10,21.4
465,목구조,2,2,1,5,29.7
466,철근콘크리트,2,2,13,8,28.5
467,벽돌조,1,3,0,1,43.0
468,철근콘크리트,1,2,9,3,38.6
469,목구조,1,1,14,7,25.5
470,철근콘크리트,2,3,5,6,42.6
471,벽돌조,3,1,9,1,36.0
472,벽돌조,2,3,0,2,27.4
473,철근콘크리트,2,2,13,3,35.1
474,벽돌조,3,0,9,5,33.0
475,철근콘크리트,2,0,10,2,29.2
476,철근콘크리트,1,2,2,1,25.0
477,벽돌조,1,0,1,4,32.3
478,철근콘크리트,2,3,6,1,33.5
479,목구조,1,3,5,10,25.6
480,목구조,1,0,14,5,32.9
481,목구조,3,,14,1,34.3
482,목구조,2,0,3,4,36.0
483,벽돌조,2,1,6,8,28.7
484,목구조,1,2,9,2,40.9
485,목구조,2,2,6,6,30.9
486,벽돌조,2,1,11,10,32.3
487,목구조,2,3,5,9,27.4
488,벽돌조,1,3,11,10,28.9
489,철근콘크리트,2,1,7,3,39.7
490,,2,3,2,10,29.3
491,철근콘크리트,2,0,10,1,25.3
492,철근콘크리트,1,1,10,10,33.0
493,철근콘크리트,2,0,4,2,27.1
494,목구조,1,1,0,8,40.1
495,목구조,1,1,5,6,31.9
496,철근콘크리트,1,3,0,5,32.3
497,철근콘크리트,1,0,4,3,41.5
498,,2,3,2,7,35.9
499,벽돌조,1,0,3,1,24.7
500,벽돌조,1,0,15,8,34.7
501,철근콘크리트,1,2,15,2,38.6
502,목구조,1,2,6,8,31.8
503,철근콘크리트,1,1,7,8,31.4
504,철근콘크리트,1,2,4,4,43.2
505,목구조,2,3,11,3,38.2
506,철근콘크리트,3,2,7,4,33.6
507,벽돌조,2,1,5,10,41.2
508,철근콘크리트,2,3,1,4,28.8
509,벽돌조,1,0,8,2,39.2
510,벽돌조,3,2,3,10,34.6
511,벽돌조,2,3,3,3,34.8
512,철근콘크리트,3,0,12,5,43.2
513,목구조,2,2,10,1,29.0
514,철근콘크리트,1,,8,6,30.0
515,철근콘크리트,1,1,5,5,24.3
516,철근콘크리트,3,3,6,4,25.8
517,철근콘크리트,2,3,3,2,19.9
518,목구조,2,3,7,8,39.2
519,벽돌조,2,1,4,5,40.5
520,,3,0,14,1,19.2
521,철근콘크리트,1,2,1,3,33.8
522,목구조,2,3,6,8,23.4
523,철근콘크리트,2,2,0,10,27.6
524,목구조,2,1,0,8,33.0
525,벽돌조,1,3,9,7,30.0
526,벽돌조,3,3,2,8,33.2
527,벽돌조,2,1,5,10,45.2
528,벽돌조,2,3,11,9,20.0
529,철근콘크리트,2,1,3,8,28.8
530,목구조,1,2,4,9,27.2
531,목구조,3,2,2,3,41.5
532,벽돌조,1,2,9,3,35.7
533,철근콘크리트,2,2,2,2,35.6
534,목구조,1,1,13,5,39.7
535,목구조,1,0,12,10,24.5
536,벽돌조,2,1,8,8,23.6
537,철근콘크리트,2,2,15,2,33.3
538,벽돌조,2,,8,9,32.7
539,벽돌조,1,2,9,5,37.0
540,목구조,1,2,10,5,29.2
541,벽돌조,2,2,7,1,40.9
542,목구조,1,2,2,2,33.1
543,벽돌조,2,0,8,2,32.3
544,철근콘크리트,2,2,12,7,34.5
545,벽돌조,3,0,15,2,35.4
546,철근콘크리트,2,2,13,1,33.8
547,철근콘크리트,2,2,8,7,49.4
548,철근콘크리트,2,2,12,8,30.3
549,목구조,1,3,13,9,18.9
550,목구조,2,1,5,5,36.5
551,벽돌조,2,2,11,1,30.2
552,벽돌조,1,2,2,3,29.5
553,목구조,2,1,2,3,37.3
554,목구조,1,2,11,8,30.9
555,벽돌조,2,1,2,5,32.5
556,목구조,2,3,2,9,35.0
557,목구조,1,1,1,6,33.7
558,벽돌조,2,1,1,7,38.4
559,벽돌조,3,0,2,8,28.3
560,철근콘크리트,2,0,11,7,38.5
561,벽돌조,2,3,12,8,47.3
562,목구조,2,3,8,5,37.5
563,목구조,1,1,6,3,35.5
564,목구조,1,1,8,9,31.7
565,벽돌조,1,1,9,8,36.3
566,철근콘크리트,2,0,4,3,31.4
567,목구조,2,3,15,8,35.5
568,목구조,2,1,4,8,47.3
569,철근콘크리트,2,0,5,9,21.1
570,벽돌조,1,3,8,2,25.9
571,목구조,2,1,7,6,40.9
572,벽돌조,3,2,9,1,24.3
573,목구조,2,3,13,1,30.4
574,목구조,2,0,11,2,36.1
575,철근콘크리트,1,0,10,4,35.5
576,철근콘크리트,2,0,15,6,19.2
577,목구조,3,1,11,2,40.5
578,목구조,2,2,12,8,36.7
579,벽돌조,2,2,6,8,39.7
580,목구조,2,,7,10,51.4
581,벽돌조,2,2,7,3,25.7
582,목구조,2,2,12,9,29.5
583,철근콘크리트,2,1,5,3,23.4
584,벽돌조,1,2,0,8,44.1
585,철근콘크리트,2,1,0,4,43.9
586,철근콘크리트,1,2,9,2,33.4
587,벽돌조,3,0,5,3,37.1
588,철근콘크리트,2,3,8,3,29.9
589,벽돌조,3,0,14,1,22.4
590,벽돌조,3,2,10,1,27.3
591,철근콘크리트,2,0,1,1,18.7
592,철근콘크리트,1,0,6,7,18.5
593,목구조,,0,7,5,22.3
594,목구조,,0,15,7,28.7
595,목구조,2,3,7,5,38.6
596,철근콘크리트,2,2,2,7,28.6
597,벽돌조,1,1,6,3,21.6
598,철근콘크리트,2,1,11,4,21.7
599,목구조,2,2,7,8,38.6
600,목구조,2,2,9,7,48.3
601,철근콘크리트,2,2,3,10,40.7
602,목구조,2,1,0,9,23.5
603,목구조,1,0,13,9,36.9
604,목구조,1,0,11,5,32.9
605,철근콘크리트,2,0,9,5,33.8
606,철근콘크리트,,2,10,5,35.5
607,벽돌조,1,,14,10,34.8
608,벽돌조,3,3,1,7,38.5
609,벽돌조,2,3,8,8,29.6
610,철근콘크리트,1,1,4,1,42.8
611,철근콘크리트,,2,0,7,40.0
612,벽돌조,3,2,9,4,40.9
613,벽돌조,2,0,11,6,32.0
614,벽돌조,2,2,6,6,32.9
615,목구조,1,3,15,6,32.4
616,철근콘크리트,2,0,15,2,36.8
617,벽돌조,2,2,9,5,27.5
618,철근콘크리트,2,0,15,9,31.0
619,철근콘크리트,2,3,15,7,43.5
620,철근콘크리트,2,2,12,3,29.9
621,벽돌조,1,2,15,3,35.3
622,철근콘크리트,2,1,5,7,36.6
623,목구조,1,2,13,2,27.7
624,목구조,2,2,7,10,33.2
625,,3,0,7,2,30.7
626,목구조,1,1,5,4,29.6
627,철근콘크리트,2,2,7,4,25.9
628,목구조,1,3,5,3,30.6
629,철근콘크리트,2,0,9,7,29.3
630,목구조,1,1,15,4,27.7
631,철근콘크리트,3,1,3,10,40.1
632,목구조,2,2,9,1,24.8
633,철근콘크리트,2,1,12,2,32.3
634,벽돌조,2,2,8,3,23.6
635,철근콘크리트,1,0,10,2,19.5
636,철근콘크리트,2,1,5,8,35.1
637,벽돌조,2,0,2,8,30.9
638,철근콘크리트,2,0,7,2,24.7
639,벽돌조,1,1,3,4,25.1
640,철근콘크리트,3,0,5,6,29.8
641,철근콘크리트,3,1,4,6,47.0
642,철근콘크리트,2,3,2,7,37.4
643,목구조,2,0,3,1,29.8
644,목구조,1,0,8,6,35.4
645,벽돌조,1,1,4,10,38.7
646,,2,1,0,4,34.5
647,목구조,2,,3,7,39.3
648,목구조,1,3,6,3,43.8
649,목구조,1,2,13,2,36.5
650,철근콘크리트,2,1,6,8,39.5
651,철근콘크리트,2,1,0,10,24.0
652,철근콘크리트,1,1,10,7,31.0
653,벽돌조,2,3,15,7,32.5
654,벽돌조,2,1,9,6,20.5
655,벽돌조,2,2,7,2,30.4
656,목구조,2,1,10,2,44.5
657,목구조,1,,8,3,35.6
658,,1,1,2,10,30.9
659,철근콘크리트,2,0,4,6,26.6
660,철근콘크리트,3,0,10,8,28.8
661,벽돌조,2,3,14,2,40.7
662,벽돌조,3,1,15,5,41.4
663,벽돌조,2,0,3,2,28.9
664,목구조,1,2,9,9,40.5
665,철근콘크리트,1,1,7,4,31.8
666,벽돌조,1,2,8,6,31.7
667,벽돌조,1,2,15,8,31.5
668,벽돌조,2,3,12,7,43.1
669,목구조,3,1,15,7,40.6
670,철근콘크리트,3,1,8,10,46.3
671,벽돌조,2,0,11,10,29.2
672,목구조,3,1,3,9,35.2
673,철근콘크리트,3,0,9,3,27.6
674,목구조,2,1,0,1,25.0
675,,3,3,13,8,30.5
676,목구조,1,2,7,8,32.4
677,목구조,1,0,8,2,28.1
678,,2,3,7,6,32.7
679,철근콘크리트,2,3,13,8,31.4
680,철근콘크리트,2,2,15,2,39.4
681,철근콘크리트,1,1,14,4,36.9
682,철근콘크리트,1,1,9,5,13.8
683,목구조,2,1,13,3,28.2
684,목구조,1,1,10,6,28.4
685,철근콘크리트,1,0,15,5,37.5
686,벽돌조,2,0,8,4,31.8
687,철근콘크리트,2,0,0,3,29.7
688,철근콘크리트,2,2,14,3,37.6
689,목구조,3,1,13,3,34.7
690,벽돌조,,3,4,7,27.1
691,,1,3,0,5,27.3
692,목구조,2,2,12,10,48.8
693,목구조,1,2,9,2,33.7
694,철근콘크리트,2,1,2,9,26.6
695,목구조,3,3,13,1,25.9
696,목구조,2,0,7,6,40.4
697,철근콘크리트,2,0,13,4,24.9
698,벽돌조,1,0,12,10,26.8
699,철근콘크리트,1,2,9,3,21.9
700,철근콘크리트,2,2,10,7,21.1
701,벽돌조,1,,5,7,35.2
702,벽돌조,1,2,7,7,19.1
703,벽돌조,3,1,13,1,23.9
704,목구조,1,1,4,8,37.9
705,목구조,3,1,6,10,36.7
