study_hours_week,attend_percent,extra_class,track,midterm_point,homework_avg,online_lecture_count,club_join,final_point
33,77.7,없음,자연,70.7,81.7,0,없음,57.4
7,88.7,없음,어문,33.3,90.2,17,있음,37.3
2,48.0,있음,어문,13.3,72.0,47,있음,22.8
22,100.0,없음,자연,39.3,88.1,45,,52.6
20,72.3,없음,예술,70.6,67.8,44,없음,68.5
33,85.1,없음,자연,75.6,62.9,20,있음,73.0
41,71.5,없음,어문,67.0,64.7,5,있음,63.9
11,62.6,없음,자연,26.0,82.7,41,있음,44.1
26,81.2,없음,공학,63.5,92.3,35,없음,47.9
13,48.0,없음,사회,38.3,77.5,47,없음,53.5
3,82.9,없음,예술,18.1,75.9,46,있음,29.4
27,91.8,없음,사회,65.9,90.4,7,있음,71.7
20,100.0,없음,사회,70.5,92.1,12,,75.2
11,87.7,있음,예술,43.4,82.0,29,있음,48.7
14,51.1,있음,사회,40.0,58.2,17,없음,38.0
18,100.0,없음,예술,62.3,85.8,32,있음,53.3
6,83.6,있음,예술,23.8,76.4,32,있음,30.6
12,71.0,없음,자연,47.4,74.8,9,있음,36.0
5,71.7,있음,어문,24.5,71.7,7,없음,46.5
17,88.3,없음,자연,43.5,68.5,15,없음,65.6
8,71.0,있음,예술,43.1,71.0,8,없음,34.0
5,63.6,없음,예술,44.8,71.5,11,없음,46.1
37,65.3,없음,예술,55.1,81.3,51,있음,65.1
37,85.7,없음,자연,,81.4,38,없음,54.5
22,84.4,있음,사회,51.0,80.6,34,없음,60.8
26,92.6,없음,어문,70.1,61.4,6,없음,51.5
21,76.3,있음,예술,75.0,90.2,28,없음,63.8
18,56.1,없음,어문,35.0,69.9,23,없음,32.7
3,96.8,없음,예술,38.3,91.4,11,있음,42.1
37,96.3,있음,공학,73.7,83.8,34,있음,56.9
20,86.0,없음,예술,38.7,80.8,26,있음,32.2
33,51.8,없음,예술,69.5,87.8,18,없음,58.7
11,96.2,없음,어문,0.5,73.9,17,,31.8
17,82.0,없음,어문,28.2,74.7,42,없음,49.9
41,100.0,있음,사회,64.8,82.3,25,없음,63.5
24,86.3,있음,어문,67.6,83.7,3,있음,75.3
29,82.6,없음,사회,77.3,84.4,7,없음,58.2
28,79.0,있음,예술,59.6,75.0,47,있음,66.9
10,67.2,없음,예술,44.0,90.3,3,있음,43.2
19,70.8,없음,공학,47.5,87.8,41,없음,55.3
14,70.0,없음,사회,16.9,71.3,21,있음,38.0
13,80.6,없음,자연,46.7,83.9,8,없음,55.0
35,81.8,있음,예술,,74.1,29,없음,84.4
20,56.5,없음,어문,48.1,69.2,35,있음,59.0
5,100.0,없음,어문,21.6,66.3,7,있음,50.7
24,52.3,없음,사회,54.3,58.0,28,있음,49.5
23,62.6,없음,어문,58.4,74.0,19,있음,56.3
14,100.0,없음,자연,68.0,80.7,8,없음,59.4
7,70.2,없음,공학,24.9,68.6,14,없음,29.2
8,79.9,있음,공학,30.7,58.0,30,,51.5
25,66.8,없음,예술,36.9,63.3,26,,39.9
37,77.7,없음,사회,73.3,78.7,31,있음,61.2
13,57.9,있음,어문,60.3,65.5,24,있음,62.2
17,72.1,없음,공학,35.1,87.5,50,없음,38.2
9,82.0,없음,예술,29.7,86.1,35,,27.8
11,91.5,없음,공학,36.9,81.0,10,있음,51.3
23,71.8,없음,어문,61.3,88.4,32,없음,51.0
25,76.3,없음,사회,58.0,95.2,3,있음,55.1
9,68.6,있음,사회,30.9,66.4,24,없음,33.9
9,100.0,없음,공학,25.9,58.9,46,있음,30.5
2,100.0,없음,예술,27.7,93.8,4,없음,38.3
10,71.3,있음,자연,,83.7,0,,46.6
40,83.8,없음,예술,47.8,69.7,15,있음,56.3
14,63.4,있음,어문,49.7,68.0,4,있음,38.1
15,99.5,있음,사회,34.6,92.1,20,없음,50.4
30,64.0,없음,자연,67.9,89.9,35,있음,66.7
13,58.7,있음,예술,29.1,77.3,19,없음,38.0
8,91.6,없음,자연,42.2,67.7,45,없음,50.0
30,59.2,없음,예술,55.8,81.1,18,없음,61.7
30,82.8,있음,예술,81.0,72.7,7,있음,62.1
28,58.3,없음,사회,53.2,80.6,40,있음,44.7
18,77.7,없음,공학,48.1,75.5,11,없음,60.6
28,74.8,없음,사회,61.7,87.1,33,있음,62.3
14,48.0,없음,자연,21.6,89.4,7,있음,40.4
35,91.8,없음,예술,75.7,80.3,4,있음,72.1
17,88.4,없음,공학,75.8,68.7,15,없음,57.8
16,96.2,없음,공학,48.5,88.5,5,있음,45.6
30,59.3,없음,예술,71.1,70.3,38,있음,57.8
20,71.9,없음,자연,44.0,58.0,32,없음,59.3
13,68.2,없음,어문,21.6,76.4,30,없음,24.8
3,81.7,없음,사회,19.2,73.8,4,있음,38.1
22,81.6,있음,어문,52.0,91.9,44,없음,59.4
29,73.3,없음,자연,51.1,76.9,1,있음,50.4
11,62.1,없음,예술,41.9,74.4,51,없음,58.8
2,81.0,있음,예술,35.1,69.2,9,없음,56.1
34,50.1,없음,어문,80.2,100.0,48,없음,70.8
11,89.2,없음,사회,38.7,75.0,44,있음,58.7
12,72.7,있음,사회,43.9,76.0,29,있음,49.4
27,80.5,없음,예술,57.4,71.4,47,있음,45.7
20,49.5,없음,예술,,99.5,12,없음,55.4
22,100.0,없음,자연,,83.5,35,없음,60.1
16,77.8,없음,공학,26.0,79.2,34,없음,36.8
8,77.3,없음,공학,16.5,64.4,49,없음,29.9
38,75.3,있음,사회,81.7,86.4,19,있음,58.3
38,61.7,없음,자연,57.7,75.0,12,없음,51.0
38,77.0,없음,자연,83.0,58.0,45,있음,65.7
23,85.8,없음,예술,44.8,76.4,31,없음,46.6
22,63.6,있음,예술,56.4,87.4,23,있음,56.0
14,67.6,없음,공학,,70.9,22,있음,44.2
15,85.5,없음,공학,37.2,82.4,36,있음,52.1
2,58.7,없음,사회,20.2,72.1,34,없음,23.3
30,71.4,없음,사회,57.3,71.9,10,있음,56.1
1,64.8,없음,어문,22.7,86.9,21,있음,47.7
19,68.9,없음,어문,48.9,78.2,38,없음,45.2
33,75.4,없음,자연,81.2,74.8,47,없음,70.4
5,83.7,없음,자연,13.2,73.6,12,없음,47.3
8,76.3,없음,어문,22.8,72.6,4,없음,25.0
20,78.4,없음,자연,73.1,78.7,37,있음,50.0
1,74.6,없음,공학,45.8,83.3,49,없음,59.1
30,79.1,없음,어문,58.8,58.0,15,있음,66.4
33,70.5,없음,공학,76.3,83.0,37,없음,68.4
40,63.2,있음,어문,90.5,72.1,19,없음,82.4
12,60.0,있음,어문,54.9,86.0,41,있음,56.1
32,78.8,없음,사회,72.0,71.9,45,없음,61.6
11,87.3,없음,예술,69.2,79.2,47,있음,52.3
19,83.5,있음,어문,59.9,73.1,35,없음,64.8
1,100.0,없음,어문,19.9,84.4,7,있음,40.7
4,69.7,없음,어문,17.6,81.1,9,없음,23.4
36,81.5,없음,어문,100.0,97.4,38,있음,82.8
39,70.7,있음,어문,85.4,60.7,39,없음,68.8
38,82.8,없음,예술,92.5,74.8,28,있음,66.6
21,63.6,없음,사회,56.4,81.5,25,있음,65.9
21,80.2,없음,공학,52.8,73.3,2,있음,47.4
41,80.5,있음,공학,85.9,90.1,47,없음,63.1
35,95.4,없음,사회,65.8,87.5,50,있음,70.7
35,51.1,있음,어문,82.5,80.8,38,없음,82.1
35,82.4,있음,공학,76.1,95.8,0,없음,63.2
29,95.4,없음,사회,65.4,68.4,12,있음,61.3
39,77.6,없음,공학,100.0,79.0,51,없음,77.1
33,81.6,없음,어문,50.1,66.7,45,,56.9
23,86.6,있음,공학,71.0,100.0,38,있음,48.2
3,48.0,없음,어문,25.9,100.0,22,없음,41.1
11,69.9,없음,사회,25.1,58.0,47,없음,36.4
39,70.0,있음,사회,93.8,94.9,49,없음,79.5
16,72.0,없음,예술,45.4,97.3,11,없음,51.9
31,67.8,없음,예술,66.0,84.5,43,없음,63.2
22,95.6,없음,자연,58.1,61.5,49,없음,47.5
31,49.5,있음,어문,81.9,94.5,39,없음,72.8
6,79.0,없음,공학,12.6,85.5,38,있음,29.0
15,99.9,없음,공학,21.4,76.6,33,있음,34.1
1,77.9,없음,예술,35.9,72.9,11,있음,46.0
12,92.1,없음,자연,63.6,78.6,47,있음,75.0
1,83.1,없음,공학,27.8,75.3,15,있음,50.1
12,92.9,있음,사회,35.4,74.1,31,있음,57.2
21,92.0,없음,예술,85.7,79.8,9,없음,67.5
38,86.8,없음,공학,44.6,84.0,8,없음,53.8
37,76.2,있음,어문,73.8,65.7,26,없음,63.9
39,59.1,없음,공학,66.3,76.1,11,없음,67.1
26,81.8,있음,자연,57.8,83.7,41,없음,62.6
30,61.5,없음,어문,,70.3,39,있음,66.7
18,91.5,없음,사회,,66.4,34,있음,49.2
24,64.9,없음,사회,54.3,88.7,25,없음,49.6
4,96.6,없음,어문,48.9,73.2,19,있음,46.5
10,95.2,없음,어문,47.7,85.0,19,있음,45.1
14,80.9,있음,사회,44.9,69.3,37,없음,54.5
22,54.1,없음,어문,40.8,83.8,3,없음,58.7
16,74.6,없음,어문,38.2,78.1,45,있음,40.9
11,56.1,없음,어문,20.1,74.4,40,있음,24.5
4,73.6,있음,공학,42.6,78.4,4,없음,36.1
5,65.9,없음,공학,27.3,87.4,34,없음,46.5
14,68.4,없음,공학,,85.6,5,있음,58.3
40,59.9,없음,자연,59.8,79.0,40,있음,75.7
20,88.2,없음,어문,46.9,78.6,27,있음,65.3
28,48.0,없음,사회,70.9,76.3,19,없음,63.1
37,66.1,없음,자연,72.4,82.4,3,없음,64.5
9,77.6,없음,공학,41.8,84.4,15,없음,51.8
19,92.4,있음,예술,,66.9,44,없음,40.2
6,60.6,없음,공학,23.4,81.7,49,있음,39.4
16,99.1,없음,어문,54.2,75.7,26,있음,47.6
8,66.4,없음,어문,30.2,88.3,3,없음,29.4
30,53.9,있음,공학,75.0,58.0,15,있음,63.6
36,63.2,있음,예술,100.0,83.0,49,없음,88.6
28,68.8,있음,자연,70.5,86.8,14,없음,48.2
3,82.4,있음,공학,7.5,72.8,51,있음,36.8
22,71.1,없음,예술,57.3,100.0,38,있음,67.1
20,63.5,없음,예술,40.1,89.0,2,있음,56.8
6,69.1,있음,어문,22.1,60.9,1,있음,34.9
19,85.7,없음,공학,48.5,81.2,2,없음,56.1
10,60.4,있음,자연,21.5,91.4,50,없음,26.1
24,69.7,없음,사회,53.0,58.0,25,있음,53.2
34,95.0,없음,자연,96.5,100.0,25,있음,68.9
1,82.4,있음,사회,37.0,66.7,42,없음,48.4
8,78.1,없음,예술,38.3,88.5,8,없음,42.9
19,48.0,있음,공학,49.2,80.3,48,있음,63.0
34,88.6,없음,사회,66.8,69.9,18,있음,50.4
13,62.9,없음,사회,37.2,62.6,33,없음,36.8
15,50.0,없음,어문,39.9,79.0,27,없음,39.3
7,78.4,없음,자연,19.7,83.1,10,,29.9
33,100.0,있음,공학,89.9,85.8,22,있음,52.1
4,68.4,있음,사회,26.4,75.6,50,있음,29.5
10,68.2,없음,어문,39.0,79.7,44,,34.0
1,74.6,없음,사회,26.5,77.6,18,없음,32.1
40,90.7,없음,어문,95.7,78.4,12,없음,70.9
41,91.2,없음,사회,,75.8,12,있음,67.2
30,95.1,있음,공학,72.3,87.5,37,없음,65.5
29,60.8,있음,자연,55.9,81.2,25,없음,55.4
3,85.4,없음,예술,19.5,78.7,10,없음,46.9
1,87.8,없음,자연,9.1,65.1,47,없음,12.2
39,48.0,있음,공학,91.2,82.2,28,없음,59.1
9,54.9,없음,자연,38.5,62.8,36,있음,42.3
33,49.8,없음,자연,34.2,80.4,47,있음,46.7
13,68.9,없음,예술,42.8,62.7,7,없음,41.7
25,85.6,있음,어문,62.3,73.8,15,있음,59.2
34,65.8,없음,예술,74.4,71.0,39,있음,64.2
6,77.2,없음,공학,19.9,79.7,40,없음,29.1
24,71.8,없음,공학,60.2,92.2,23,있음,69.5
1,76.3,없음,자연,10.8,70.8,27,있음,47.2
14,75.6,없음,어문,30.9,72.5,17,없음,27.2
17,64.4,있음,어문,53.4,100.0,26,있음,42.6
29,92.4,없음,예술,59.4,74.4,14,없음,62.0
15,90.3,없음,공학,82.4,92.7,29,없음,65.8
27,62.0,없음,예술,70.0,73.8,20,있음,58.8
11,53.0,없음,자연,16.8,73.3,22,있음,36.0
38,67.7,없음,공학,65.0,92.8,16,없음,56.9
16,92.9,없음,사회,39.9,100.0,13,없음,53.7
6,78.8,없음,자연,31.2,62.2,33,없음,39.4
19,100.0,없음,공학,72.5,74.6,13,있음,53.4
41,66.0,없음,공학,90.7,90.9,30,없음,74.2
24,75.8,있음,자연,42.2,75.6,12,없음,41.9
1,91.0,있음,예술,25.7,87.5,22,있음,52.5
17,60.4,없음,사회,15.8,85.3,30,있음,27.8
19,99.0,없음,예술,73.4,83.9,34,없음,80.1
28,65.7,없음,사회,82.9,70.4,4,있음,68.5
21,75.2,있음,어문,46.4,97.1,33,없음,62.3
10,85.1,없음,자연,39.0,76.0,23,있음,51.1
3,88.0,없음,사회,41.5,75.5,8,있음,46.6
11,75.5,없음,공학,40.1,82.9,38,없음,17.7
38,67.5,없음,자연,,86.3,35,있음,69.9
40,98.5,없음,사회,79.8,94.7,48,없음,63.3
5,83.6,없음,공학,33.3,79.4,33,있음,40.2
13,68.9,있음,사회,,78.4,22,없음,53.4
31,95.3,있음,공학,65.0,75.5,0,있음,59.2
6,67.3,없음,자연,16.6,78.5,51,있음,24.6
13,88.3,없음,예술,36.2,76.1,24,없음,48.0
35,48.0,없음,사회,40.7,90.7,13,없음,55.9
4,54.6,없음,자연,,79.3,39,있음,20.0
4,62.3,없음,사회,40.2,74.3,39,,44.7
23,80.9,있음,어문,75.4,100.0,18,없음,75.9
5,79.8,없음,어문,41.3,92.8,30,없음,41.5
11,67.2,없음,예술,48.4,85.4,30,없음,42.5
25,66.1,없음,어문,45.2,60.7,40,있음,58.3
32,58.3,없음,공학,57.4,83.6,1,있음,53.1
12,88.4,없음,사회,37.3,79.6,17,없음,40.8
21,62.2,있음,예술,60.5,85.1,12,있음,59.0
35,93.7,없음,사회,64.8,72.6,47,없음,48.1
21,84.2,없음,공학,51.1,85.4,9,있음,52.2
30,61.8,없음,자연,66.3,75.6,37,없음,56.0
18,67.8,없음,어문,27.0,92.1,47,있음,33.3
32,100.0,없음,예술,71.2,81.2,9,있음,70.1
29,91.4,없음,예술,68.7,82.9,38,없음,66.8
6,81.8,있음,예술,29.9,70.5,22,있음,28.1
14,74.2,없음,예술,38.3,81.1,7,없음,54.3
16,71.7,없음,예술,54.2,74.1,0,없음,46.9
18,76.0,없음,예술,43.7,72.2,10,있음,51.2
38,92.6,있음,사회,81.6,79.3,9,없음,70.1
5,77.0,없음,자연,,72.3,48,있음,40.7
22,90.5,있음,공학,77.7,75.4,43,없음,66.2
41,50.9,없음,공학,70.2,98.0,37,있음,70.5
14,73.1,없음,공학,29.4,86.5,4,없음,35.9
37,97.2,있음,사회,100.0,77.1,44,있음,89.6
4,82.3,없음,공학,26.3,74.4,24,있음,25.6
5,91.6,있음,어문,58.8,88.3,6,있음,56.0
26,92.3,없음,예술,39.0,70.7,6,있음,55.7
37,79.9,없음,예술,67.8,96.6,31,있음,44.4
29,71.3,없음,공학,61.1,84.1,51,있음,66.1
28,80.9,없음,어문,64.1,78.4,44,없음,56.5
9,87.7,없음,어문,25.9,80.8,9,없음,43.3
1,76.7,있음,자연,38.8,80.2,26,없음,47.7
41,100.0,있음,사회,87.1,66.4,31,있음,64.0
23,48.0,있음,자연,57.3,79.0,21,있음,56.6
3,74.5,있음,자연,16.4,90.0,48,있음,31.6
9,63.9,없음,어문,30.3,67.2,30,없음,36.2
23,59.2,없음,예술,79.0,74.5,40,없음,60.2
18,76.5,없음,어문,46.2,66.1,27,있음,42.5
34,77.0,없음,예술,70.5,77.5,2,없음,70.2
38,86.9,없음,어문,83.0,71.9,26,있음,53.7
41,48.0,있음,예술,90.1,67.1,37,있음,74.1
32,64.1,있음,자연,71.1,85.2,0,없음,57.6
39,96.4,없음,자연,64.6,58.1,24,없음,56.3
37,50.8,없음,예술,62.2,60.0,26,없음,55.7
30,82.5,없음,공학,62.5,75.4,25,있음,58.6
31,63.8,없음,자연,71.8,92.3,46,,62.9
3,82.9,없음,공학,6.4,65.7,14,있음,24.8
28,83.1,없음,어문,73.6,74.5,1,있음,54.9
16,71.7,없음,자연,21.1,68.8,1,없음,40.6
35,85.7,있음,예술,64.1,58.0,46,있음,57.4
1,73.4,없음,어문,4.0,84.8,47,없음,33.2
19,55.6,없음,공학,42.8,96.3,35,없음,47.6
20,60.7,없음,사회,45.7,64.4,51,있음,55.8
11,67.5,있음,공학,27.1,73.3,29,없음,42.5
6,71.8,있음,공학,29.7,72.7,39,없음,41.6
8,89.2,없음,어문,8.3,58.0,47,없음,30.2
18,91.3,없음,공학,59.8,100.0,37,없음,63.7
2,62.5,없음,공학,7.7,63.6,13,없음,35.9
40,71.4,없음,자연,64.4,81.6,25,없음,48.8
5,69.9,있음,사회,36.0,95.8,20,없음,41.9
19,89.6,있음,어문,56.6,67.2,27,없음,36.4
8,60.8,없음,예술,45.5,90.3,51,,46.3
23,59.3,없음,어문,49.0,93.8,8,없음,50.1
13,67.7,있음,예술,40.5,68.4,0,없음,34.5
14,77.2,없음,예술,29.0,67.2,0,있음,41.8
40,52.6,없음,사회,80.4,81.5,3,있음,71.6
38,91.1,없음,자연,72.0,84.7,30,있음,63.0
10,59.2,없음,예술,44.7,88.2,40,없음,58.9
10,100.0,없음,공학,36.7,88.9,30,있음,37.6
5,64.8,있음,공학,4.5,75.5,36,없음,24.7
14,78.1,없음,공학,33.3,100.0,5,있음,28.6
29,85.0,없음,어문,77.9,86.1,22,없음,74.0
34,96.1,있음,자연,79.4,87.7,10,있음,66.1
15,57.6,없음,어문,34.2,86.0,24,없음,33.5
30,67.2,없음,예술,67.2,75.9,24,없음,47.7
17,64.8,없음,사회,24.1,81.8,17,없음,36.7
37,70.3,없음,사회,66.8,75.5,8,있음,66.8
6,85.0,있음,자연,26.5,79.3,47,있음,53.5
24,83.9,없음,예술,60.4,90.7,2,없음,57.4
36,72.3,없음,자연,81.9,83.0,32,있음,71.0
20,71.1,없음,어문,42.2,64.3,2,있음,51.7
27,85.0,없음,공학,71.9,76.7,11,있음,58.3
30,75.0,없음,어문,73.0,66.2,22,있음,63.7
33,55.4,없음,어문,62.6,68.5,3,없음,58.8
2,95.8,없음,어문,11.7,100.0,12,없음,26.5
30,66.7,없음,예술,67.0,58.0,41,없음,53.4
28,70.5,있음,어문,71.4,96.1,32,없음,66.4
11,52.6,없음,자연,29.5,95.5,24,있음,36.4
21,66.1,있음,공학,40.3,59.6,18,없음,51.9
36,73.8,없음,어문,78.1,69.6,3,없음,74.0
21,69.1,있음,어문,41.7,90.5,0,있음,38.3
17,87.6,없음,공학,62.3,98.8,10,있음,55.3
35,56.3,있음,어문,60.7,71.7,2,,58.9
8,74.1,없음,어문,26.0,94.4,24,있음,20.8
20,72.4,없음,예술,63.9,94.2,27,없음,62.6
24,76.8,없음,예술,38.0,70.5,44,있음,45.9
27,73.9,없음,자연,77.4,62.6,18,있음,71.5
23,71.9,없음,공학,57.0,81.8,27,있음,60.4
6,64.0,없음,공학,9.9,80.5,51,없음,26.2
32,72.4,없음,사회,100.0,98.2,30,있음,74.3
13,81.2,있음,예술,57.6,82.9,11,없음,41.6
20,96.8,없음,어문,34.2,71.9,51,있음,41.9
26,56.2,있음,예술,51.9,84.7,3,있음,52.8
23,80.2,있음,어문,60.8,94.7,9,있음,55.3
1,86.5,있음,자연,42.7,89.1,35,,41.9
16,95.1,없음,사회,36.3,77.0,46,없음,51.4
41,77.9,없음,공학,85.4,89.7,2,,74.1
28,79.8,없음,사회,67.8,72.8,39,있음,54.3
15,72.3,있음,자연,42.0,74.2,25,없음,47.0
41,82.4,없음,예술,86.4,63.2,6,있음,68.4
23,94.5,없음,자연,52.6,69.1,37,있음,47.8
1,62.6,없음,어문,9.0,80.6,39,없음,26.7
24,73.1,없음,공학,64.1,77.1,4,있음,57.9
11,63.5,없음,공학,34.4,70.4,20,없음,33.5
29,61.3,없음,자연,66.1,74.7,7,없음,62.1
12,48.0,없음,자연,42.7,100.0,46,없음,56.6
18,78.5,없음,예술,36.2,85.3,2,없음,43.5
24,84.7,없음,어문,50.1,86.4,34,있음,43.8
3,71.4,없음,공학,27.5,83.7,25,있음,37.0
4,76.1,없음,사회,42.7,84.3,17,,57.8
30,66.0,있음,자연,58.4,70.5,47,없음,54.1
25,56.1,있음,예술,67.2,88.4,37,있음,57.5
41,85.2,없음,공학,84.5,69.2,38,있음,62.5
