team,career_years,degree,job_rank,review_score,project_count,team_headcount,edu_hours,foreign_language,annual_pay_manwon
경영지원,9,고졸,선임,84.7,1,2,69,고급,5299
,14,학사,책임,81.1,7,11,82,초급,7948
영업,0,석사,사원,95.9,21,7,63,고급,4276
경영지원,1,학사,,80.0,,4,74,초급,3723
영업,12,박사,책임,,19,7,28,초급,7498
연구개발,21,석사,수석,84.4,19,11,57,고급,9218
영업,19,석사,수석,83.7,14,5,28,중급,8912
마케팅,14,학사,수석,58.2,5,6,63,고급,8234
영업,14,석사,책임,83.7,7,5,41,중급,7885
영업,19,학사,수석,79.5,,1,27,초급,8872
연구개발,20,학사,수석,60.4,14,11,71,고급,9013
연구개발,9,석사,선임,79.0,9,9,11,초급,6908
마케팅,24,학사,수석,82.5,19,2,13,중급,8910
경영지원,11,학사,책임,58.0,8,6,23,고급,6802
마케팅,4,학사,사원,93.8,6,5,31,중급,4497
연구개발,3,석사,사원,98.8,15,13,50,고급,5547
영업,23,학사,수석,76.4,19,5,75,초급,8420
경영지원,6,석사,선임,,13,5,38,초급,5982
연구개발,12,석사,책임,58.0,2,7,85,중급,8012
연구개발,18,,수석,78.0,10,,90,중급,8374
마케팅,9,석사,선임,89.8,2,9,16,중급,6592
영업,1,학사,사원,73.6,3,11,11,초급,3723
연구개발,21,학사,수석,66.6,12,1,35,중급,9447
영업,8,석사,선임,93.6,2,3,17,고급,6195
경영지원,13,학사,책임,79.5,,7,44,초급,6881
경영지원,12,석사,책임,65.7,11,2,34,고급,7532
경영지원,11,학사,선임,73.1,17,10,91,중급,7018
연구개발,1,고졸,사원,92.5,5,9,51,중급,3879
마케팅,6,학사,선임,64.1,18,8,65,고급,6871
경영지원,2,석사,사원,100.0,10,0,63,고급,5009
마케팅,11,석사,책임,77.1,18,13,12,중급,6955
마케팅,12,학사,책임,82.4,5,9,36,고급,7239
영업,10,박사,선임,71.5,17,4,24,초급,7065
영업,11,학사,,61.4,16,5,49,중급,5882
,21,석사,수석,87.4,11,10,99,초급,9336
영업,19,학사,책임,,15,6,57,고급,7950
마케팅,23,박사,수석,100.0,9,1,65,초급,10489
마케팅,1,학사,사원,58.9,13,6,92,중급,3600
연구개발,18,고졸,수석,62.5,7,8,9,고급,8563
마케팅,6,학사,선임,71.9,2,0,48,중급,5663
연구개발,10,학사,선임,59.1,10,4,96,중급,6578
연구개발,1,석사,사원,70.2,21,3,72,중급,5133
마케팅,3,학사,책임,86.4,14,3,21,고급,5315
마케팅,20,학사,수석,74.0,12,8,53,고급,8790
영업,21,학사,책임,93.5,18,3,95,고급,9049
영업,11,석사,수석,61.7,18,14,38,초급,8237
연구개발,0,박사,사원,74.3,14,11,43,고급,5082
영업,2,석사,사원,67.3,6,6,95,초급,5219
,18,박사,,79.0,19,14,100,초급,8852
영업,23,학사,수석,79.1,20,0,99,중급,9433
영업,24,,수석,94.2,1,14,48,초급,9057
영업,18,학사,수석,85.5,19,6,78,중급,8238
마케팅,2,학사,,90.1,3,6,79,초급,4170
영업,0,학사,사원,65.4,15,5,87,초급,4111
연구개발,4,학사,사원,86.3,3,7,98,고급,4939
영업,7,석사,선임,74.2,15,14,67,중급,6166
마케팅,17,석사,책임,,15,4,10,초급,7988
영업,12,석사,책임,76.6,3,10,78,고급,7021
연구개발,1,석사,사원,68.7,13,11,84,중급,5131
마케팅,19,석사,수석,88.2,4,12,46,초급,8400
경영지원,1,학사,사원,90.7,3,1,60,고급,4008
연구개발,23,학사,수석,86.3,1,9,30,초급,9836
영업,24,석사,사원,69.3,14,14,20,고급,8900
연구개발,12,학사,책임,73.5,19,4,43,고급,7920
연구개발,23,학사,수석,80.7,1,2,73,고급,9136
연구개발,13,학사,책임,87.4,21,6,59,고급,8394
영업,20,석사,수석,82.6,7,2,66,중급,8176
영업,21,학사,수석,92.8,10,12,29,초급,8642
경영지원,3,고졸,사원,93.9,5,2,77,중급,4214
마케팅,1,학사,책임,87.0,4,13,22,초급,4583
경영지원,21,석사,수석,90.1,13,7,98,고급,9136
영업,6,박사,선임,64.8,20,10,14,중급,6440
마케팅,17,고졸,책임,97.8,4,15,79,고급,6759
영업,11,석사,책임,95.1,17,9,16,고급,7407
연구개발,24,학사,수석,58.0,9,1,81,고급,9818
영업,10,학사,선임,73.2,21,0,71,초급,5865
마케팅,25,,수석,68.2,4,14,38,고급,9457
연구개발,18,석사,수석,81.9,8,0,14,초급,9259
경영지원,17,학사,책임,88.2,7,6,30,고급,7299
경영지원,24,학사,수석,79.5,4,4,48,중급,9738
경영지원,11,학사,책임,62.8,6,8,92,초급,6324
경영지원,10,석사,,58.0,9,8,67,초급,6593
연구개발,17,고졸,책임,100.0,3,10,53,고급,7559
경영지원,0,학사,,85.1,5,15,76,고급,3770
영업,17,학사,책임,73.6,13,8,72,고급,7966
마케팅,17,석사,책임,90.4,1,6,15,초급,7465
연구개발,19,학사,수석,82.0,20,3,34,고급,8687
경영지원,11,학사,책임,100.0,18,8,23,초급,7053
영업,0,석사,선임,58.0,6,9,23,중급,5334
마케팅,16,고졸,선임,88.5,18,1,27,중급,6859
마케팅,21,학사,수석,71.4,4,10,66,고급,9210
연구개발,8,학사,선임,62.0,7,,78,중급,6136
마케팅,0,,사원,85.8,8,4,81,중급,3863
영업,15,학사,책임,72.8,4,,67,초급,7930
연구개발,1,석사,수석,86.2,14,10,93,초급,6286
영업,7,고졸,선임,68.3,9,3,56,초급,4153
연구개발,23,학사,수석,76.2,16,14,54,고급,9379
마케팅,14,박사,,75.2,20,6,82,중급,8207
영업,4,박사,사원,76.4,16,10,63,고급,6251
영업,7,박사,책임,58.0,6,12,29,고급,7308
경영지원,24,학사,수석,91.3,2,12,48,중급,9894
경영지원,13,학사,책임,90.6,17,7,56,고급,7926
연구개발,1,석사,사원,83.2,19,0,10,초급,5155
마케팅,10,학사,선임,77.5,5,5,48,고급,6883
영업,22,학사,,78.4,14,0,86,고급,7892
경영지원,21,학사,선임,89.6,3,13,91,고급,8352
영업,13,,책임,64.0,13,5,8,중급,6226
연구개발,25,학사,수석,71.8,20,11,10,중급,9020
마케팅,11,고졸,책임,85.6,11,13,11,초급,6956
경영지원,23,학사,선임,93.7,17,5,76,중급,8347
연구개발,12,학사,책임,59.4,15,8,17,중급,6989
영업,21,석사,수석,68.2,5,14,31,초급,9190
경영지원,23,학사,수석,82.2,6,10,42,초급,8662
경영지원,9,석사,선임,73.8,13,10,100,고급,6827
영업,19,박사,수석,73.9,21,7,63,고급,10249
영업,16,박사,책임,72.4,9,14,72,고급,8867
경영지원,16,석사,책임,78.0,3,11,14,중급,8225
경영지원,17,학사,책임,58.7,16,7,83,고급,7975
연구개발,24,학사,수석,83.2,11,11,47,중급,8929
마케팅,18,학사,수석,87.3,10,7,44,초급,8310
연구개발,1,학사,사원,80.4,,15,20,초급,5768
마케팅,14,학사,책임,58.3,14,7,52,중급,7828
마케팅,23,석사,수석,96.2,21,0,75,고급,9302
영업,1,학사,사원,72.0,,13,36,고급,4878
연구개발,22,학사,수석,67.7,1,8,69,초급,8780
마케팅,16,학사,책임,94.0,9,10,41,고급,8139
연구개발,25,,수석,74.7,8,11,20,고급,9653
마케팅,3,학사,,67.9,14,,11,초급,5006
마케팅,21,학사,수석,85.4,,0,59,중급,8765
경영지원,23,학사,수석,84.9,9,9,32,초급,8980
마케팅,13,학사,선임,76.2,14,2,30,중급,7590
경영지원,25,학사,수석,99.5,16,6,33,초급,10306
경영지원,11,고졸,책임,89.8,19,11,56,고급,5356
마케팅,2,박사,선임,80.1,16,6,14,초급,5688
연구개발,13,석사,책임,63.8,4,12,96,초급,7448
경영지원,23,석사,수석,72.8,21,12,10,고급,9925
경영지원,14,학사,책임,63.1,18,7,41,초급,7000
마케팅,23,학사,수석,65.1,12,13,23,중급,9267
마케팅,11,석사,책임,86.7,7,5,75,중급,7892
경영지원,19,학사,수석,90.7,20,3,84,고급,9377
연구개발,4,학사,사원,68.7,10,9,19,중급,5554
,13,석사,책임,75.4,3,5,19,초급,7776
경영지원,1,고졸,사원,98.1,2,1,70,고급,3613
영업,20,,수석,81.0,3,11,8,고급,9145
경영지원,3,고졸,사원,60.4,20,8,49,중급,4668
연구개발,15,석사,책임,75.6,10,10,55,중급,8783
마케팅,8,학사,선임,99.1,9,12,73,초급,5556
연구개발,12,고졸,사원,93.1,11,9,33,고급,6496
마케팅,22,학사,수석,96.8,11,13,100,중급,8547
영업,15,학사,책임,87.5,7,15,17,초급,7782
영업,11,,책임,78.2,18,4,92,초급,6004
경영지원,2,석사,사원,100.0,4,14,14,고급,4629
연구개발,16,석사,책임,82.8,14,1,57,중급,8341
연구개발,16,고졸,책임,76.6,19,8,38,중급,7255
연구개발,6,석사,선임,71.7,12,5,49,초급,6191
경영지원,13,석사,책임,82.3,8,15,59,고급,6845
연구개발,24,학사,,,19,11,47,초급,9527
마케팅,20,학사,수석,71.0,1,4,69,초급,9021
영업,23,고졸,수석,74.8,21,15,26,고급,8725
영업,15,학사,책임,83.0,14,13,57,고급,7180
연구개발,9,학사,사원,77.6,21,2,69,초급,6152
경영지원,11,학사,책임,79.7,,5,11,고급,6340
,6,학사,선임,76.0,17,10,43,중급,6306
영업,25,학사,수석,88.4,17,14,95,중급,9227
영업,18,학사,수석,92.1,19,7,40,초급,8416
경영지원,19,학사,수석,77.6,1,8,78,고급,8648
영업,22,박사,수석,88.2,15,15,77,고급,9845
마케팅,7,학사,선임,58.0,7,6,44,고급,5448
경영지원,24,고졸,수석,69.5,9,6,29,고급,8726
마케팅,14,고졸,선임,81.8,9,7,63,고급,6715
마케팅,1,석사,사원,86.3,17,3,42,초급,4509
경영지원,11,석사,책임,75.6,9,13,77,고급,7952
경영지원,5,석사,선임,97.1,19,15,88,고급,4361
마케팅,17,석사,수석,75.8,4,9,29,고급,8726
연구개발,23,고졸,수석,79.8,17,14,77,중급,8838
연구개발,12,박사,책임,75.4,1,14,49,고급,8479
연구개발,15,박사,책임,83.3,9,6,49,고급,8598
경영지원,14,고졸,책임,63.7,5,6,68,초급,6956
연구개발,10,학사,,89.2,16,0,27,중급,6644
영업,8,석사,선임,87.8,14,5,39,고급,6250
연구개발,1,학사,사원,100.0,16,9,89,초급,4504
연구개발,6,,사원,81.5,4,3,75,중급,5803
마케팅,7,학사,선임,58.0,9,13,47,초급,5178
연구개발,21,학사,수석,71.2,3,11,65,초급,9724
경영지원,10,학사,사원,99.0,18,8,36,초급,6902
마케팅,4,석사,책임,99.5,18,7,47,중급,5044
경영지원,12,고졸,책임,73.9,10,0,29,고급,6038
마케팅,15,학사,책임,73.2,9,1,93,중급,7869
영업,0,석사,사원,90.6,1,5,36,중급,4882
영업,1,석사,사원,85.7,6,14,25,고급,4964
마케팅,12,학사,책임,77.5,20,1,76,고급,6450
연구개발,24,학사,책임,65.7,20,15,37,중급,9488
연구개발,19,학사,수석,84.0,9,12,38,초급,8344
마케팅,20,학사,수석,100.0,10,7,69,고급,8372
영업,0,석사,수석,69.7,21,10,77,초급,5163
,24,학사,,81.8,20,12,90,중급,8736
연구개발,3,학사,수석,82.3,15,2,71,고급,6025
,18,석사,수석,96.1,6,7,14,초급,8897
마케팅,17,학사,책임,71.2,11,13,14,고급,7879
연구개발,17,학사,책임,89.7,5,13,95,고급,8323
경영지원,12,박사,,58.0,12,1,27,초급,7839
마케팅,10,박사,선임,71.8,13,13,99,초급,6638
연구개발,13,학사,사원,86.7,8,4,100,초급,6419
경영지원,0,석사,사원,68.8,17,12,64,고급,4777
마케팅,15,학사,책임,99.1,18,2,25,중급,6925
마케팅,8,학사,선임,87.7,19,7,19,중급,6367
마케팅,25,학사,수석,83.8,12,9,48,초급,9078
연구개발,20,학사,수석,81.4,5,10,55,중급,9484
경영지원,17,학사,,65.4,2,0,62,초급,6812
경영지원,23,고졸,수석,81.1,8,10,69,고급,8520
경영지원,9,,책임,79.6,10,12,50,초급,6665
영업,15,박사,책임,84.8,1,3,57,고급,8752
연구개발,24,석사,수석,83.3,11,8,65,고급,10146
영업,8,학사,선임,68.1,2,7,14,중급,6036
연구개발,14,학사,책임,78.7,18,0,75,중급,6903
,4,석사,사원,58.0,11,6,65,중급,5248
경영지원,13,석사,책임,83.5,20,14,26,중급,7543
경영지원,7,석사,선임,71.6,3,3,20,초급,5565
경영지원,6,박사,선임,93.2,2,14,89,중급,5737
영업,13,학사,사원,71.2,1,8,24,중급,5887
경영지원,6,석사,선임,100.0,2,1,98,초급,5769
연구개발,23,석사,수석,68.6,16,2,73,초급,9029
연구개발,3,학사,사원,83.3,5,13,40,초급,4583
,25,박사,수석,,12,8,89,고급,10648
영업,3,고졸,사원,76.1,12,13,93,중급,5175
경영지원,2,고졸,사원,87.7,,5,69,초급,4066
경영지원,5,박사,선임,70.2,14,15,100,중급,6770
마케팅,13,학사,책임,83.7,20,,44,고급,7817
영업,5,학사,선임,87.5,4,6,10,중급,5519
연구개발,17,학사,수석,88.6,17,12,63,중급,7634
마케팅,23,,책임,77.8,3,2,49,초급,9715
경영지원,4,석사,사원,60.7,18,13,59,초급,5806
연구개발,2,석사,사원,,19,0,36,초급,5449
마케팅,1,학사,사원,61.2,15,2,82,고급,4223
영업,17,고졸,책임,,17,6,77,중급,7461
마케팅,5,학사,선임,98.9,7,2,16,중급,5617
영업,13,석사,사원,91.1,2,5,65,고급,6370
마케팅,15,,책임,98.6,,5,63,초급,8335
마케팅,9,석사,선임,95.2,12,15,100,중급,5929
마케팅,16,석사,책임,82.2,18,3,16,중급,7742
연구개발,19,학사,수석,75.8,14,13,77,중급,7921
마케팅,7,박사,선임,71.0,21,5,67,고급,6144
영업,13,석사,책임,58.0,3,6,24,초급,7304
경영지원,4,학사,사원,69.6,1,0,47,중급,4599
연구개발,24,석사,수석,93.6,1,4,99,중급,10542
연구개발,4,학사,사원,66.8,6,,28,고급,5310
영업,20,학사,수석,61.7,19,9,28,고급,9754
영업,13,박사,책임,78.6,1,3,68,고급,8003
영업,25,고졸,수석,,3,6,25,초급,8227
