job_type,year_income_manwon,credit_point,loan_reason,loan_manwon,debt_ratio,job_years,house_type,past_overdue,approved
자영업,8998,346,생활,4688,217.1,30,월세,없음,1
정규직,19656,571,그외,2077,1.0,3,전세,있음,1
계약직,4517,730,그외,4274,315.8,21,자가,없음,1
자영업,19565,372,주택,3900,275.0,18,자가,없음,1
정규직,11224,300,그외,9731,140.6,7,자가,없음,1
정규직,8017,400,사업,5031,305.4,17,월세,없음,1
정규직,10326,647,그외,5738,22.8,9,전세,없음,1
미취업,,755,그외,4442,227.7,18,월세,없음,1
정규직,2059,760,그외,8599,257.7,2,월세,없음,1
자영업,2146,307,사업,7072,161.3,10,자가,없음,1
정규직,19765,801,주택,9206,264.9,,월세,있음,1
자영업,13117,466,그외,1453,219.7,1,자가,있음,0
계약직,6181,513,생활,8477,153.1,11,월세,없음,1
계약직,16005,381,그외,1766,202.6,18,자가,없음,1
계약직,11000,471,그외,8803,321.6,0,월세,없음,1
자영업,6106,844,주택,5752,121.7,16,자가,있음,1
정규직,6403,857,그외,1308,89.9,1,자가,없음,1
정규직,3080,715,주택,4839,416.3,18,전세,있음,1
자영업,20343,921,생활,3821,280.8,9,자가,없음,1
정규직,14565,387,사업,8637,,23,자가,있음,1
자영업,11946,332,그외,351,247.5,18,자가,없음,0
,9589,743,사업,2044,274.1,5,자가,없음,1
정규직,15530,657,생활,8026,149.6,0,전세,없음,1
정규직,18808,886,사업,5560,102.5,3,전세,없음,1
정규직,13787,300,생활,5601,243.9,1,월세,없음,1
자영업,12445,429,그외,5707,339.1,5,전세,,0
정규직,8257,416,생활,2400,315.4,29,월세,없음,1
정규직,17936,523,그외,4728,259.5,7,자가,있음,1
계약직,13682,571,주택,4388,302.5,0,월세,없음,1
정규직,9749,791,주택,346,290.0,31,,없음,1
정규직,16518,452,주택,1589,312.8,16,전세,있음,1
자영업,8309,634,주택,9682,,8,,없음,1
정규직,2203,484,사업,6129,462.6,0,자가,없음,1
정규직,6235,783,사업,7269,171.8,3,자가,,1
정규직,18593,1000,그외,8372,323.1,8,자가,없음,1
정규직,,645,사업,,291.7,0,자가,없음,1
자영업,15648,510,그외,2492,144.0,19,자가,없음,1
계약직,16127,433,생활,7608,187.5,4,월세,있음,1
정규직,6514,702,그외,1107,152.4,27,월세,없음,1
계약직,18289,699,생활,,189.2,21,월세,없음,1
정규직,6446,468,주택,7751,420.4,1,전세,있음,1
정규직,,999,사업,3278,346.1,26,전세,없음,1
정규직,11109,721,사업,931,61.5,12,전세,있음,1
미취업,14337,831,,4777,484.2,19,월세,없음,1
정규직,7994,657,사업,6240,219.7,25,전세,없음,1
계약직,18106,706,그외,7675,,10,자가,없음,1
자영업,5172,300,그외,8883,163.7,3,월세,있음,1
자영업,4160,631,주택,9378,364.5,14,자가,없음,1
자영업,16212,300,주택,9977,105.4,18,전세,없음,1
계약직,2570,689,그외,3649,306.4,10,자가,있음,1
자영업,5114,668,그외,3068,437.1,20,자가,없음,1
계약직,9829,695,그외,1811,307.2,22,,없음,1
정규직,5056,672,사업,188,282.1,30,월세,있음,1
미취업,8051,359,사업,856,87.9,26,월세,없음,1
정규직,7191,777,사업,5627,198.8,20,자가,없음,1
자영업,18964,340,그외,660,439.8,30,,없음,1
정규직,19325,606,,4232,266.3,23,자가,없음,1
자영업,19039,529,주택,8637,123.3,5,자가,있음,1
계약직,8164,950,그외,10121,158.9,3,월세,없음,1
자영업,14050,,생활,9783,365.6,1,전세,없음,0
정규직,11775,443,그외,4378,,11,전세,없음,1
미취업,17351,728,생활,5226,72.5,19,자가,없음,1
정규직,19322,887,생활,5824,216.3,11,월세,없음,1
자영업,8034,763,주택,1071,,28,전세,있음,1
,4020,300,생활,1752,143.1,12,월세,없음,1
자영업,9785,620,생활,6901,327.7,12,자가,없음,1
정규직,11677,905,생활,9975,111.0,21,전세,없음,1
정규직,19149,428,생활,5604,420.9,24,,없음,0
정규직,3196,675,생활,4678,296.4,22,전세,없음,1
자영업,8135,609,사업,4652,454.1,30,월세,없음,1
자영업,7641,495,그외,2035,147.2,0,자가,없음,1
자영업,19836,571,주택,9738,240.8,31,자가,없음,1
정규직,2421,574,그외,8699,75.7,20,전세,없음,1
정규직,18159,447,주택,4956,301.5,1,전세,,1
자영업,11477,659,주택,,48.4,13,전세,없음,1
미취업,4811,514,사업,2805,345.4,22,자가,없음,1
정규직,14273,1000,사업,1428,70.5,17,전세,없음,1
정규직,7506,434,생활,2771,399.1,8,월세,없음,1
미취업,,439,생활,4133,430.1,2,월세,없음,1
정규직,20399,764,생활,3833,280.8,30,월세,없음,1
정규직,17736,941,사업,2182,88.6,3,,없음,1
자영업,12887,1000,그외,7859,1.0,22,전세,,1
계약직,2397,359,생활,9486,214.7,31,전세,없음,0
계약직,3986,909,주택,4390,437.2,17,자가,있음,1
정규직,4111,634,주택,7585,381.6,7,월세,있음,1
정규직,,875,사업,5833,94.1,1,자가,없음,1
미취업,16328,568,사업,1210,307.0,24,월세,없음,1
계약직,7751,884,주택,6448,27.5,8,자가,없음,1
자영업,5967,,그외,5431,136.1,8,자가,없음,1
정규직,9064,697,사업,2015,341.0,30,자가,없음,1
자영업,14656,330,그외,3884,361.1,13,,없음,1
자영업,13570,728,주택,8087,255.8,14,월세,없음,1
정규직,19879,460,그외,7989,61.1,0,전세,없음,1
정규직,13343,532,생활,5365,190.9,22,자가,있음,1
자영업,7190,686,그외,6859,247.8,12,월세,없음,1
자영업,13752,713,생활,7394,274.3,6,자가,없음,1
자영업,10092,758,생활,2166,367.6,16,자가,있음,1
정규직,18089,453,사업,9027,1.0,26,자가,,1
미취업,15244,347,주택,3107,349.4,10,월세,있음,0
정규직,6970,404,생활,8744,413.4,0,전세,없음,0
정규직,5415,439,생활,5385,184.0,1,자가,없음,1
자영업,9227,781,생활,4278,446.2,30,월세,없음,1
미취업,5309,557,사업,1329,152.5,11,자가,없음,1
자영업,19717,493,그외,4193,188.9,24,자가,없음,1
정규직,11256,511,주택,5595,1.0,,전세,없음,1
자영업,18958,300,사업,5469,1.0,29,자가,없음,1
정규직,13250,311,그외,9581,304.4,5,월세,없음,1
자영업,2522,336,생활,4712,493.2,26,전세,,1
계약직,10932,576,생활,1002,433.3,3,전세,없음,1
미취업,15303,545,그외,,86.5,26,,없음,1
미취업,3236,865,생활,9237,206.4,24,전세,있음,1
미취업,10033,514,사업,3776,79.3,,월세,없음,1
미취업,7731,1000,주택,7060,520.0,26,월세,없음,1
정규직,19927,552,주택,1231,160.2,8,자가,없음,1
계약직,18853,636,생활,1310,182.5,17,자가,없음,1
미취업,2677,381,그외,323,381.2,3,전세,없음,1
자영업,16563,571,생활,141,1.0,28,자가,있음,1
정규직,8478,992,생활,5996,111.7,26,전세,없음,1
자영업,8602,1000,그외,3328,249.4,0,자가,있음,1
정규직,5373,567,주택,6070,,26,,없음,1
계약직,10435,845,생활,2467,232.0,11,전세,없음,1
계약직,19746,462,그외,7126,345.9,8,자가,없음,1
자영업,3987,300,그외,6161,1.0,1,전세,있음,0
정규직,2396,503,주택,123,387.8,27,월세,없음,1
정규직,8313,559,생활,8759,186.4,6,전세,있음,1
정규직,19241,449,생활,8527,214.5,13,월세,없음,1
미취업,15710,784,사업,4671,208.2,5,전세,없음,1
미취업,14737,402,주택,118,161.3,8,전세,없음,1
계약직,17318,872,사업,6248,249.0,6,자가,없음,1
자영업,4944,1000,주택,3762,206.1,11,전세,없음,1
자영업,15761,932,그외,3335,471.4,23,자가,없음,1
정규직,3743,625,그외,8832,1.0,27,전세,,1
미취업,9772,534,생활,7043,295.0,6,자가,없음,1
자영업,9039,724,사업,6401,228.7,31,자가,없음,1
자영업,17609,834,그외,,307.0,6,,없음,1
정규직,6667,667,주택,4536,73.2,8,월세,없음,1
정규직,3574,878,사업,6973,23.7,25,자가,없음,1
정규직,10852,703,주택,7028,267.5,12,월세,없음,1
미취업,8492,373,사업,8211,520.0,1,자가,있음,0
자영업,20181,696,주택,3752,175.6,16,전세,없음,1
자영업,2748,564,생활,7811,210.7,26,자가,없음,1
정규직,6242,544,그외,8259,286.5,3,전세,없음,1
자영업,7105,712,주택,5599,415.5,10,전세,있음,1
자영업,16815,937,사업,7580,273.3,18,월세,없음,1
정규직,10793,426,생활,8849,405.0,13,자가,없음,0
정규직,18997,565,주택,8029,,17,전세,없음,1
미취업,12641,514,생활,1537,215.3,23,자가,없음,1
정규직,2922,645,사업,9690,413.7,22,월세,없음,1
정규직,,870,사업,5249,256.5,11,,있음,1
정규직,13505,506,그외,2354,84.5,5,전세,있음,1
정규직,14722,543,생활,4904,260.3,7,전세,있음,0
정규직,13674,,사업,9841,208.9,15,월세,없음,1
자영업,13477,418,사업,9208,97.1,22,자가,있음,1
계약직,18827,860,그외,6218,436.4,17,자가,없음,1
정규직,20405,769,생활,6088,30.4,20,자가,있음,1
계약직,17141,494,그외,6670,356.4,13,자가,있음,1
자영업,14161,786,생활,9666,382.5,17,전세,없음,1
정규직,7884,636,주택,1082,198.1,29,전세,없음,1
정규직,17453,612,사업,9713,520.0,31,전세,없음,1
자영업,13289,734,그외,2603,185.7,25,,없음,1
,6244,842,주택,4700,506.5,19,,없음,1
정규직,,566,주택,6219,,,자가,있음,1
정규직,10900,733,주택,1994,,3,월세,있음,1
정규직,12325,680,생활,564,100.4,2,전세,없음,1
정규직,13031,506,주택,6987,250.8,6,자가,있음,1
자영업,5595,300,사업,3653,77.9,30,월세,없음,1
미취업,12227,619,주택,2786,129.8,0,자가,없음,1
정규직,10219,529,그외,10072,86.1,0,월세,없음,1
정규직,14234,897,생활,,305.7,21,월세,있음,1
정규직,13414,495,생활,7285,1.0,4,자가,없음,1
정규직,6253,381,사업,556,,26,전세,없음,1
정규직,7584,650,사업,5022,216.2,2,전세,없음,1
미취업,14449,561,사업,4767,58.0,22,월세,없음,1
정규직,19878,685,그외,7273,372.8,26,월세,있음,1
자영업,14017,300,그외,9776,307.8,24,전세,있음,1
자영업,14285,868,그외,10039,1.0,31,월세,없음,1
,9075,439,주택,1033,41.6,18,전세,없음,1
미취업,8163,310,주택,2908,504.8,7,월세,없음,0
자영업,11444,912,그외,191,270.6,9,전세,없음,1
자영업,9164,645,생활,7858,254.4,5,월세,있음,1
정규직,20295,782,사업,7964,390.4,12,월세,없음,1
계약직,6285,901,주택,5680,374.3,23,월세,없음,1
정규직,19873,687,그외,9943,303.1,28,월세,없음,1
정규직,,819,생활,8421,96.7,10,전세,없음,1
정규직,2913,495,생활,7359,1.0,1,전세,없음,1
정규직,16524,,주택,8576,1.0,16,전세,있음,1
정규직,2472,636,주택,1118,135.0,6,전세,있음,1
계약직,13101,701,주택,5983,299.6,24,자가,없음,1
계약직,2228,867,주택,6505,27.6,,전세,없음,1
정규직,6513,1000,생활,2209,426.4,30,전세,없음,1
정규직,6171,,그외,6199,298.2,28,전세,없음,1
,16840,734,그외,9493,124.2,2,월세,없음,1
자영업,18109,561,,8853,237.2,0,전세,있음,1
,,481,그외,6673,278.4,18,자가,없음,1
자영업,6464,667,생활,3908,462.8,12,전세,,1
정규직,18432,848,생활,618,380.9,1,자가,없음,1
정규직,5709,476,주택,1609,176.3,11,,없음,1
정규직,9823,715,주택,,193.8,1,자가,없음,1
정규직,13084,,사업,7268,279.3,21,월세,없음,1
정규직,15655,505,주택,105,504.2,29,월세,없음,0
정규직,16831,827,주택,2580,1.0,20,월세,없음,1
정규직,7451,,,6805,456.2,0,자가,없음,1
미취업,19062,,그외,118,385.2,29,월세,없음,1
자영업,12888,649,,2659,125.2,15,,없음,1
계약직,9362,762,주택,9908,22.0,24,전세,있음,1
,4279,827,그외,8903,154.2,10,자가,있음,1
정규직,12087,528,주택,8707,315.1,15,전세,있음,1
자영업,7896,300,생활,1523,1.0,27,전세,없음,1
자영업,14034,727,주택,10147,279.5,29,전세,없음,1
자영업,19332,594,사업,7061,194.0,21,자가,없음,1
미취업,16469,827,주택,1253,1.0,30,월세,없음,1
정규직,3117,696,생활,3958,293.2,24,월세,없음,1
계약직,8159,402,생활,5706,304.0,8,전세,없음,1
정규직,4201,764,그외,672,267.5,23,월세,없음,1
미취업,15953,334,사업,8461,464.6,15,자가,없음,1
계약직,19421,784,사업,1269,318.6,4,자가,없음,0
정규직,10444,598,생활,2047,392.1,28,전세,없음,1
자영업,,931,생활,1035,271.7,25,전세,없음,1
계약직,14629,946,생활,5677,147.8,12,자가,없음,1
계약직,18261,416,사업,8975,399.5,25,월세,없음,1
정규직,7513,821,생활,5121,344.0,30,전세,없음,1
정규직,4165,636,주택,1022,427.6,23,월세,없음,1
자영업,11865,300,주택,3401,301.8,29,월세,없음,0
정규직,4241,358,주택,1648,434.4,,월세,있음,1
미취업,14697,583,사업,2471,51.6,21,자가,없음,1
자영업,3508,963,그외,5479,520.0,4,자가,있음,1
계약직,9497,,생활,6120,250.9,11,자가,없음,1
계약직,15871,775,그외,9894,273.9,20,자가,없음,1
정규직,2621,606,그외,3842,305.7,1,자가,있음,1
자영업,2964,851,그외,3933,257.9,19,전세,없음,1
정규직,12519,763,생활,6024,317.9,26,월세,없음,1
계약직,7837,498,그외,4520,62.3,16,자가,있음,1
계약직,14527,591,사업,9719,62.8,5,자가,없음,1
자영업,7839,300,,9785,520.0,8,자가,없음,1
미취업,6577,445,생활,7947,463.8,8,,없음,0
미취업,20412,806,생활,9932,248.3,29,자가,있음,1
정규직,15332,565,주택,6840,285.5,24,월세,없음,1
정규직,2056,883,생활,979,217.5,0,자가,없음,1
정규직,18669,556,사업,3929,194.2,4,자가,없음,1
정규직,17125,762,생활,4660,276.5,20,,없음,1
계약직,4811,520,생활,363,101.5,19,전세,없음,1
계약직,17344,883,생활,2258,45.4,15,전세,없음,1
정규직,3314,447,주택,2094,,29,월세,없음,0
정규직,,913,사업,8593,448.2,10,월세,,0
계약직,3412,784,생활,9648,134.8,30,월세,없음,1
정규직,19046,860,그외,2121,227.7,9,자가,없음,1
자영업,4188,931,사업,4189,210.6,14,자가,없음,1
계약직,1924,384,생활,7362,218.1,30,전세,없음,1
정규직,19248,394,그외,3551,400.5,16,자가,없음,1
자영업,18170,467,그외,2847,96.9,16,월세,없음,0
계약직,14163,840,그외,6675,207.4,9,,없음,1
계약직,13431,523,생활,7605,255.1,18,자가,없음,1
자영업,18834,720,생활,1266,237.2,21,전세,없음,1
자영업,17726,772,사업,5899,277.8,14,월세,없음,1
정규직,2005,,사업,5080,276.8,26,월세,있음,1
정규직,11515,904,그외,7106,204.4,2,자가,있음,1
계약직,19648,655,주택,4795,386.4,18,월세,있음,1
정규직,13775,938,그외,9435,221.2,6,월세,없음,1
계약직,12119,765,생활,5785,161.0,28,,없음,1
,3422,364,그외,8328,462.1,5,월세,없음,1
미취업,16466,943,주택,1116,274.0,24,자가,없음,1
정규직,3425,494,생활,582,22.6,10,전세,없음,1
정규직,16303,639,그외,8834,1.0,31,자가,없음,1
자영업,9562,898,주택,,,25,월세,없음,1
정규직,2553,300,사업,7556,372.1,10,자가,없음,0
계약직,16779,404,사업,6747,437.9,5,월세,없음,0
정규직,2294,742,주택,9517,22.5,17,월세,없음,1
계약직,14600,363,사업,818,309.8,1,자가,없음,1
계약직,11464,734,주택,8159,148.5,27,자가,없음,1
정규직,16166,726,사업,5239,520.0,8,전세,없음,1
정규직,11054,730,생활,1366,57.2,16,자가,없음,1
정규직,9358,878,그외,7187,164.9,23,전세,없음,1
정규직,15375,530,주택,6877,198.1,26,자가,없음,1
미취업,13408,440,주택,7568,234.2,9,월세,없음,1
미취업,12829,761,생활,5718,418.5,0,자가,없음,1
미취업,2956,694,그외,8036,265.0,5,월세,없음,0
미취업,9413,593,,3167,1.0,6,자가,없음,1
자영업,2608,636,주택,781,30.5,,,없음,1
자영업,3789,329,그외,935,359.9,25,전세,없음,0
계약직,14999,741,그외,1291,220.0,27,월세,없음,1
자영업,2071,773,그외,7843,210.6,16,,없음,1
정규직,,535,그외,1647,296.6,28,월세,없음,1
정규직,3072,681,생활,2080,1.0,30,자가,없음,1
미취업,19040,361,주택,9874,370.4,6,월세,없음,1
미취업,20217,481,그외,7447,483.7,1,월세,없음,0
정규직,12888,465,주택,8692,1.0,14,월세,없음,1
자영업,12604,935,생활,1556,25.7,22,자가,없음,1
미취업,8999,808,주택,5011,295.3,14,전세,없음,1
미취업,20358,481,그외,8353,408.2,24,자가,없음,0
미취업,10867,450,주택,8379,276.0,11,,없음,1
계약직,14627,498,그외,1200,286.3,12,전세,없음,0
정규직,4374,,생활,8261,248.1,0,자가,없음,1
정규직,8373,715,사업,523,319.1,11,월세,없음,1
정규직,19684,677,주택,5417,243.3,17,월세,없음,1
자영업,11304,867,사업,202,320.6,15,자가,없음,1
정규직,8316,1000,그외,8284,286.5,18,전세,있음,1
자영업,14464,872,주택,3776,109.8,15,전세,없음,1
미취업,12734,464,사업,10134,159.6,30,자가,없음,0
정규직,17780,781,그외,5862,245.5,22,,없음,1
정규직,19693,623,그외,1602,254.8,24,전세,없음,1
자영업,19272,832,생활,8109,289.7,2,자가,있음,1
계약직,10249,714,그외,9706,110.4,20,월세,없음,1
계약직,10851,899,주택,4189,221.9,13,자가,없음,1
정규직,20324,366,생활,6521,187.7,18,전세,없음,1
정규직,16261,347,주택,803,6.0,6,전세,없음,1
정규직,10099,805,주택,3012,365.4,29,월세,없음,1
계약직,17282,620,생활,6533,348.9,30,월세,없음,1
계약직,6020,706,사업,1826,226.8,4,월세,없음,1
자영업,16207,800,그외,5697,193.5,26,월세,없음,1
계약직,7528,557,생활,3504,135.4,25,,없음,1
자영업,11266,546,생활,1683,263.5,20,전세,없음,1
자영업,11675,357,사업,3996,368.3,28,자가,없음,0
정규직,3458,875,그외,,281.4,26,월세,,1
계약직,5008,738,생활,8664,247.2,0,자가,없음,1
계약직,15746,903,그외,2001,347.0,24,월세,없음,1
정규직,5794,540,그외,1600,93.0,27,전세,없음,1
정규직,,485,생활,8150,119.1,31,월세,있음,1
계약직,10507,553,주택,9143,76.6,20,자가,없음,1
정규직,15820,300,그외,5562,520.0,1,자가,없음,1
계약직,5272,511,사업,1842,496.2,0,전세,없음,0
정규직,16183,523,사업,1093,338.5,20,자가,없음,0
정규직,15282,773,사업,8906,,23,전세,있음,1
정규직,5904,806,주택,1690,371.5,18,월세,없음,1
계약직,4671,469,생활,6783,314.0,22,자가,없음,1
,5576,919,그외,4248,280.5,29,전세,있음,1
정규직,2387,706,생활,3790,387.7,11,전세,없음,1
계약직,8860,649,그외,7570,177.2,6,,있음,1
계약직,12170,653,그외,2290,309.4,18,월세,없음,1
계약직,11586,767,사업,1983,357.4,,월세,없음,1
정규직,4442,641,사업,5663,128.1,21,월세,없음,1
정규직,2876,734,사업,4688,352.2,30,자가,있음,1
미취업,13622,866,주택,4539,35.7,7,자가,없음,1
정규직,18727,723,그외,,268.9,6,전세,,1
계약직,4982,460,주택,8272,96.8,15,월세,없음,1
,14481,351,,1318,112.1,6,월세,,1
정규직,12939,825,그외,3076,1.0,12,자가,없음,1
계약직,16685,772,사업,9454,412.1,15,자가,있음,1
정규직,20043,659,생활,9969,437.6,23,자가,없음,1
,4562,610,사업,2423,308.1,14,전세,없음,1
정규직,2996,695,생활,9434,382.8,22,,없음,1
정규직,9816,625,사업,1666,394.8,28,자가,없음,1
계약직,3756,702,생활,8043,222.7,9,월세,없음,1
정규직,13055,387,그외,8888,386.1,5,,없음,1
미취업,10247,713,주택,5849,,4,자가,있음,0
정규직,13761,,그외,3086,236.2,22,월세,있음,1
정규직,6190,602,주택,655,450.5,8,자가,없음,1
자영업,8245,437,생활,9840,281.6,21,전세,없음,1
계약직,2047,1000,사업,7678,1.0,5,자가,없음,1
정규직,15804,628,주택,5095,243.1,18,자가,없음,1
정규직,13721,524,주택,9995,117.8,30,전세,있음,1
정규직,18311,532,주택,7176,208.7,12,자가,있음,0
정규직,6733,597,생활,9741,226.7,26,월세,없음,1
정규직,6587,913,사업,400,54.7,26,전세,없음,1
자영업,8765,1000,그외,7853,250.8,28,자가,없음,1
정규직,17523,522,주택,7054,152.0,9,월세,없음,1
정규직,5984,,그외,6057,304.7,5,월세,없음,1
정규직,14153,880,사업,3872,162.4,29,전세,없음,1
계약직,17711,501,그외,1985,231.2,19,전세,없음,1
정규직,20262,702,생활,1315,117.1,9,전세,없음,1
정규직,18879,300,생활,4423,110.3,18,자가,없음,1
정규직,12425,811,주택,1947,390.0,22,자가,없음,1
정규직,18420,578,주택,6077,473.3,6,월세,없음,0
정규직,15746,902,주택,7091,343.4,1,자가,없음,1
계약직,7644,927,그외,2677,119.8,24,자가,,1
,11944,,사업,1966,165.1,21,월세,없음,1
정규직,4600,457,그외,,252.7,3,자가,없음,1
자영업,19977,668,주택,5383,134.8,22,자가,없음,1
정규직,11458,400,주택,4604,520.0,8,전세,없음,0
정규직,4188,867,생활,1455,257.8,0,월세,있음,1
계약직,8288,656,그외,4559,396.5,25,월세,없음,1
미취업,13615,300,주택,4115,243.9,26,전세,없음,1
자영업,19191,726,사업,3170,386.2,16,전세,없음,1
정규직,14026,764,주택,1786,,8,전세,없음,1
계약직,4386,901,그외,3646,158.4,23,자가,없음,1
자영업,6579,838,그외,2692,452.9,29,자가,없음,1
미취업,15316,608,생활,4144,287.8,14,전세,없음,0
자영업,13331,948,생활,9003,129.7,8,자가,없음,1
정규직,15667,620,생활,6855,12.8,29,전세,없음,1
계약직,2478,450,생활,6884,200.4,29,자가,없음,1
정규직,17626,487,,4817,107.8,4,전세,있음,1
자영업,16167,900,주택,198,227.7,16,자가,없음,1
정규직,2219,598,그외,7728,108.2,12,전세,없음,1
정규직,10325,803,사업,3267,415.4,13,월세,있음,1
미취업,16777,826,주택,477,1.0,27,월세,없음,1
계약직,4856,714,생활,6356,365.0,27,자가,없음,1
정규직,11257,790,그외,8289,201.5,27,월세,없음,1
,14466,895,주택,6424,341.9,16,자가,있음,1
계약직,18396,857,사업,6185,208.1,15,월세,없음,1
정규직,11267,819,그외,3308,15.1,18,,없음,1
계약직,12792,708,그외,3247,256.5,14,자가,있음,1
계약직,4796,371,그외,1943,139.0,26,월세,없음,1
정규직,16641,737,그외,758,231.0,10,자가,없음,1
미취업,8114,695,사업,5274,446.8,18,자가,없음,1
자영업,15097,881,그외,7487,129.0,24,전세,없음,1
미취업,8421,669,사업,5189,29.9,23,자가,없음,1
정규직,20211,300,생활,6260,243.8,,자가,없음,1
미취업,15151,300,생활,5011,398.3,31,월세,없음,0
정규직,12784,921,사업,1247,1.0,27,월세,없음,1
계약직,14933,411,생활,,127.9,21,자가,없음,1
계약직,19051,389,생활,4700,392.7,14,월세,없음,1
계약직,17927,1000,주택,8200,360.3,10,자가,없음,1
정규직,2550,728,생활,5441,373.2,7,자가,있음,1
정규직,15469,484,주택,10041,58.5,11,전세,없음,1
자영업,5962,591,생활,7154,1.0,2,전세,없음,0
자영업,5124,,생활,5323,133.8,27,월세,없음,1
정규직,7881,418,주택,4066,91.8,29,자가,있음,1
정규직,12175,586,주택,4746,17.9,28,전세,있음,1
정규직,17353,838,주택,2891,414.5,11,전세,있음,1
자영업,3973,,사업,1377,273.4,22,전세,없음,1
자영업,5335,699,그외,8566,168.4,9,전세,없음,1
정규직,10352,664,사업,5743,72.9,0,월세,없음,1
미취업,19501,585,주택,4449,371.2,25,전세,없음,1
미취업,9146,336,생활,4987,353.6,25,월세,없음,1
정규직,13301,470,그외,8303,299.7,20,자가,없음,1
계약직,9631,475,사업,7689,359.0,29,자가,없음,1
자영업,9238,491,사업,9008,382.1,,자가,없음,1
계약직,11234,375,주택,1334,349.9,30,자가,있음,0
미취업,19597,623,그외,4763,1.0,4,월세,없음,1
정규직,17704,,주택,5144,229.9,3,전세,없음,1
자영업,11556,630,사업,9940,338.8,24,자가,없음,1
정규직,19021,413,사업,9823,382.5,29,자가,없음,0
자영업,15950,705,사업,4859,409.4,16,전세,있음,1
계약직,4534,672,생활,394,32.1,16,월세,없음,1
자영업,14893,578,생활,8677,55.5,24,월세,없음,1
계약직,3290,725,그외,4124,335.3,6,,있음,1
정규직,16506,736,사업,4567,106.5,26,전세,없음,1
정규직,17020,596,사업,8400,179.5,,자가,없음,1
계약직,18903,1000,그외,4177,187.9,19,자가,없음,1
정규직,12279,557,생활,9715,288.0,6,자가,없음,1
미취업,19712,464,생활,3302,480.9,12,전세,없음,0
계약직,5395,630,생활,5150,114.1,5,전세,없음,1
자영업,7860,453,주택,2771,191.3,16,월세,없음,1
자영업,17617,620,생활,216,118.6,29,자가,있음,1
정규직,18634,585,주택,1204,240.9,31,자가,없음,1
계약직,16960,630,주택,1140,135.4,11,전세,없음,1
계약직,2105,874,생활,9133,137.7,15,자가,없음,1
정규직,8773,1000,,3951,196.4,5,월세,없음,1
,15443,667,주택,8120,262.1,17,월세,있음,1
미취업,18559,705,사업,1221,76.6,0,월세,없음,1
계약직,19194,886,주택,3483,259.8,15,자가,있음,1
정규직,17785,358,그외,1037,1.0,30,자가,없음,1
정규직,7103,651,생활,8371,231.9,3,전세,있음,1
정규직,7986,806,사업,9277,47.7,31,자가,없음,1
계약직,17580,418,사업,8463,447.9,31,월세,없음,1
계약직,10770,429,생활,9060,215.8,29,자가,,1
계약직,13532,710,그외,7950,189.2,18,월세,없음,1
정규직,,451,사업,1048,520.0,20,자가,없음,0
미취업,19858,859,그외,9045,110.3,12,자가,있음,1
정규직,2823,349,생활,2205,406.4,24,자가,있음,0
정규직,7309,897,그외,9292,448.7,19,자가,없음,1
정규직,13737,706,주택,4627,28.0,,자가,없음,1
자영업,15842,,생활,6186,372.6,16,전세,없음,1
정규직,14877,704,그외,8609,184.4,12,월세,있음,1
,16404,942,그외,6263,359.5,9,월세,없음,1
,16696,480,주택,4545,403.1,26,자가,없음,1
