line_code,material_grade,chamber_temp,chamber_pressure,chamber_humidity,vibration_level,cycle_time_sec,power_kw,worker_years,good_rate_percent
L2,M2,93.86,50.71,42.2,1.1967,113.2,155.87,8,94.60
L1,M2,94.34,55.01,39.5,1.1099,131.6,182.51,8,94.52
L2,M3,97.34,51.04,52.7,1.0866,116.6,203.41,9,94.92
L2,M3,108.34,47.34,38.3,0.9880,122.9,203.29,1,94.59
L2,M3,110.68,43.83,31.8,0.9371,114.9,184.83,6,95.43
L1,M3,103.84,49.50,44.8,1.1511,133.8,204.12,5,95.10
L2,M1,98.09,45.04,42.5,1.1111,113.8,198.52,3,94.84
L1,M3,100.71,48.85,58.2,0.9865,118.2,211.29,2,93.90
L2,M3,106.48,51.18,42.6,1.1879,,229.92,5,92.57
L1,M2,102.78,47.70,32.7,1.1297,117.6,190.62,8,93.23
L1,M3,103.08,47.40,31.2,0.8771,130.9,165.37,11,94.59
L2,M3,93.67,46.54,40.3,0.6817,111.8,173.28,7,95.49
L1,M2,97.41,50.76,56.0,1.0712,131.8,202.27,8,94.46
L1,M1,95.36,45.54,37.9,0.8586,133.1,171.12,5,93.52
L2,M2,104.31,49.75,59.0,0.7778,109.8,185.65,5,94.93
L2,M2,103.20,48.86,72.0,0.8483,121.1,223.98,3,95.72
L2,M2,97.65,49.12,41.7,1.2528,128.2,224.52,7,95.44
L2,M1,108.58,48.47,53.4,1.1907,126.7,214.74,7,95.28
L2,M2,100.05,50.17,33.2,1.0036,118.1,219.85,7,94.25
L2,M1,96.96,52.26,72.0,1.2241,128.4,225.46,11,95.00
L2,M1,104.04,48.80,52.3,1.0362,115.3,187.97,9,93.69
L2,M2,103.17,49.46,38.9,1.0414,126.2,182.24,1,95.19
L1,M2,93.41,49.46,42.8,0.9039,103.3,205.20,10,94.00
L2,M2,103.10,53.05,30.6,0.9367,110.7,175.47,5,93.68
L2,M2,94.29,50.63,42.0,0.7127,112.1,201.66,11,95.55
L1,M3,106.91,52.02,29.9,0.5924,113.3,158.70,8,92.50
L2,M1,110.87,51.59,37.0,1.2134,129.5,166.40,5,95.79
L2,M3,83.26,49.58,47.4,0.9162,127.2,244.80,8,94.72
L2,M1,101.61,51.38,56.8,1.1779,131.8,174.77,4,94.99
L2,M1,101.12,52.74,49.9,1.0099,130.6,180.59,9,93.49
L1,M2,100.96,48.81,33.2,0.9444,108.9,208.91,11,95.97
L2,M1,99.32,,52.6,1.0145,108.9,181.69,3,94.36
L2,M2,97.10,45.77,42.7,1.3025,121.4,198.88,8,94.42
L1,M3,98.11,,63.2,0.7418,106.9,211.90,4,94.50
L1,M1,100.22,47.30,28.0,0.6580,112.4,159.75,6,94.78
L1,M3,96.06,49.82,36.2,1.0908,104.0,180.37,1,92.75
L1,M1,100.16,50.72,45.7,1.2806,96.2,187.40,6,93.84
L1,M1,94.12,49.94,67.7,1.1726,120.2,243.34,8,94.85
L2,M3,104.32,51.74,53.3,1.1731,126.8,184.93,9,96.02
L2,M1,101.71,47.10,60.9,0.7978,116.2,154.06,8,95.54
L2,M3,,51.48,53.4,1.2755,127.2,174.23,4,94.61
L2,M3,99.69,50.29,72.0,1.0344,120.3,221.43,7,94.41
L1,M1,103.72,51.10,42.1,1.0890,132.7,199.84,3,95.14
L1,M2,105.67,47.69,38.7,1.4117,126.4,155.65,5,94.10
L1,M2,94.72,52.30,57.7,1.0505,130.6,178.19,7,93.95
L2,M1,102.79,51.80,72.0,0.8662,125.8,170.24,11,95.22
L2,M1,107.14,46.74,46.2,0.9214,111.2,250.01,7,93.71
L2,M2,94.18,45.96,48.4,0.9970,112.9,160.38,4,93.34
L2,M3,110.80,51.29,61.1,1.0000,115.5,197.86,4,95.11
L2,M2,97.93,49.05,,1.2811,117.9,189.10,11,94.36
L2,M2,103.45,49.11,39.0,1.0306,131.2,194.74,6,94.40
L1,M3,101.02,51.91,47.1,1.2349,125.0,192.09,10,94.91
L1,M1,99.90,50.75,53.5,0.9319,110.5,231.96,10,95.70
L1,M1,102.15,52.75,54.1,0.9116,97.4,161.27,6,91.56
L1,M3,97.59,49.19,51.2,1.0583,116.4,147.06,4,95.12
L1,M3,102.72,47.23,67.2,0.9572,126.1,201.36,4,94.50
L1,M2,101.40,50.69,35.0,0.6660,96.8,226.32,3,94.27
L1,M1,101.24,50.64,47.8,1.1896,122.2,186.13,6,95.57
L1,M2,101.50,51.76,48.9,0.9256,120.6,214.57,1,94.18
L2,M1,101.06,49.30,38.9,0.7212,124.0,197.47,1,93.61
L2,M1,86.32,50.35,52.6,1.1582,101.6,204.35,7,94.89
L1,M2,95.68,52.13,60.5,1.0398,113.4,214.30,5,92.03
L1,M3,100.81,48.02,32.3,1.0329,130.2,182.36,2,91.44
L2,M1,95.84,49.59,33.7,1.3001,110.6,215.94,3,94.67
L2,M3,100.77,53.30,45.0,1.0160,125.5,200.18,7,94.99
L2,M3,98.74,45.71,28.0,0.7154,103.8,186.89,8,91.87
L2,M3,91.70,49.23,35.3,0.8298,126.8,217.34,1,92.90
L2,M1,101.99,51.13,72.0,1.0916,125.8,142.69,10,94.42
L2,M2,92.71,49.09,61.2,0.7879,117.4,191.08,3,93.99
L1,M1,104.11,51.63,52.0,1.2275,145.0,171.83,11,94.80
L2,M2,98.62,50.04,45.4,0.8721,119.9,196.69,8,94.11
L1,M1,99.11,52.38,28.0,0.9612,123.5,202.50,1,92.19
L1,M2,101.37,46.25,39.3,0.6684,111.1,210.17,2,92.51
L2,M1,104.41,51.58,72.0,1.0704,123.4,198.70,4,93.95
L1,M3,92.12,47.18,56.5,1.1850,129.3,188.73,9,92.53
L2,M1,102.65,49.75,37.6,1.1038,115.6,203.41,6,95.45
L1,M3,108.32,54.59,33.9,1.1565,124.1,136.18,10,93.59
L1,M2,104.10,48.97,69.6,1.0105,131.6,242.02,7,92.68
L2,M3,100.10,52.38,,1.1602,118.9,167.10,10,96.74
L1,M1,102.15,50.81,60.8,0.9246,118.3,207.46,11,95.59
L2,M1,106.10,48.65,37.1,0.9659,121.5,211.58,11,96.24
L2,M3,110.02,46.82,39.4,1.1656,110.8,190.10,10,95.30
L1,M3,103.89,52.59,57.2,1.2218,118.7,215.03,1,93.37
L1,M1,109.89,,50.4,0.7764,123.6,172.97,8,95.86
L2,M2,90.35,47.59,46.0,1.2546,108.5,193.18,8,93.46
L2,M3,102.22,48.13,66.6,1.1669,124.9,199.59,6,95.29
L1,M1,95.67,43.11,63.0,0.4268,124.3,179.19,7,94.49
L1,M3,92.53,49.28,41.6,0.7682,106.9,184.20,9,94.67
L2,M2,114.11,51.02,28.0,1.0522,117.7,180.14,6,94.72
L1,M2,101.29,48.23,45.1,1.2157,127.2,193.10,5,94.54
L1,M1,100.31,51.72,54.0,1.1610,126.7,154.48,4,93.45
L1,M2,92.46,50.85,54.9,0.8425,109.3,179.88,4,95.19
L1,M2,99.01,48.74,,0.9320,103.6,183.38,7,94.51
L2,M2,108.59,47.74,72.0,1.1008,102.8,163.44,5,94.21
L1,M2,93.07,52.97,35.0,1.2362,102.7,218.17,5,94.41
L1,M1,98.45,49.70,54.0,1.0092,117.4,181.29,4,93.96
L1,M2,99.05,49.43,46.5,0.9096,122.3,174.56,1,95.20
L1,M1,93.30,54.78,72.0,0.6170,118.2,176.67,9,94.48
L2,M2,98.47,50.88,61.5,0.6332,131.0,200.90,1,95.15
L1,M1,93.72,53.44,40.9,0.9138,107.3,213.84,4,95.12
L2,M1,105.54,47.05,56.9,0.9925,113.5,137.16,11,94.97
L2,M2,100.05,53.41,,1.2355,117.1,200.88,11,95.87
L1,M1,96.51,48.35,54.6,0.9575,112.8,236.87,9,94.18
L2,M1,99.40,49.09,65.5,0.9767,136.7,198.41,5,96.29
L1,M2,94.98,49.67,42.3,1.3631,121.3,215.89,10,95.32
L1,M1,100.54,49.13,40.3,1.0143,122.8,213.26,1,95.14
L2,M2,101.54,53.47,45.6,0.9569,89.9,186.21,2,93.86
L1,M2,101.76,49.73,53.2,0.6562,117.9,144.58,2,94.57
L2,M1,97.14,51.46,53.2,0.8503,102.0,188.30,1,95.83
L1,M3,99.64,54.55,50.1,0.9252,111.9,221.67,8,95.03
L2,M2,98.62,48.84,62.0,1.0032,125.8,192.71,1,94.29
L2,M2,106.33,51.24,72.0,1.0453,112.0,198.79,3,94.03
L1,M1,98.77,49.69,42.1,1.1920,110.3,172.55,5,94.99
L2,M3,105.97,46.90,72.0,1.1813,114.0,194.03,11,95.19
L1,M1,95.93,47.56,72.0,0.9672,112.6,176.43,9,95.03
L1,M1,103.74,49.56,39.8,1.1445,109.8,222.45,2,92.77
L2,M2,101.67,49.73,60.5,1.1390,131.7,197.57,9,95.59
L1,M2,104.86,47.68,55.6,0.7568,107.9,202.27,10,93.93
L2,M1,95.50,49.62,69.9,1.1306,133.5,183.05,3,94.30
L1,M2,103.99,48.79,44.6,1.0491,133.3,198.59,5,93.87
L1,M1,99.14,50.30,45.0,0.4942,115.8,168.31,7,95.87
L2,M1,100.24,48.82,46.8,0.6880,133.6,191.67,9,94.33
L2,M1,88.76,49.15,33.8,1.1339,115.9,214.61,11,96.15
L2,M3,93.04,49.67,67.3,1.0759,108.8,172.83,4,95.13
L2,M2,100.80,48.96,52.3,0.8227,,201.54,5,95.19
L2,M3,99.00,56.96,72.0,0.9560,124.2,208.00,8,95.05
L2,M2,102.33,51.29,54.2,1.4982,124.5,203.48,5,95.40
L1,M1,97.31,47.54,,0.6994,117.6,191.55,6,92.68
L2,M3,103.72,53.74,44.3,1.0282,137.5,174.76,4,93.46
L2,M2,101.93,51.55,37.4,0.6627,123.0,176.63,2,95.76
L1,M2,105.57,47.85,62.9,1.0877,121.8,207.89,9,93.62
L1,M2,108.30,48.35,55.7,1.0837,115.2,196.78,7,93.09
L2,M2,100.34,51.31,39.1,1.2378,128.7,213.39,6,94.04
L2,M1,104.27,,54.8,0.8561,123.7,202.17,1,94.55
L2,M2,99.98,52.40,56.3,0.6761,113.0,214.39,6,95.91
L1,M2,94.30,48.30,52.2,1.5148,126.6,221.47,10,93.94
L1,M1,101.61,51.64,45.3,1.0614,122.5,204.95,3,95.61
L2,M2,98.70,50.15,46.3,1.2359,119.3,198.86,2,93.09
L2,M2,93.14,51.43,51.3,1.5048,114.8,182.46,5,95.00
L1,M2,101.41,49.46,40.5,0.6893,122.0,199.53,1,93.96
L1,M2,101.09,45.35,54.6,1.4361,135.2,195.36,1,92.06
L2,M1,99.93,51.57,69.9,0.7864,111.7,168.33,3,94.75
L2,M2,88.58,53.30,28.9,1.3710,,213.07,5,94.40
L2,M3,96.53,50.06,53.4,0.8080,123.1,155.04,7,94.63
L2,M1,100.13,47.00,47.2,0.9624,120.0,204.39,4,93.01
L2,M3,105.25,51.81,48.8,1.1888,110.9,221.66,8,95.24
L2,M2,100.01,52.74,28.2,1.0657,116.2,175.06,9,94.61
L2,M1,109.06,49.48,28.0,1.3922,108.8,196.12,3,93.83
L1,M3,99.67,52.18,71.2,1.4645,129.9,195.87,4,94.14
L2,M1,99.18,48.75,47.8,1.2483,110.5,184.24,3,92.94
L2,M3,92.23,50.60,37.3,0.9142,102.6,198.92,2,94.40
L2,M2,103.48,50.46,42.6,1.1925,117.3,176.91,1,94.74
L1,M2,102.82,52.43,,1.0913,119.9,190.08,2,94.08
L2,M3,101.34,52.65,,1.0184,122.9,212.99,1,93.05
L1,M1,96.03,52.51,46.8,0.5912,111.7,171.86,4,93.86
L1,M1,108.49,51.34,46.6,0.8220,117.0,179.74,5,93.49
L2,M3,100.25,49.75,37.6,0.8863,115.0,176.83,11,95.85
L2,M2,100.89,51.11,59.4,0.7764,132.3,232.06,1,93.66
L2,M1,90.53,47.49,54.5,1.1646,106.8,214.82,7,93.57
L2,M1,100.92,48.82,55.7,0.9446,109.2,204.41,5,93.75
L1,M1,106.23,52.72,46.9,0.8362,126.1,218.33,3,95.00
L2,M1,103.02,51.53,52.9,1.0795,112.6,205.11,2,96.35
L1,M2,97.51,49.12,54.7,0.9946,105.7,217.52,10,94.43
L1,M3,93.39,52.51,29.4,1.1204,122.0,182.71,2,93.29
L2,M3,109.50,51.75,44.9,1.0951,116.3,210.52,5,94.53
L2,M2,99.19,48.74,57.1,1.3125,115.7,186.38,5,93.01
L1,M2,100.79,50.00,54.6,0.8805,126.3,206.91,1,93.14
L1,M3,87.30,50.31,53.7,1.1537,104.6,210.25,10,93.62
L2,M2,101.73,49.45,43.6,0.7221,,187.23,4,92.69
L1,M1,102.09,47.47,38.0,1.5113,136.0,191.79,3,92.48
L1,M2,87.23,,45.6,1.1062,125.9,221.24,3,92.37
L2,M3,104.76,48.36,51.1,1.4340,118.0,187.60,3,92.89
L1,M3,104.64,48.98,45.4,0.8557,115.3,243.23,5,93.38
L2,M3,101.09,49.83,70.5,1.3151,105.0,206.42,4,93.59
L1,M3,99.51,48.42,62.8,1.0183,126.7,209.61,11,93.92
L2,M3,104.88,51.89,33.6,0.9432,115.0,201.66,3,93.35
L2,M3,98.02,50.75,57.8,0.3452,,214.70,1,93.49
L1,M2,100.38,47.25,39.0,1.1803,128.0,169.98,11,93.98
L1,M1,94.56,48.11,35.6,0.7472,120.9,187.66,10,94.70
L1,M3,94.08,46.30,28.0,0.8998,117.1,165.20,4,94.88
L2,M3,96.69,50.77,56.9,0.9141,130.7,172.92,9,93.31
L2,M2,99.44,52.06,50.8,0.9245,100.4,200.07,7,95.05
L1,M1,100.34,48.49,62.0,0.7497,110.3,179.99,2,93.86
L2,M1,99.04,53.51,54.6,0.9588,109.1,195.16,9,93.95
L1,M3,96.47,48.51,47.5,0.8966,121.2,227.92,7,94.35
L1,M1,104.19,51.98,48.9,1.1026,109.8,222.59,4,93.09
L2,M1,101.86,,63.4,1.0712,122.7,211.80,11,94.14
L2,M3,109.42,49.39,61.2,0.7234,123.9,183.08,8,94.53
L1,M2,99.27,51.84,30.1,1.3468,124.8,165.16,3,94.67
L2,M2,105.91,51.44,43.1,0.5226,116.2,157.04,2,92.36
L2,M1,101.80,47.85,,0.5742,101.1,231.55,7,94.98
L2,M1,103.31,52.73,38.1,0.7500,128.6,195.37,4,94.56
L1,M2,96.67,51.23,36.9,1.1552,125.0,198.40,4,93.38
L2,M3,98.82,46.19,55.4,1.1651,123.4,207.00,8,93.76
L2,M1,88.36,52.87,45.3,1.1136,126.2,141.75,8,94.52
L2,M3,98.33,47.53,42.9,1.1561,122.2,192.41,6,95.79
L2,M1,88.30,49.46,54.2,0.7245,113.3,197.22,5,94.39
L2,M1,96.98,50.25,61.0,1.4311,114.2,182.25,10,96.13
L2,M3,97.79,48.16,52.8,1.0147,111.6,185.21,4,93.96
L2,M2,94.72,48.61,46.0,1.2219,124.0,196.25,7,95.68
L1,M3,93.06,46.97,66.4,0.4840,123.5,217.63,6,93.67
L2,M1,89.37,47.57,54.2,1.0865,110.8,186.35,1,94.26
L2,M1,94.53,51.96,64.7,0.5923,117.1,172.51,2,94.57
L2,M2,103.05,49.62,60.6,0.9813,134.0,199.98,1,93.52
L1,M2,101.72,49.53,,1.2077,115.7,172.05,3,94.17
L1,M1,94.83,50.97,36.8,1.0402,118.9,172.22,8,94.97
L2,M1,98.35,49.06,,1.1549,131.7,217.03,4,95.48
L2,M1,103.62,50.98,28.0,1.1652,120.1,213.43,10,94.50
L2,M2,100.73,53.99,47.0,0.9535,125.9,175.92,3,94.71
L2,M2,101.38,48.08,49.7,0.7939,126.0,199.68,9,92.54
L2,M1,105.04,50.58,43.3,1.4433,124.9,183.31,1,94.28
L2,M1,103.21,53.80,51.3,0.9693,114.7,184.37,3,92.61
L2,M2,108.67,48.86,49.9,0.9491,121.8,204.88,2,93.67
L2,M1,97.63,47.83,49.9,0.8697,122.6,200.39,4,94.81
L1,M3,98.58,51.25,52.6,1.2687,126.5,156.76,4,93.63
L1,M2,98.34,50.55,59.3,1.0300,127.8,190.85,8,94.15
L1,M3,100.06,50.88,37.0,1.0849,100.6,189.60,3,94.18
L2,M3,102.87,50.84,28.0,0.9177,,157.14,4,94.44
L1,M1,101.83,52.54,37.1,0.9751,129.6,196.29,2,95.80
L2,M3,103.27,47.74,,0.8386,105.0,222.71,10,92.90
L2,M3,99.51,50.26,46.9,0.8759,119.1,177.76,8,94.47
L1,M3,98.57,44.35,31.3,0.9153,108.7,199.91,11,96.22
L2,M1,,47.36,44.8,0.9803,104.7,188.19,7,94.76
L1,M1,100.29,50.37,59.3,0.8057,121.1,163.30,7,94.81
L2,M1,101.71,49.10,61.6,0.8854,130.3,208.37,6,95.79
L1,M2,106.74,50.37,42.4,0.9584,116.7,214.12,11,95.41
L1,M1,93.77,48.04,28.9,1.0761,119.6,160.88,3,93.31
L2,M1,100.64,53.92,34.1,0.7852,103.0,179.09,10,94.95
L2,M3,95.26,48.53,45.3,0.7315,119.8,214.10,9,95.07
L1,M2,99.71,48.17,53.7,1.2866,119.4,226.68,3,94.66
L1,M1,100.71,50.41,56.7,0.6058,123.7,201.61,7,95.57
L2,M1,97.10,49.16,42.1,0.8874,106.7,158.72,3,94.63
L2,M3,98.94,51.90,31.8,1.0592,104.6,198.75,4,93.77
L1,M3,111.59,50.51,59.3,1.2823,116.0,214.48,5,93.33
L2,M2,104.02,49.31,38.7,0.9035,113.6,157.44,3,94.85
L2,M3,100.69,48.15,,0.7102,120.9,156.78,2,94.16
L1,M1,93.30,51.44,61.0,0.8436,104.5,195.75,5,94.25
L2,M2,98.29,51.68,62.6,1.0559,122.5,219.83,3,94.42
L2,M3,106.83,49.74,44.5,1.2349,107.2,217.08,7,95.98
L2,M1,99.66,48.46,34.5,0.9099,124.9,198.39,10,95.25
L2,M1,101.56,51.79,57.1,0.8724,116.5,216.45,5,95.39
L1,M3,101.97,53.09,50.1,0.9409,117.7,228.63,11,93.00
L2,M1,103.95,45.18,39.0,0.8514,120.3,210.59,7,94.97
L1,M1,105.46,53.89,50.2,1.2479,122.4,186.85,2,93.97
L2,M3,97.46,49.55,,0.8640,118.6,200.41,6,95.56
L1,M3,104.41,50.00,58.4,1.1916,111.7,174.97,4,94.45
L2,M2,95.29,47.14,51.4,0.7340,133.9,200.13,4,94.74
L1,M2,96.21,50.83,58.5,1.3989,103.7,194.99,1,93.28
L1,M3,89.59,47.51,43.9,1.0956,123.4,214.68,9,94.37
L1,M3,104.74,49.12,40.0,0.9109,117.3,216.64,1,94.26
L1,M2,95.46,53.75,58.6,1.2058,117.1,180.18,3,95.32
L2,M1,98.68,47.37,63.0,1.5143,144.8,212.84,5,94.21
L2,M2,107.83,50.78,63.1,0.8872,117.4,225.96,2,93.70
L1,M2,99.88,53.08,49.1,0.9652,114.8,174.14,5,93.25
L2,M1,103.85,49.22,41.0,1.0794,118.2,177.97,8,96.04
L1,M1,95.26,47.36,51.0,0.8843,118.8,175.76,5,92.70
L2,M1,105.13,48.94,35.7,0.8724,113.7,184.36,6,96.04
L1,M2,93.04,51.25,38.2,1.2814,139.0,201.89,8,93.90
L1,M3,90.05,50.92,47.3,0.8146,110.7,167.46,10,97.39
L1,M2,94.77,50.16,55.8,0.7932,123.1,179.97,2,94.66
L2,M2,100.65,50.29,48.6,1.0522,138.7,206.64,10,93.46
L2,M1,107.11,50.08,36.8,1.1007,119.5,222.23,10,95.76
L2,M1,87.74,48.55,55.7,0.7354,112.1,167.62,8,95.54
L1,M1,103.03,50.99,72.0,1.0976,102.4,239.27,10,94.15
L2,M2,98.18,51.45,43.5,0.9642,110.2,212.30,11,94.96
L2,M1,99.48,47.80,33.8,0.9517,137.3,159.81,3,94.80
L2,M1,107.30,50.13,48.7,1.1483,131.6,216.48,4,94.79
L1,M3,100.46,48.23,66.0,1.0702,117.7,184.10,5,93.59
L2,M1,101.73,48.59,72.0,0.7745,125.7,201.33,4,94.10
L1,M3,107.42,47.20,31.7,0.8375,121.4,192.58,4,94.40
L1,M3,103.57,51.11,43.4,0.9878,131.8,183.10,6,94.30
L2,M2,92.70,48.41,47.1,0.9273,122.6,175.64,5,91.94
L2,M1,100.67,52.32,52.7,1.3557,121.5,159.57,4,93.71
L2,M1,93.10,53.54,28.7,0.5617,119.9,218.37,10,95.44
L2,M1,91.75,50.88,72.0,1.3358,128.7,179.13,2,93.11
L1,M1,97.67,51.23,56.2,1.0160,111.9,223.65,4,92.88
L1,M2,92.30,50.92,55.8,0.8819,119.9,207.95,7,95.25
L1,M1,105.62,50.94,61.4,0.5747,,209.91,1,93.69
L1,M3,104.83,48.62,64.1,0.8693,139.3,168.70,5,93.40
L1,M1,92.68,47.18,52.9,1.4384,116.0,186.75,7,93.49
L2,M2,104.55,51.08,56.2,0.9925,130.9,183.59,8,92.14
L2,M1,97.63,50.17,63.4,1.1472,122.1,196.39,8,94.32
L2,M2,103.93,51.55,55.7,1.0494,133.6,178.29,11,96.10
L1,M2,100.35,52.33,69.7,1.4209,111.3,186.71,4,93.52
L2,M1,104.38,46.73,40.1,0.8799,115.9,183.24,3,94.62
L1,M2,101.00,52.64,64.3,1.2659,119.6,219.56,11,95.06
L2,M3,103.54,47.43,43.4,0.7925,118.6,187.84,8,93.88
L2,M1,101.58,47.53,33.5,1.2014,117.5,197.54,1,93.66
L1,M1,105.06,50.81,64.6,1.1792,130.1,171.91,7,95.07
L1,M1,98.94,48.69,56.8,1.2251,107.3,229.76,11,95.94
L2,M2,101.50,,47.7,0.6686,114.6,219.64,4,94.32
L1,M2,93.39,52.39,50.5,1.0370,101.5,184.66,2,92.03
L2,M2,94.14,49.16,52.8,0.7230,105.5,177.54,1,93.75
L1,M2,93.77,50.50,46.3,0.9276,131.5,138.82,10,94.70
L1,M3,,49.52,45.7,1.1517,134.9,225.26,2,93.79
L2,M2,94.26,49.98,53.4,0.9749,133.6,199.86,10,94.34
L1,M1,90.48,50.72,36.4,0.6529,132.9,199.63,7,94.38
L2,M3,101.07,48.30,50.0,1.2742,108.6,192.68,1,93.36
L2,M3,90.71,53.56,54.9,1.0832,125.5,180.44,11,94.57
L1,M2,101.27,50.83,48.2,0.7255,107.2,179.03,11,92.95
L1,M3,98.14,51.63,52.7,0.7646,107.5,183.35,8,93.37
L2,M2,96.34,50.42,46.5,1.2925,114.4,214.86,3,93.02
L1,M2,104.45,47.74,67.5,0.8148,107.4,180.47,2,95.15
L2,M2,101.31,50.07,57.4,0.6624,110.6,212.81,9,93.33
L1,M2,106.13,47.19,50.7,0.6447,119.9,194.29,7,93.92
